Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
COCOON-976,19,23,|18|,|18|19|20|21|22|23|,|
COCOON-975,19,23,|23|,|19|20|21|22|23|,|
COCOON-997,19,23,|17|,|17|18|19|20|21|22|23|,|
COCOON-993,19,23,|23|,|19|20|21|22|23|,|
COCOON-982,19,23,|18|,|18|19|20|21|22|23|,|
COCOON-979,19,23,|23|,|19|20|21|22|23|,|
COCOON-977,19,23,|23|,|19|20|21|22|23|,|
COCOON-1644,23,23,|21|,|21|22|23|,|
COCOON-1649,23,23,|28|,|23|,|
COCOON-1620,23,23,|23|,|23|,|
COCOON-1637,23,23,|14|,|14|15|16|17|18|19|20|21|22|23|,|
COCOON-1590,23,23,|22|,|22|23|,|
COCOON-1585,23,23,|23|,|23|,|
COCOON-1583,23,23,|22|,|22|23|,|
COCOON-1604,23,23,|23|,|23|,|
COCOON-1602,23,23,|23|,|23|,|
COCOON-1518,23,23,|22|,|22|23|,|
COCOON-1516,23,23,|22|,|22|23|,|
COCOON-1528,23,23,|22|,|22|23|,|
COCOON-1539,23,23,|23|,|23|,|
COCOON-1548,23,23,|23|,|23|,|
COCOON-1546,23,23,|23|,|23|,|
COCOON-1545,23,23,|22|,|22|23|,|
COCOON-1569,23,23,|28|,|23|,|
COCOON-1568,23,23,|22|,|22|23|,|
COCOON-1567,23,23,|22|,|22|23|,|
COCOON-1566,23,23,|22|,|22|23|,|
COCOON-1479,22,23,|23|,|22|23|,|
COCOON-1497,23,23,|23|,|23|,|
COCOON-1495,23,23,|28|,|23|,|
COCOON-1504,23,23,|23|,|23|,|
COCOON-1501,23,23,|23|,|23|,|
COCOON-1500,23,23,|22|,|22|23|,|
COCOON-1484,23,23,|23|,|23|,|
COCOON-1513,23,23,|23|,|23|,|
COCOON-1461,22,23,|21|,|21|22|23|,|
COCOON-1475,22,23,|19|,|19|20|21|22|23|,|
COCOON-1452,22,23,|21|,|21|22|23|,|
COCOON-1470,22,23,|21|,|21|22|23|,|
COCOON-1436,22,23,|28|,|22|23|,|
COCOON-1432,22,23,|20|,|20|21|22|23|,|
COCOON-1388,22,23,|21|,|21|22|23|,|
COCOON-1374,22,23,|23|,|22|23|,|
COCOON-1361,22,23,|21|,|21|22|23|,|
COCOON-1435,22,23,|28|,|22|23|,|
COCOON-1404,22,23,|21|,|21|22|23|,|
COCOON-1400,22,23,|21|,|21|22|23|,|
COCOON-1389,22,23,|20|,|20|21|22|23|,|
COCOON-1411,22,23,|28|,|22|23|,|
COCOON-1356,22,23,|21|,|21|22|23|,|
COCOON-1422,22,23,|23|,|22|23|,|
COCOON-1423,22,23,|21|,|21|22|23|,|
COCOON-1328,21,23,|28|,|21|22|23|,|
COCOON-1346,21,23,|28|,|21|22|23|,|
COCOON-1343,21,23,|28|,|21|22|23|,|
COCOON-1342,21,23,|23|,|21|22|23|,|
