Key,Closed Bugs,Closed Bugs w/o Affect Version,Percent w/o AV,Total Releases,Releases without Release Dates,Percent Releases w/o Dates,Num Bugs w/ AV after Fix,Percent Bugs w/ AV after Fix (out of Bugs w/ AV),Num Bugs w/ AV w/o Release Dates,Percent Bugs w/ AV w/o Release Date (out of Bugs w/ AV),Num Bugs w/ AV w/ Weird Names, Percent Bugs w/ AV w/ Weird Names (out of Bugs w/ AV),Num Bugs Missing Creation/Resolution Date,Percent Bugs Missing Creation/Resolution Date(out of Bugs w/ AV),Total Bugs w/ AV and a Problem,Percent Closed Bugs w/ AV and a Problem(out of Bugs w/ AV),Percent Closed Bugs w/ Problem Including Missing AV(out of Closed Bugs)
XERCESJ,178,5,0.028089888,26,0,0,0,0,0,0,0,0,0,0,0,0,0.028089888
QPIDJMS,181,17,0.093922652,34,1,0.029411765,0,0,0,0,0,0,0,0,0,0,0.093922652
MSHADE,144,14,0.097222222,34,4,0.117647059,0,0,0,0,0,0,0,0,0,0,0.097222222
AMQCPP,143,12,0.083916084,56,8,0.142857143,2,0.015267176,0,0,0,0,0,0,2,0.015267176,0.097902098
MODPYTHON,105,2,0.019047619,9,2,0.222222222,0,0,9,0.087378641,0,0,0,0,9,0.087378641,0.104761905
DIRSTUDIO,418,42,0.100478469,32,4,0.125,2,0.005319149,2,0.005319149,0,0,0,0,4,0.010638298,0.110047847
DELTASPIKE,388,50,0.128865979,34,2,0.058823529,0,0,0,0,0,0,0,0,0,0,0.128865979
TAP5,1092,72,0.065934066,39,5,0.128205128,0,0,80,0.078431373,0,0,0,0,80,0.078431373,0.139194139
DIRAPI,100,14,0.14,45,4,0.088888889,0,0,0,0,0,0,0,0,0,0,0.14
MTOMCAT,126,16,0.126984127,12,5,0.416666667,0,0,2,0.018181818,0,0,0,0,2,0.018181818,0.142857143
MDEP,277,40,0.144404332,26,4,0.153846154,2,0.008438819,0,0,0,0,0,0,2,0.008438819,0.151624549
XERCESC,1476,127,0.08604336,29,3,0.103448276,6,0.004447739,1,7.41E-04,91,0.067457376,0,0,97,0.071905115,0.151761518
BUILDR,398,58,0.145728643,37,1,0.027027027,3,0.008823529,0,0,0,0,0,0,3,0.008823529,0.153266332
LOG4J2,557,79,0.141831239,46,9,0.195652174,0,0,10,0.020920502,0,0,0,0,10,0.020920502,0.15978456
WICKET,607,58,0.095551895,159,9,0.056603774,31,0.056466302,22,0.04007286,0,0,0,0,44,0.080145719,0.168039539
SYNCOPE,716,46,0.06424581,61,7,0.114754098,78,0.11641791,1,0.001492537,0,0,0,0,78,0.11641791,0.173184358
