Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
PLUTO-2,1,1,|,|1|,|unspecified|
PLUTO-3,1,1,|,|1|,|unspecified|
PLUTO-4,1,1,|,|1|,|unspecified|
PLUTO-5,1,1,|,|1|,|unspecified|
PLUTO-6,1,1,|,|1|,|unspecified|
PLUTO-7,1,1,|,|1|,|unspecified|
PLUTO-10,1,1,|,|1|,|unspecified|
PLUTO-11,1,1,|,|1|,|unspecified|
PLUTO-12,1,1,|,|1|,|unspecified|
PLUTO-13,1,1,|,|1|,|unspecified|
PLUTO-14,1,1,|,|1|,|unspecified|
PLUTO-15,1,1,|,|1|,|unspecified|
PLUTO-17,1,1,|,|1|,|unspecified|
PLUTO-16,1,1,|,|1|,|unspecified|
PLUTO-19,1,1,|,|1|,|unspecified|
PLUTO-33,1,1,|,|1|,|unspecified|
PLUTO-35,1,1,|,|1|,|unspecified|
PLUTO-41,1,1,|,|1|,|unspecified|
PLUTO-43,1,1,|,|1|,|unspecified|
PLUTO-49,1,1,|,|1|,|unspecified|
PLUTO-28,1,1,|,|1|,|unspecified|
PLUTO-46,1,1,|,|1|,|unspecified|
PLUTO-48,1,1,|,|1|,|unspecified|
PLUTO-55,1,1,|,|1|,|unspecified|
PLUTO-1,1,1,|,|1|,|unspecified|
PLUTO-51,1,1,|,|1|,|unspecified|
PLUTO-50,1,1,|,|1|,|unspecified|
PLUTO-59,1,1,|,|1|,|unspecified|
PLUTO-58,1,1,|,|1|,|unspecified|
PLUTO-60,1,1,|,|1|,|unspecified|
PLUTO-68,1,1,|,|1|,|unspecified|
PLUTO-39,1,1,|,|1|,|unspecified|
PLUTO-67,1,1,|,|1|,|unspecified|
PLUTO-66,1,1,|,|1|,|unspecified|
PLUTO-65,1,1,|,|1|,|unspecified|
PLUTO-27,1,1,|,|1|,|unspecified|
PLUTO-73,1,1,|,|1|,|unspecified|
PLUTO-76,1,1,|,|1|,|unspecified|
PLUTO-77,1,1,|,|1|,|unspecified|
PLUTO-78,1,1,|,|1|,|unspecified|
PLUTO-8,1,1,|,|1|,|unspecified|
PLUTO-40,1,1,|,|1|,|unspecified|
PLUTO-53,1,1,|,|1|,|unspecified|
PLUTO-79,1,1,|1|,|1|,|
PLUTO-80,1,1,|,|1|,|unspecified|
PLUTO-24,1,1,|,|1|,|unspecified|
