Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
TAPESTRY-105,15,16,|15|,|15|16|,|
TAPESTRY-146,15,16,|15|,|15|16|,|
TAPESTRY-214,16,17,|15|,|15|16|17|,|
TAPESTRY-226,17,17,|16|,|16|17|,|
TAPESTRY-227,17,17,|15|16|,|15|16|17|,|
TAPESTRY-248,17,17,|16|,|16|17|,|
TAPESTRY-218,17,17,|15|16|,|15|16|17|,|
TAPESTRY-200,16,17,|15|16|,|15|16|17|,|
TAPESTRY-189,16,17,|15|16|,|15|16|17|,|
TAPESTRY-167,16,17,|15|,|15|16|17|,|
TAPESTRY-260,17,17,|15|16|,|15|16|17|,|
TAPESTRY-265,17,17,|20|,|17|,|
TAPESTRY-207,16,17,|15|,|15|16|17|,|
TAPESTRY-278,18,18,|17|,|17|18|,|
TAPESTRY-230,17,18,|15|16|,|15|16|17|18|,|
TAPESTRY-238,17,18,|15|16|,|15|16|17|18|,|
TAPESTRY-277,18,18,|17|,|17|18|,|
TAPESTRY-255,17,18,|15|16|17|20|,|15|16|17|18|,|
TAPESTRY-1,16,18,|15|,|15|16|17|18|,|
TAPESTRY-283,18,18,|14|15|16|17|,|14|15|16|17|18|,|
TAPESTRY-284,18,18,|15|16|17|,|15|16|17|18|,|
TAPESTRY-285,18,18,|17|,|17|18|,|
TAPESTRY-293,18,18,|,|18|,|3.0.5|
TAPESTRY-210,16,18,|16|,|16|17|18|,|
TAPESTRY-166,16,18,|15|,|15|16|17|18|,|
TAPESTRY-320,18,18,|20|,|18|,|
TAPESTRY-335,18,18,|20|,|18|,|
TAPESTRY-342,18,18,|20|,|18|,|
TAPESTRY-337,18,18,|20|,|18|,|3.0.5|
TAPESTRY-304,18,18,|,|18|,|unspecified|
TAPESTRY-261,17,18,|20|,|17|18|,|
TAPESTRY-253,17,18,|20|,|17|18|,|
TAPESTRY-217,17,18,|15|,|15|16|17|18|,|
TAPESTRY-181,16,18,|15|,|15|16|17|18|,|
TAPESTRY-108,15,18,|15|,|15|16|17|18|,|
TAPESTRY-96,15,18,|15|,|15|16|17|18|,|
TAPESTRY-357,18,18,|20|,|18|,|
TAPESTRY-361,18,18,|20|,|18|,|
TAPESTRY-372,18,18,|20|,|18|,|
TAPESTRY-379,18,18,|20|,|18|,|
TAPESTRY-388,18,18,|20|,|18|,|
TAPESTRY-374,18,18,|20|,|18|,|
TAPESTRY-391,18,18,|20|,|18|,|
TAPESTRY-384,18,18,|20|,|18|,|
TAPESTRY-393,18,18,|20|,|18|,|
TAPESTRY-398,18,18,|20|,|18|,|
TAPESTRY-405,18,18,|20|,|18|,|
TAPESTRY-404,18,18,|20|,|18|,|
TAPESTRY-428,18,18,|20|,|18|,|
TAPESTRY-385,18,18,|20|,|18|,|
TAPESTRY-427,18,18,|20|,|18|,|
TAPESTRY-383,18,18,|20|,|18|,|
TAPESTRY-224,17,18,|16|,|16|17|18|,|
TAPESTRY-185,16,18,|15|20|,|15|16|17|18|,|
TAPESTRY-425,18,18,|20|,|18|,|
TAPESTRY-424,18,18,|15|16|17|20|,|15|16|17|18|,|3.0.5|
TAPESTRY-408,18,18,|20|,|18|,|
TAPESTRY-445,18,18,|20|,|18|,|
TAPESTRY-446,18,18,|20|,|18|,|
TAPESTRY-444,18,18,|20|,|18|,|
TAPESTRY-324,18,18,|20|,|18|,|
TAPESTRY-254,17,18,|15|,|15|16|17|18|,|
TAPESTRY-441,18,18,|20|,|18|,|
TAPESTRY-423,18,18,|20|,|18|,|
TAPESTRY-515,18,18,|20|,|18|,|
TAPESTRY-481,18,18,|20|,|18|,|
TAPESTRY-527,18,18,|20|,|18|,|
TAPESTRY-524,18,18,|20|,|18|,|
TAPESTRY-519,18,18,|20|,|18|,|
TAPESTRY-530,18,18,|20|,|18|,|
TAPESTRY-354,18,18,|20|,|18|,|
TAPESTRY-533,18,18,|20|,|18|,|
TAPESTRY-539,18,18,|20|,|18|,|
TAPESTRY-365,18,18,|20|,|18|,|
TAPESTRY-452,18,18,|20|,|18|,|
TAPESTRY-177,16,18,|15|,|15|16|17|18|,|
TAPESTRY-543,18,18,|20|,|18|,|
TAPESTRY-542,18,18,|20|,|18|,|
TAPESTRY-552,18,18,|20|,|18|,|
TAPESTRY-553,18,18,|20|,|18|,|
TAPESTRY-549,18,18,|20|,|18|,|
TAPESTRY-94,15,18,|15|,|15|16|17|18|,|
TAPESTRY-437,18,18,|20|,|18|,|
TAPESTRY-566,18,18,|20|,|18|,|
TAPESTRY-570,18,18,|20|,|18|,|
TAPESTRY-157,15,18,|15|20|,|15|16|17|18|,|
TAPESTRY-447,18,18,|20|,|18|,|
TAPESTRY-585,18,18,|20|,|18|,|
TAPESTRY-579,18,18,|20|,|18|,|
TAPESTRY-581,18,18,|20|,|18|,|
TAPESTRY-222,17,18,|16|,|16|17|18|,|
TAPESTRY-586,18,18,|20|,|18|,|
TAPESTRY-588,18,18,|20|,|18|,|
TAPESTRY-560,18,18,|20|,|18|,|
TAPESTRY-589,18,18,|20|,|18|,|
TAPESTRY-611,18,18,|20|,|18|,|
TAPESTRY-610,18,18,|20|,|18|,|
TAPESTRY-609,18,18,|20|,|18|,|
TAPESTRY-613,18,18,|20|,|18|,|
TAPESTRY-386,18,18,|20|,|18|,|
TAPESTRY-626,18,18,|20|,|18|,|
TAPESTRY-606,18,18,|20|,|18|,|
TAPESTRY-546,18,18,|20|,|18|,|
TAPESTRY-600,18,18,|20|,|18|,|
TAPESTRY-307,18,18,|15|16|17|20|,|15|16|17|18|,|3.0.5|
TAPESTRY-270,18,18,|,|18|,|unspecified|
TAPESTRY-535,18,18,|20|,|18|,|
TAPESTRY-556,18,18,|20|,|18|,|
TAPESTRY-578,18,18,|20|,|18|,|
TAPESTRY-595,18,18,|20|,|18|,|
TAPESTRY-569,18,18,|20|,|18|,|
TAPESTRY-642,18,18,|20|,|18|,|
TAPESTRY-341,18,18,|20|,|18|,|
TAPESTRY-653,18,18,|20|,|18|,|
TAPESTRY-649,18,18,|20|,|18|,|
TAPESTRY-657,18,18,|20|,|18|,|
TAPESTRY-647,18,18,|20|,|18|,|
TAPESTRY-641,18,18,|20|,|18|,|
TAPESTRY-660,18,18,|20|,|18|,|
TAPESTRY-655,18,18,|20|,|18|,|
TAPESTRY-665,18,18,|20|,|18|,|
TAPESTRY-661,18,18,|20|,|18|,|
TAPESTRY-601,18,18,|20|,|18|,|
TAPESTRY-676,18,18,|20|,|18|,|
TAPESTRY-680,18,18,|20|,|18|,|
TAPESTRY-667,18,18,|20|,|18|,|
TAPESTRY-344,18,18,|20|,|18|,|
TAPESTRY-685,18,18,|20|,|18|,|
TAPESTRY-696,18,18,|20|,|18|,|
TAPESTRY-650,18,18,|20|,|18|,|
