key,total,Affect Version,Percent
AGILA,7.0,1.0,0.14285714285714285
AAR,6.0,0.0,0.0
ABDERA,82.0,40.0,0.4878048780487805
ACCUMULO,3.0,2.0,0.6666666666666666
ACE,147.0,41.0,0.2789115646258503
ACL,1.0,0.0,0.0
AMQ,1286.0,1169.0,0.9090202177293935
AMQNET,191.0,113.0,0.5916230366492147
APLO,13.0,11.0,0.8461538461538461
ARTEMIS,966.0,730.0,0.7556935817805382
AMQCPP,143.0,131.0,0.916083916083916
AMQCLI,0.0,0.0,NaN
OPENWIRE,3.0,1.0,0.3333333333333333
BLAZE,0.0,0.0,NaN
ADDR,2.0,0.0,0.0
AIRAVATA,820.0,466.0,0.5682926829268292
ALOIS,0.0,0.0,NaN
ARMI,0.0,0.0,NaN
AMATERASU,1.0,1.0,1.0
AMBARI,5.0,2.0,0.4
AMBER,0.0,0.0,NaN
ANAKIA,1.0,0.0,0.0
ANNO,0.0,0.0,NaN
AIRFLOW,422.0,207.0,0.490521327014218
ANY23,76.0,61.0,0.8026315789473685
APEXCORE,202.0,39.0,0.19306930693069307
APEXMALHAR,416.0,21.0,0.05048076923076923
ARROW,140.0,57.0,0.40714285714285714
ASTERIXDB,1106.0,4.0,0.003616636528028933
AVRO,580.0,381.0,0.656896551724138
AWF,134.0,0.0,0.0
BLUR,175.0,152.0,0.8685714285714285
CHAINSAW,1.0,0.0,0.0
CMDA,1.0,0.0,0.0
GEOMETRY,1.0,0.0,0.0
COMMONSRDF,3.0,0.0,0.0
STATISTICS,0.0,0.0,NaN
CONCERTED,0.0,0.0,NaN
CB,7679.0,4785.0,0.6231280114598255
CRAIL,24.0,0.0,0.0
CURATOR,72.0,52.0,0.7222222222222222
DIRECTMEMORY,13.0,11.0,0.8461538461538461
DLAB,97.0,0.0,0.0
DRILL,1298.0,747.0,0.5755007704160247
DUBBO,0.0,0.0,NaN
FINERACT,243.0,41.0,0.16872427983539096
FLEX,26332.0,26294.0,0.9985568889564028
FREEMARKER,43.0,27.0,0.627906976744186
GEARPUMP,8.0,3.0,0.375
GOBBLIN,1.0,0.0,0.0
GORA,81.0,50.0,0.6172839506172839
HAWQ,508.0,74.0,0.14566929133858267
HELIX,88.0,32.0,0.36363636363636365
HORN,1.0,0.0,0.0
HUDI,0.0,0.0,NaN
INFRATEST1,1.0,0.0,0.0
JENA,845.0,622.0,0.736094674556213
KNOX,46.0,32.0,0.6956521739130435
LENS,360.0,113.0,0.3138888888888889
CLOWNFISH,0.0,0.0,NaN
MADLIB,424.0,2.0,0.0047169811320754715
MASFRES,5.0,3.0,0.6
METAMODEL,23.0,10.0,0.43478260869565216
MXNET,0.0,0.0,NaN
NEMO,5.0,0.0,0.0
NIFI,47.0,28.0,0.5957446808510638
MINIFI,2.0,1.0,0.5
OLTU,76.0,14.0,0.18421052631578946
OMID,15.0,6.0,0.4
ONAMI,29.0,26.0,0.896551724137931
CLIMATE,37.0,18.0,0.4864864864864865
OPENAZ,0.0,0.0,NaN
PLC4X,4.0,1.0,0.25
QPIDIT,27.0,1.0,0.037037037037037035
QUICKSTEP,16.0,0.0,0.0
RAT,23.0,20.0,0.8695652173913043
RIPPLE,34.0,0.0,0.0
ROCKETMQ,92.0,58.0,0.6304347826086957
ROL,1296.0,932.0,0.7191358024691358
S4,4.0,3.0,0.75
SDAP,0.0,0.0,NaN
SCB,50.0,6.0,0.12
STORM,147.0,86.0,0.5850340136054422
TAVERNA,0.0,0.0,NaN
TENTACLES,0.0,0.0,NaN
TEZ,1327.0,266.0,0.2004521477015825
MTOMCAT,126.0,110.0,0.873015873015873
TRAFODION,1815.0,413.0,0.2275482093663912
TRAINING,1.0,0.0,0.0
TWILL,14.0,5.0,0.35714285714285715
UNOMI,33.0,15.0,0.45454545454545453
WHIRR,3.0,1.0,0.3333333333333333
WHISKER,1.0,0.0,0.0
APACHECON,1.0,0.0,0.0
MRM,1012.0,840.0,0.8300395256916996
ARIA,66.0,19.0,0.2878787878787879
ARIES,285.0,136.0,0.47719298245614034
ASYNCWEB,17.0,13.0,0.7647058823529411
ATLAS,29.0,12.0,0.41379310344827586
ATTIC,19.0,0.0,0.0
AURORA,28.0,13.0,0.4642857142857143
AVALON,5.0,1.0,0.2
AVNSHARP,0.0,0.0,NaN
RUNTIME,24.0,22.0,0.9166666666666666
STUDIO,2.0,0.0,0.0
CENTRAL,5.0,0.0,0.0
PLANET,1.0,0.0,0.0
TOOLS,1.0,0.0,0.0
PNIX,3.0,3.0,1.0
AXIOM,268.0,37.0,0.13805970149253732
AXIS,329.0,190.0,0.5775075987841946
AXISCPP,712.0,458.0,0.6432584269662921
WSIF,7.0,5.0,0.7142857142857143
AXIS2,381.0,193.0,0.5065616797900262
TRANSPORTS,0.0,0.0,NaN
AXIS2C,361.0,247.0,0.6842105263157895
BAHIR,24.0,8.0,0.3333333333333333
BATCHEE,55.0,37.0,0.6727272727272727
BATIK,66.0,62.0,0.9393939393939394
BEAM,641.0,111.0,0.1731669266770671
BEEHIVE,771.0,690.0,0.8949416342412452
BIGTOP,771.0,637.0,0.8261997405966277
BLUESKY,1.0,0.0,0.0
BOOKKEEPER,269.0,112.0,0.4163568773234201
TM,0.0,0.0,NaN
BROOKLYN,28.0,13.0,0.4642857142857143
BUILDR,398.0,340.0,0.8542713567839196
BVAL,92.0,81.0,0.8804347826086957
STDCXX,431.0,349.0,0.8097447795823666
CACTUS,128.0,73.0,0.5703125
CALCITE,1419.0,354.0,0.24947145877378435
CAMEL,1491.0,1282.0,0.8598256203890007
CARBONDATA,251.0,167.0,0.6653386454183267
CASSANDRA,0.0,0.0,NaN
CAY,1060.0,932.0,0.879245283018868
CELIX,214.0,22.0,0.102803738317757
CMIS,64.0,43.0,0.671875
CHUKWA,11.0,1.0,0.09090909090909091
CLEREZZA,176.0,0.0,0.0
CLK,226.0,56.0,0.24778761061946902
CLKE,9.0,4.0,0.4444444444444444
CLOUDSTACK,2.0,2.0,1.0
COCOON,1474.0,1439.0,0.9762550881953868
COCOON3,37.0,29.0,0.7837837837837838
COMMONSSITE,23.0,6.0,0.2608695652173913
ATTRIBUTES,4.0,4.0,1.0
BCEL,110.0,79.0,0.7181818181818181
BEANUTILS,241.0,188.0,0.7800829875518672
BETWIXT,5.0,3.0,0.6
BSF,2.0,0.0,0.0
CHAIN,23.0,17.0,0.7391304347826086
CLI,144.0,105.0,0.7291666666666666
