Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
FOP-3,1,1,|,|1|,|0.17|
FOP-375,1,1,|,|1|,|0.15|
FOP-1149,1,1,|,|1|,|0.20.5|
FOP-1181,1,1,|,|1|,|trunk|
FOP-1206,1,1,|,|1|,|0.92|
FOP-1258,1,1,|,|1|,|0.92|
FOP-696,1,1,|,|1|,|0.20.5|
FOP-528,1,1,|,|1|,|0.20.4|
FOP-526,1,1,|,|1|,|0.20.5|
FOP-1008,1,1,|,|1|,|trunk|
FOP-777,1,1,|,|1|,|0.20.5|
FOP-8,1,1,|,|1|,|0.17|
FOP-5,1,1,|,|1|,|trunk|
FOP-4,1,1,|,|1|,|0.17|
FOP-2,1,1,|,|1|,|trunk|
FOP-14,1,1,|,|1|,|0.17|
FOP-10,1,1,|,|1|,|trunk|
FOP-9,1,1,|,|1|,|0.17|
FOP-239,1,1,|,|1|,|trunk|
FOP-243,1,1,|,|1|,|trunk|
FOP-106,1,1,|,|1|,|trunk|
FOP-111,1,1,|,|1|,|trunk|
FOP-109,1,1,|,|1|,|0.17|
FOP-108,1,1,|,|1|,|trunk|
FOP-314,1,1,|,|1|,|0.20.3|
FOP-1432,1,1,|,|1|,|0.94|
FOP-1209,1,1,|,|1|,|0.92|
FOP-1546,1,1,|,|1|,|trunk|
FOP-1922,3,3,|2|,|2|3|,|
FOP-1923,3,3,|2|,|2|3|,|
FOP-2024,3,3,|,|3|,|trunk|
FOP-1827,3,3,|,|3|,|trunk|
FOP-959,1,3,|,|1|2|3|,|trunk|
FOP-2030,3,3,|,|3|,|trunk|
FOP-1767,2,3,|,|2|3|,|trunk|
FOP-1792,2,3,|,|2|3|,|trunk|
FOP-1965,3,3,|2|,|2|3|,|
FOP-1841,3,3,|2|,|2|3|,|
FOP-1835,3,3,|,|3|,|trunk|
FOP-1870,3,3,|,|3|,|trunk|
FOP-1909,3,3,|,|3|,|trunk|
FOP-1958,3,3,|2|,|2|3|,|
FOP-1984,3,3,|2|,|2|3|,|
FOP-1790,2,3,|,|2|3|,|trunk|
FOP-1610,2,3,|,|2|3|,|trunk|
FOP-1865,3,3,|,|3|,|trunk|
FOP-1866,3,3,|,|3|,|trunk|
FOP-1931,3,3,|2|,|2|3|,|
FOP-1893,3,3,|,|3|,|trunk|
FOP-1892,3,3,|,|3|,|trunk|
FOP-1945,3,3,|2|,|2|3|,|
FOP-1953,3,3,|2|,|2|3|,|
FOP-1961,3,3,|2|,|2|3|,|
FOP-1962,3,3,|2|,|2|3|,|
FOP-1963,3,3,|2|,|2|3|,|
FOP-1973,3,3,|2|,|2|3|,|
FOP-1980,3,3,|2|,|2|3|,|
FOP-1986,3,3,|2|,|2|3|,|
FOP-1991,3,3,|2|,|2|3|,|
FOP-1993,3,3,|2|,|2|3|,|
FOP-1994,3,3,|2|,|2|3|,|
FOP-1995,3,3,|2|,|2|3|,|
FOP-2012,3,3,|,|3|,|trunk|
FOP-2013,3,3,|,|3|,|trunk|
FOP-2017,3,3,|,|3|,|trunk|
FOP-2029,3,3,|,|3|,|trunk|
FOP-1646,2,3,|1|,|1|2|3|,|
FOP-1859,3,3,|,|3|,|trunk|
FOP-1867,3,3,|,|3|,|trunk|
FOP-1853,3,3,|2|,|2|3|,|
FOP-1894,3,3,|,|3|,|trunk|
FOP-2023,3,3,|,|3|,|trunk|
FOP-1915,3,3,|,|3|,|trunk|
FOP-1914,3,3,|,|3|,|trunk|
FOP-1907,3,3,|,|3|,|trunk|
FOP-1831,3,3,|,|3|,|trunk|
FOP-1844,3,3,|2|,|2|3|,|
FOP-1917,3,3,|2|,|2|3|,|
FOP-1344,1,3,|,|1|2|3|,|0.93|
FOP-1746,2,3,|,|2|3|,|trunk|
FOP-1941,3,3,|,|3|,|trunk|
FOP-1407,1,3,|,|1|2|3|,|trunk|
FOP-1885,3,3,|2|,|2|3|,|
FOP-1553,1,3,|,|1|2|3|,|trunk|
FOP-1850,3,3,|2|,|2|3|,|
FOP-1847,3,3,|1|,|1|2|3|,|
FOP-1920,3,3,|,|3|,|trunk|
FOP-1911,3,3,|,|3|,|trunk|
FOP-1845,3,3,|2|,|2|3|,|
FOP-1997,3,3,|,|3|,|trunk|
FOP-1964,3,3,|2|,|2|3|,|
FOP-1826,3,3,|2|,|2|3|,|
FOP-2010,3,3,|,|3|,|trunk|
FOP-1869,3,3,|,|3|,|trunk|
FOP-1133,1,3,|,|1|2|3|,|0.90|
FOP-1891,3,3,|,|3|,|trunk|
FOP-1889,3,3,|,|3|,|trunk|
FOP-1933,3,3,|,|3|,|trunk|
FOP-1720,2,3,|,|2|3|,|trunk|
FOP-1843,3,3,|,|3|,|trunk|
FOP-1886,3,3,|,|3|,|trunk|
FOP-1878,3,3,|,|3|,|trunk|
FOP-1371,1,3,|,|1|2|3|,|0.93|
FOP-1950,3,3,|2|,|2|3|,|
FOP-1887,3,3,|,|3|,|trunk|
FOP-1913,3,3,|,|3|,|trunk|
FOP-1919,3,3,|2|,|2|3|,|
FOP-821,1,3,|,|1|2|3|,|trunk|
FOP-70,1,3,|,|1|2|3|,|0.17|
FOP-1088,1,3,|,|1|2|3|,|trunk|
FOP-1680,2,3,|1|,|1|2|3|,|
FOP-1085,1,3,|,|1|2|3|,|trunk|
FOP-876,1,3,|,|1|2|3|,|trunk|
FOP-403,1,3,|,|1|2|3|,|0.20.3|
FOP-1562,2,3,|,|2|3|,|trunk|
FOP-101,1,3,|,|1|2|3|,|trunk|
FOP-824,1,3,|,|1|2|3|,|trunk|
FOP-878,1,3,|,|1|2|3|,|trunk|
FOP-1217,1,3,|,|1|2|3|,|0.92|
FOP-668,1,3,|,|1|2|3|,|trunk|
FOP-91,1,3,|,|1|2|3|,|trunk|
FOP-66,1,3,|,|1|2|3|,|0.17|
FOP-1316,1,3,|,|1|2|3|,|trunk|
FOP-874,1,3,|,|1|2|3|,|trunk|
FOP-1620,2,3,|,|2|3|,|trunk|
FOP-1022,1,3,|,|1|2|3|,|trunk|
FOP-677,1,3,|,|1|2|3|,|trunk|
FOP-446,1,3,|,|1|2|3|,|0.20.4|
FOP-1698,2,3,|1|,|1|2|3|,|
FOP-1356,1,3,|,|1|2|3|,|trunk|
FOP-98,1,3,|,|1|2|3|,|trunk|
FOP-411,1,3,|,|1|2|3|,|0.20.4|
FOP-1308,1,3,|,|1|2|3|,|trunk|
FOP-796,1,3,|,|1|2|3|,|trunk|
FOP-1509,1,3,|,|1|2|3|,|trunk|
FOP-1189,1,3,|,|1|2|3|,|0.92|
FOP-1177,1,3,|,|1|2|3|,|trunk|
FOP-1105,1,3,|,|1|2|3|,|trunk|
FOP-871,1,3,|,|1|2|3|,|trunk|
FOP-1020,1,3,|,|1|2|3|,|trunk|
FOP-361,1,3,|,|1|2|3|,|0.20.3|
