Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
MODPYTHON-1,3,3,|1|2|,|1|2|3|,|
MODPYTHON-2,3,3,|2|,|2|3|,|
MODPYTHON-3,3,3,|2|,|2|3|,|
MODPYTHON-4,3,3,|2|,|2|3|,|
MODPYTHON-5,3,3,|1|3|,|1|2|3|,|
MODPYTHON-13,3,3,|2|,|2|3|,|
MODPYTHON-17,3,3,|2|,|2|3|,|
MODPYTHON-25,4,4,|2|,|2|3|4|,|
MODPYTHON-36,4,4,|2|,|2|3|4|,|
MODPYTHON-31,4,4,|2|,|2|3|4|,|
MODPYTHON-48,4,4,|3|,|3|4|,|
MODPYTHON-9,3,4,|2|,|2|3|4|,|
MODPYTHON-10,3,4,|2|,|2|3|4|,|
MODPYTHON-11,3,4,|2|,|2|3|4|,|
MODPYTHON-22,4,4,|2|3|,|2|3|4|,|
MODPYTHON-23,4,4,|3|,|3|4|,|
MODPYTHON-24,4,4,|3|,|3|4|,|
MODPYTHON-42,4,4,|4|,|4|,|
MODPYTHON-51,4,4,|3|,|3|4|,|
MODPYTHON-57,4,4,|3|,|3|4|,|
MODPYTHON-52,4,4,|4|,|4|,|
MODPYTHON-58,4,4,|2|3|4|,|2|3|4|,|
MODPYTHON-62,4,4,|3|,|3|4|,|
MODPYTHON-65,4,4,|4|,|4|,|
MODPYTHON-66,4,4,|4|,|4|,|
MODPYTHON-69,4,4,|4|,|4|,|
MODPYTHON-72,4,4,|4|,|4|,|
MODPYTHON-34,4,4,|3|,|3|4|,|
MODPYTHON-79,4,4,|3|4|,|3|4|,|
MODPYTHON-75,4,4,|2|3|,|2|3|4|,|
MODPYTHON-60,4,4,|2|3|4|,|2|3|4|,|
MODPYTHON-82,4,4,|4|,|4|,|
MODPYTHON-83,4,4,|3|4|,|3|4|,|
MODPYTHON-80,4,4,|2|3|4|,|2|3|4|,|
MODPYTHON-12,3,4,|2|,|2|3|4|,|
MODPYTHON-46,4,4,|3|,|3|4|,|
MODPYTHON-86,4,4,|4|,|4|,|
MODPYTHON-85,4,4,|4|,|4|,|
MODPYTHON-40,4,4,|3|,|3|4|,|
MODPYTHON-64,4,4,|3|,|3|4|,|
MODPYTHON-87,4,4,|4|,|4|,|
MODPYTHON-96,4,4,|2|3|4|,|2|3|4|,|
MODPYTHON-97,4,4,|4|,|4|,|
MODPYTHON-99,4,4,|4|,|4|,|
MODPYTHON-105,4,4,|4|,|4|,|
MODPYTHON-106,4,4,|2|3|4|,|2|3|4|,|
MODPYTHON-98,4,4,|3|4|,|3|4|,|
MODPYTHON-136,5,5,|4|,|4|5|,|
MODPYTHON-102,4,6,|3|,|3|4|5|6|,|
MODPYTHON-135,5,6,|4|,|4|5|6|,|
MODPYTHON-122,4,6,|3|4|,|3|4|5|6|,|
MODPYTHON-119,4,6,|4|,|4|5|6|,|
