Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
STR-10,1,7,|,|1|2|3|4|5|6|7|,|Nightly Build|
STR-9,1,7,|,|1|2|3|4|5|6|7|,|Nightly Build|
STR-18,1,7,|,|1|2|3|4|5|6|7|,|Nightly Build|
STR-79,1,7,|,|1|2|3|4|5|6|7|,|Nightly Build|
STR-126,1,7,|,|1|2|3|4|5|6|7|,|Nightly Build|
STR-164,1,7,|,|1|2|3|4|5|6|7|,|Nightly Build|
STR-204,1,7,|,|1|2|3|4|5|6|7|,|Nightly Build|
STR-209,1,7,|,|1|2|3|4|5|6|7|,|Nightly Build|
STR-208,1,7,|,|1|2|3|4|5|6|7|,|Nightly Build|
STR-239,1,7,|,|1|2|3|4|5|6|7|,|Nightly Build|
STR-248,1,7,|,|1|2|3|4|5|6|7|,|1.0 Beta 3|
STR-269,1,7,|,|1|2|3|4|5|6|7|,|Nightly Build|
STR-310,1,7,|,|1|2|3|4|5|6|7|,|Nightly Build|
STR-334,1,7,|,|1|2|3|4|5|6|7|,|1.0.0|
STR-480,2,7,|,|2|3|4|5|6|7|,|Nightly Build|
STR-624,2,7,|,|2|3|4|5|6|7|,|Nightly Build|
STR-684,2,7,|,|2|3|4|5|6|7|,|1.1 Beta 1|
STR-707,2,7,|1|,|1|2|3|4|5|6|7|,|
STR-898,2,7,|,|2|3|4|5|6|7|,|1.1 Beta 2|
STR-936,2,7,|,|2|3|4|5|6|7|,|1.1 Beta 2|
STR-995,2,7,|,|2|3|4|5|6|7|,|1.1 Beta 2|
STR-1159,2,7,|,|2|3|4|5|6|7|,|1.1 Beta 3|
STR-1162,2,7,|,|2|3|4|5|6|7|,|1.1 Beta 3|
STR-1161,2,7,|,|2|3|4|5|6|7|,|1.1 Beta 3|
STR-1198,2,7,|,|2|3|4|5|6|7|,|1.1 Beta 3|
STR-1723,3,7,|2|,|2|3|4|5|6|7|,|
STR-1856,3,7,|2|,|2|3|4|5|6|7|,|
STR-1961,3,7,|,|3|4|5|6|7|,|Future|
STR-2213,5,7,|2|,|2|3|4|5|6|7|,|
STR-2214,5,7,|,|5|6|7|,|Nightly Build|
STR-2217,5,7,|4|,|4|5|6|7|,|
STR-2218,5,7,|4|,|4|5|6|7|,|
STR-2252,5,7,|4|,|4|5|6|7|,|
STR-2354,6,7,|,|6|7|,|Future|
STR-2372,6,7,|,|6|7|,|Future|
STR-2535,7,7,|2|,|2|3|4|5|6|7|,|
STR-2574,7,7,|6|,|6|7|,|
STR-2584,7,7,|,|7|,|Nightly Build|
STR-2595,7,7,|1|,|1|2|3|4|5|6|7|,|
STR-2834,7,7,|,|7|,|1.2.9|
STR-2840,7,7,|,|7|,|1.3.2|
STR-2749,7,7,|,|7|,|1.2.8|
STR-2712,7,7,|,|7|,|1.2.8|
STR-2682,7,7,|,|7|,|1.2.8|
STR-2438,6,7,|,|6|7|,|Future|
STR-2342,6,7,|4|,|4|5|6|7|,|
