Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
XERCESJ-21,2,18,|3|,|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-87,5,18,|4|,|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-95,5,18,|4|,|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-108,6,18,|5|,|5|6|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-234,8,18,|6|,|6|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-243,8,18,|6|,|6|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-245,8,18,|7|,|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-338,8,18,|7|,|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-397,9,18,|8|,|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-399,9,18,|6|,|6|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-406,9,18,|6|,|6|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-417,9,18,|8|,|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-424,9,18,|6|,|6|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-427,9,18,|8|,|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-428,9,18,|8|,|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-433,9,18,|7|,|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-441,9,18,|8|,|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-442,9,18,|8|,|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-443,9,18,|8|,|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-446,9,18,|8|,|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-463,10,18,|9|,|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-464,10,18,|9|,|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-467,11,18,|9|,|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-469,11,18,|8|,|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-477,11,18,|10|,|10|11|12|13|14|15|16|17|18|,|
XERCESJ-478,11,18,|10|,|10|11|12|13|14|15|16|17|18|,|
XERCESJ-484,11,18,|10|,|10|11|12|13|14|15|16|17|18|,|
XERCESJ-486,11,18,|10|,|10|11|12|13|14|15|16|17|18|,|
XERCESJ-489,11,18,|10|,|10|11|12|13|14|15|16|17|18|,|
XERCESJ-513,12,18,|10|,|10|11|12|13|14|15|16|17|18|,|
XERCESJ-517,12,18,|10|,|10|11|12|13|14|15|16|17|18|,|
XERCESJ-548,12,18,|11|,|11|12|13|14|15|16|17|18|,|
XERCESJ-549,12,18,|11|,|11|12|13|14|15|16|17|18|,|
XERCESJ-550,12,18,|11|,|11|12|13|14|15|16|17|18|,|
XERCESJ-571,12,18,|11|,|11|12|13|14|15|16|17|18|,|
XERCESJ-572,12,18,|11|,|11|12|13|14|15|16|17|18|,|
