Key,Number of Closed and Linked Bugs,Number of C/L Bugs with no AV,Percent of C/L Bugs with no AV,Number of C/L Bugs with First AV after Ticket Creation,Percent of C/L Bugs with First AV after Ticket Creation,Number of C/L Bugs with a Problem,Percent of C/L Bugs with a Problem
ACE,128.0,91.0,0.7109375,0.0,0.0,91.0,0.7109375
AMQ,2233.0,533.0,0.238692342140618,52.0,0.02328705776981639,585.0,0.2619793999104344
AMQNET,189.0,59.0,0.31216931216931215,4.0,0.021164021164021163,63.0,0.3333333333333333
ARTEMIS,984.0,407.0,0.4136178861788618,4.0,0.0040650406504065045,411.0,0.4176829268292683
AMQCPP,245.0,25.0,0.10204081632653061,9.0,0.036734693877551024,34.0,0.13877551020408163
AIRAVATA,356.0,265.0,0.7443820224719101,32.0,0.0898876404494382,297.0,0.8342696629213483
AIRFLOW,957.0,639.0,0.6677115987460815,35.0,0.03657262277951933,674.0,0.7042842215256009
APEXCORE,120.0,87.0,0.725,2.0,0.016666666666666666,89.0,0.7416666666666667
APEXMALHAR,127.0,111.0,0.8740157480314961,0.0,0.0,111.0,0.8740157480314961
ARROW,1201.0,818.0,0.6810990840965861,4.0,0.0033305578684429643,822.0,0.6844296419650291
ASTERIXDB,615.0,594.0,0.9658536585365853,0.0,0.0,594.0,0.9658536585365853
AVRO,585.0,232.0,0.39658119658119656,4.0,0.006837606837606838,236.0,0.40341880341880343
BLUR,80.0,35.0,0.4375,0.0,0.0,35.0,0.4375
CB,3434.0,2079.0,0.6054164239953407,9.0,0.0026208503203261502,2088.0,0.6080372743156669
DLAB,20.0,20.0,1.0,0.0,0.0,20.0,1.0
DRILL,1782.0,1106.0,0.6206509539842873,39.0,0.021885521885521887,1145.0,0.6425364758698092
FINERACT,102.0,95.0,0.9313725490196079,0.0,0.0,95.0,0.9313725490196079
