Key,Name,URL
ACE,ACE,
AMQ,ActiveMQ,
AMQNET,ActiveMQ nms,
ARTEMIS,ActiveMQ Artemis,
AMQCPP,ActiveMQ CPP,
AIRAVATA,Airavata,
AIRFLOW,Apache Airflow,
APEXCORE,Apache Apex Core,
APEXMALHAR,Apache Apex Malhar,
ARROW,Apache Arrow,
ASTERIXDB,Apache AsterixDB,
AVRO,Apache Avro,
AWF,Apache AWF,
BLUR,Apache Blur,
CB,Apache Cordova,
DLAB,Apache DLab,
DRILL,Apache Drill,
FINERACT,Apache Fineract,
FLEX,Apache Flex,
HAWQ,Apache HAWQ,
JENA,Apache Jena,
LENS,Apache Lens,
MADLIB,Apache MADlib,
ROL,Apache Roller,
STORM,Apache Storm,
TEZ,Apache Tez,
MTOMCAT,Apache Tomcat Maven Plugin,
TRAFODION,Apache Trafodion,
MRM,Archiva,
ARIES,Aries,
AXIOM,Axiom,
AXIS,Axis,
AXISCPP,Axis-C++,
AXIS2,Axis2,
AXIS2C,Axis2-C,
BEAM,Beam,
BEEHIVE,Beehive,
BIGTOP,Bigtop,
BOOKKEEPER,Bookkeeper,
BUILDR,Buildr,
STDCXX,C++ Standard Library,
CACTUS,Cactus,
CALCITE,Calcite,
CAMEL,Camel,
CARBONDATA,CarbonData,
CAY,Cayenne,
CELIX,Celix,
CLEREZZA,Clerezza,
CLK,Click,
COCOON,Cocoon,
BCEL,Commons BCEL,
BEANUTILS,Commons BeanUtils,
CLI,Commons CLI,
COLLECTIONS,Commons Collections,
CONFIGURATION,Commons Configuration,
DBCP,Commons DBCP,
FILEUPLOAD,Commons FileUpload,
IO,Commons IO,
JCS,Commons JCS,
LANG,Commons Lang,
LOGGING,Commons Logging,
MATH,Commons Math,
NET,Commons Net,
POOL,Commons Pool,
VALIDATOR,Commons Validator,
VFS,Commons VFS,
CONTINUUM,Continuum,
COUCHDB,CouchDB,
CRUNCH,Crunch,
CXF,CXF,
DOSGI,CXF Distributed OSGi,
DAFFODIL,Daffodil,
DTACLOUD,DeltaCloud,
DELTASPIKE,DeltaSpike,
DERBY,Derby,
DIRSERVER,Directory ApacheDS,
DIRAPI,Directory Client API,
DIRSTUDIO,Directory Studio,
EAGLE,Eagle,
FALCON,Falcon,
FELIX,Felix,
FLINK,Flink,
FLUME,Flume,
FOP,FOP,
FOR,Forrest,
FTPSERVER,FtpServer,
GEODE,Geode,
GERONIMO,Geronimo,
GERONIMODEVTOOLS,Geronimo-Devtools,
GROOVY,Groovy,
HADOOP,Hadoop Common,
HDFS,Hadoop HDFS,
MAPREDUCE,Hadoop Map/Reduce,
YARN,Hadoop YARN,
HARMONY,Harmony,
HBASE,HBase,
HCATALOG,HCatalog,
HIVE,Hive,
HTTPCLIENT,HttpComponents HttpClient,
HTTPCORE,HttpComponents HttpCore,
IBATISNET,iBatis for .NET,
IBATIS,iBatis for Java [READ ONLY],
IGNITE,Ignite,
IMPALA,IMPALA,
INFRA,Infrastructure,
ISIS,Isis,
IVY,Ivy,
JCR,Jackrabbit Content Repository,
JCRVLT,Jackrabbit FileVault,
OAK,Jackrabbit Oak,
JAMES,James Server,
JCLOUDS,jclouds,
JDO,JDO,
JS2,Jetspeed 2,
JSPWIKI,JSPWiki,
JUDDI,jUDDI,
KAFKA,Kafka,
KARAF,Karaf,
KYLIN,Kylin,
LIBCLOUD,Libcloud,
LOG4J2,Log4j 2,
LUCENE,Lucene - Core,
LUCENENET,Lucene.Net,
MAHOUT,Mahout,
MARMOTTA,Marmotta,
MNG,Maven,
MANTTASKS,Maven Ant Tasks (RETIRED),
MANTRUN,Maven Antrun Plugin,
ARCHETYPE,Maven Archetype,
MASSEMBLY,Maven Assembly Plugin,
MCHANGES,Maven Changes Plugin,
MCHECKSTYLE,Maven Checkstyle Plugin,
MCOMPILER,Maven Compiler Plugin,
MDEP,Maven Dependency Plugin,
MDEPLOY,Maven Deploy Plugin,
DOXIA,Maven Doxia,
MEAR,Maven Ear Plugin,
MECLIPSE,Maven Eclipse Plugin (RETIRED),
MENFORCER,Maven Enforcer Plugin,
MJAR,Maven JAR Plugin,
MJAVADOC,Maven Javadoc Plugin,
MPLUGIN,Maven Plugin Tools,
MPMD,Maven PMD Plugin,
MPIR,Maven Project Info Reports Plugin,
MNGSITE,Maven Project Web Site,
MRELEASE,Maven Release Plugin,
MRESOURCES,Maven Resources Plugin,
SCM,Maven SCM,
MSHADE,Maven Shade Plugin,
