Key,Number of Closed and Linked Bugs,Number of C/L Bugs with no AV,Percent of C/L Bugs with no AV,Number of C/L Bugs with First AV after Ticket Creation,Percent of C/L Bugs with First AV after Ticket Creation,Number of C/L Bugs with a Problem,Percent of C/L Bugs with a Problem
STORM,868.0,565.0,0.6509216589861752,76.0,0.08755760368663594,641.0,0.738479262672811
TEZ,1298.0,1120.0,0.8628659476117103,27.0,0.020801232665639446,1147.0,0.8836671802773498
MTOMCAT,40.0,6.0,0.15,0.0,0.0,6.0,0.15
TRAFODION,721.0,614.0,0.8515950069348127,29.0,0.04022191400832178,643.0,0.8918169209431346
MRM,465.0,101.0,0.2172043010752688,33.0,0.07096774193548387,134.0,0.28817204301075267
ARIES,676.0,408.0,0.6035502958579881,19.0,0.028106508875739646,427.0,0.6316568047337278
AXIOM,131.0,53.0,0.40458015267175573,2.0,0.015267175572519083,55.0,0.4198473282442748
AXIS,434.0,180.0,0.4147465437788018,5.0,0.01152073732718894,185.0,0.42626728110599077
AXISCPP,0.0,0.0,NaN,0.0,NaN,0.0,NaN
AXIS2,1624.0,945.0,0.5818965517241379,19.0,0.011699507389162561,964.0,0.5935960591133005
AXIS2C,374.0,245.0,0.6550802139037433,1.0,0.00267379679144385,246.0,0.6577540106951871
BEAM,1082.0,892.0,0.8243992606284658,12.0,0.011090573012939002,904.0,0.8354898336414048
BIGTOP,935.0,191.0,0.20427807486631017,10.0,0.0106951871657754,201.0,0.21497326203208555
BOOKKEEPER,386.0,252.0,0.6528497409326425,16.0,0.04145077720207254,268.0,0.694300518134715
BUILDR,242.0,42.0,0.17355371900826447,0.0,0.0,42.0,0.17355371900826447
STDCXX,369.0,66.0,0.17886178861788618,0.0,0.0,66.0,0.17886178861788618
CALCITE,1237.0,954.0,0.7712206952303962,9.0,0.007275666936135812,963.0,0.778496362166532
CAMEL,3232.0,538.0,0.16646039603960397,107.0,0.03310643564356436,645.0,0.19956683168316833
CARBONDATA,964.0,814.0,0.8443983402489627,19.0,0.01970954356846473,833.0,0.8641078838174274
CAY,580.0,211.0,0.36379310344827587,118.0,0.20344827586206896,329.0,0.5672413793103448
CELIX,182.0,169.0,0.9285714285714286,0.0,0.0,169.0,0.9285714285714286
CLEREZZA,252.0,252.0,1.0,0.0,0.0,252.0,1.0
CLK,210.0,205.0,0.9761904761904762,0.0,0.0,205.0,0.9761904761904762
