Project Key,Approach,Precision,Recall,F1,MCC,Kappa
AMQCPP,Simple,1,0.109489051,0.197368421,0.319702471,0.185463207
AMQCPP,Proportion0.5,1,0.058394161,0.110344828,0.233033618,0.103015132
AMQCPP,Proportion1,0.976190476,0.598540146,0.742081448,0.751362081,0.726695937
AMQCPP,Proportion2,0.478813559,0.824817518,0.605898123,0.591063384,0.565148564
AMQCPP,Merge,0.976190476,0.598540146,0.742081448,0.751362081,0.726695937
AMQCPP,Cold Start Proportion,1,0.583941606,0.737327189,0.751755749,0.722156351
AMQCPP,SZZu,0.112956811,0.99270073,0.202833706,0.202819694,0.080570761
AMQCPP,SZZuBest,0.120674357,0.99270073,0.215189873,0.22228014,0.095783311
AMQCPP,SZZu0,0.123974476,0.99270073,0.220421394,0.230100115,0.102214474
AMQCPP,SZZu25,0.120674357,0.99270073,0.215189873,0.22228014,0.095783311
AMQCPP,SZZu50,0.118881119,0.99270073,0.212334114,0.217913295,0.092270256
AMQCPP,SZZu75,0.114961961,0.99270073,0.206060606,0.208050843,0.084546745
AMQCPP,SZZu100,0.112956811,0.99270073,0.202833706,0.202819694,0.080570761
AMQCPP,PPAM,0.08,0.745,0.145,0.035,0.0128
AMQCPP,Combined ML,0.7586,0.6423,0.6956,0.6761,0.6735
AMQCPP,Combined ML + Feature Selection,0.9878,0.5912,0.7397,0.7515,0.7244
DELTASPIKE,Simple,1,0.358024691,0.527272727,0.568980419,0.489127821
DELTASPIKE,Proportion0.5,1,0.148148148,0.258064516,0.360408352,0.229922735
DELTASPIKE,Proportion1,1,0.765432099,0.867132867,0.858438117,0.848533839
DELTASPIKE,Proportion2,0.634453782,0.932098765,0.755,0.724515784,0.705346818
DELTASPIKE,Merge,1,0.765432099,0.867132867,0.858438117,0.848533839
DELTASPIKE,Cold Start Proportion,0.985074627,0.814814815,0.891891892,0.881195332,0.875992521
DELTASPIKE,SZZu,0.201501877,0.99382716,0.335067638,0.261430471,0.130268837
DELTASPIKE,SZZuBest,0.214477212,0.987654321,0.352422907,0.286142514,0.156045809
DELTASPIKE,SZZu0,0.217096336,0.987654321,0.355951057,0.291357978,0.161196857
DELTASPIKE,SZZu25,0.214477212,0.987654321,0.352422907,0.286142514,0.156045809
DELTASPIKE,SZZu50,0.207474227,0.99382716,0.343283582,0.274334184,0.142328588
DELTASPIKE,SZZu75,0.202515723,0.99382716,0.33646813,0.263665434,0.132327156
DELTASPIKE,SZZu100,0.201501877,0.99382716,0.335067638,0.261430471,0.130268837
DELTASPIKE,PPAM,0.262,0.79,0.393,0.298,0.2293
DELTASPIKE,Combined ML,0.8986,0.821,0.8581,0.837,0.8359
DELTASPIKE,Combined ML + Feature Selection,0.8986,0.821,0.8581,0.837,0.8359
DIRSTUDIO,Simple,1,0.227586207,0.370786517,0.452466054,0.339870825
DIRSTUDIO,Proportion0.5,1,0.068965517,0.129032258,0.246544509,0.114602377
DIRSTUDIO,Proportion1,1,0.75862069,0.862745098,0.856178132,0.845959209
DIRSTUDIO,Proportion2,0.589285714,0.910344828,0.715447154,0.686209656,0.66390819
DIRSTUDIO,Merge,1,0.75862069,0.862745098,0.856178132,0.845959209
DIRSTUDIO,Cold Start Proportion,0.991071429,0.765517241,0.86381323,0.855922734,0.846965981
DIRSTUDIO,SZZu,0.212609971,1,0.350665054,0.314292708,0.179799259
DIRSTUDIO,SZZuBest,0.253731343,0.820689655,0.38762215,0.318795845,0.241207885
DIRSTUDIO,SZZu0,0.253731343,0.820689655,0.38762215,0.318795845,0.241207885
DIRSTUDIO,SZZu25,0.257253385,0.917241379,0.401812689,0.356806523,0.254797179
DIRSTUDIO,SZZu50,0.245115453,0.951724138,0.389830508,0.350858832,0.236450638
DIRSTUDIO,SZZu75,0.221020093,0.986206897,0.361111111,0.324005556,0.194984382
DIRSTUDIO,SZZu100,0.212609971,1,0.350665054,0.314292708,0.179799259
DIRSTUDIO,PPAM,0.116,0.559,0.192,-0.038,-0.0215
DIRSTUDIO,Combined ML,1,0.2276,0.3708,0.4525,0.3399
DIRSTUDIO,Combined ML + Feature Selection,0.983,0.8,0.8821,0.8729,0.8671
ISIS,Simple,1,0.36,0.529411765,0.580046339,0.503502279
ISIS,Proportion0.5,1,0.2,0.333333333,0.428849057,0.310684559
ISIS,Proportion1,0.93220339,0.825,0.875331565,0.864571793,0.862615666
ISIS,Proportion2,0.581602374,0.98,0.729981378,0.723186908,0.691858693
ISIS,Merge,0.93220339,0.825,0.875331565,0.864571793,0.862615666
ISIS,Cold Start Proportion,0.982035928,0.82,0.89373297,0.887601531,0.883260578
ISIS,SZZu,0.138002774,0.995,0.242387333,0.207335241,0.083759435
