Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
AMQCPP-403,3.4.3,0,0,0.0,No,No,No,No,No,No,No
AMQCPP-403,3.4.2,28,59,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AMQCPP-403,3.4.1,158,59,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,3.4.0,391,59,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,3.3.0,404,59,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,3.2.5,447,59,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,3.2.4,532,61,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,3.2.3,621,61,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,3.2.2,665,61,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,3.2.1,693,61,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,3.2.0,706,61,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,3.1.3,720,61,11.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,3.1.2,789,61,12.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,3.1.1,797,61,13.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,3.1,885,84,14.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,3.0.1,1056,84,15.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,3.0,1078,84,16.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,2.2.6,1104,84,17.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,2.2.5,1156,84,18.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,2.2.4,1193,84,19.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-403,2.2.3,1228,84,20.0,No,No,No,No,No,No,No
AMQCPP-403,2.2.2,1276,84,21.0,No,No,No,No,No,No,No
AMQCPP-403,2.2.1,1353,84,22.0,No,No,No,No,No,No,No
AMQCPP-403,2.2,1432,84,23.0,No,No,No,No,No,No,No
AMQCPP-403,2.1.3,1630,84,24.0,No,No,No,No,No,No,No
AMQCPP-403,2.1.1,1671,84,25.0,No,No,No,No,No,No,No
AMQCPP-403,2.1,1758,84,26.0,No,No,No,No,No,No,No
AMQCPP-403,2.0.1,1842,84,27.0,No,No,No,No,No,No,No
AMQCPP-403,2.0,1861,84,28.0,No,No,No,No,No,No,No
AMQCPP-403,1.1,1939,84,29.0,No,No,No,No,No,No,No
AMQCPP-403,2.1.2,2005,84,30.0,No,No,No,No,No,No,No
AMQCPP-403,1.0,2015,84,31.0,No,No,No,No,No,No,No
AMQCPP-404,3.4.4,0,0,0.0,No,No,No,No,No,No,No
AMQCPP-404,3.4.3,5,86,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AMQCPP-404,3.4.2,55,86,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AMQCPP-404,3.4.1,185,222,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-404,3.4.0,418,250,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-404,3.3.0,431,250,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-404,3.2.5,474,1037,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-404,3.2.4,559,1339,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-404,3.2.3,648,1545,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-404,3.2.2,692,1600,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-404,3.2.1,720,1600,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-404,3.2.0,733,1616,11.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-404,3.1.3,747,82652,12.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-404,3.1.2,816,121137,13.0,No,No,No,No,No,No,No
AMQCPP-404,3.1.1,824,121137,14.0,No,No,No,No,No,No,No
AMQCPP-404,3.1,912,121137,15.0,No,No,No,No,No,No,No
AMQCPP-404,3.0.1,1083,121137,16.0,No,No,No,No,No,No,No
AMQCPP-404,3.0,1105,121137,17.0,No,No,No,No,No,No,No
AMQCPP-404,2.2.6,1131,121137,18.0,No,No,No,No,No,No,No
AMQCPP-404,2.2.5,1183,121137,19.0,No,No,No,No,No,No,No
AMQCPP-404,2.2.4,1220,121137,20.0,No,No,No,No,No,No,No
AMQCPP-404,2.2.3,1255,121137,21.0,No,No,No,No,No,No,No
AMQCPP-404,2.2.2,1303,121137,22.0,No,No,No,No,No,No,No
AMQCPP-404,2.2.1,1380,121137,23.0,No,No,No,No,No,No,No
AMQCPP-404,2.2,1459,121137,24.0,No,No,No,No,No,No,No
AMQCPP-404,2.1.3,1657,121137,25.0,No,No,No,No,No,No,No
AMQCPP-404,2.1.1,1698,121137,26.0,No,No,No,No,No,No,No
AMQCPP-404,2.1,1785,121137,27.0,No,No,No,No,No,No,No
AMQCPP-404,2.0.1,1869,121137,28.0,No,No,No,No,No,No,No
AMQCPP-404,2.0,1888,121137,29.0,No,No,No,No,No,No,No
AMQCPP-404,1.1,1966,121137,30.0,No,No,No,No,No,No,No
AMQCPP-404,2.1.2,2032,121137,31.0,No,No,No,No,No,No,No
AMQCPP-404,1.0,2042,121137,32.0,No,No,No,No,No,No,No
AMQCPP-406,3.4.3,0,0,0.0,No,No,No,No,No,No,No
AMQCPP-406,3.4.2,28,25,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AMQCPP-406,3.4.1,158,25,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,3.4.0,391,25,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,3.3.0,404,25,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,3.2.5,447,25,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,3.2.4,532,27,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,3.2.3,621,27,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,3.2.2,665,27,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,3.2.1,693,27,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,3.2.0,706,29,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,3.1.3,720,29,11.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,3.1.2,789,135,12.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,3.1.1,797,225,13.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,3.1,885,225,14.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,3.0.1,1056,233,15.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,3.0,1078,233,16.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,2.2.6,1104,233,17.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,2.2.5,1156,233,18.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,2.2.4,1193,233,19.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,2.2.3,1228,233,20.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,2.2.2,1276,233,21.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,2.2.1,1353,233,22.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,2.2,1432,233,23.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,2.1.3,1630,233,24.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,2.1.1,1671,233,25.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,2.1,1758,233,26.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,2.0.1,1842,233,27.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,2.0,1861,233,28.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,1.1,1939,233,29.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,2.1.2,2005,233,30.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-406,1.0,2015,233,31.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-402,3.4.3,0,0,0.0,No,No,No,No,No,No,No
AMQCPP-402,3.4.2,20,1272,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AMQCPP-402,3.4.1,150,1272,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-402,3.4.0,383,1325,3.0,No,Yes,Yes,Yes,Yes,No,No
AMQCPP-402,3.3.0,396,1353,4.0,No,Yes,Yes,Yes,Yes,No,No
AMQCPP-402,3.2.5,439,1353,5.0,No,Yes,Yes,Yes,Yes,No,No
AMQCPP-402,3.2.4,524,1422,6.0,No,Yes,Yes,Yes,Yes,No,No
AMQCPP-402,3.2.3,613,1422,7.0,No,Yes,Yes,Yes,Yes,No,No
