Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
AMQCPP-197,2.2.2,0,0,0.0,No,No,No,No,No,No,No
AMQCPP-197,2.2.1,6,1,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AMQCPP-197,2.2,85,21,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AMQCPP-197,2.1.3,283,248,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-197,2.1.1,324,382,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-197,2.1,411,391,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-197,2.0.1,495,434,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-197,2.0,514,434,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-197,1.1,592,434,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-197,2.1.2,658,434,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-197,1.0,668,434,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-199,2.2.2,0,0,0.0,No,No,No,No,No,No,No
AMQCPP-199,2.2.1,65,11,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AMQCPP-199,2.2,144,11,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-199,2.1.3,342,84,3.0,No,No,No,No,No,No,No
AMQCPP-199,2.1.1,383,84,4.0,No,No,No,No,No,No,No
AMQCPP-199,2.1,470,84,5.0,No,No,No,No,No,No,No
AMQCPP-199,2.0.1,554,84,6.0,No,No,No,No,No,No,No
AMQCPP-199,2.0,573,84,7.0,No,No,No,No,No,No,No
AMQCPP-199,1.1,651,84,8.0,No,No,No,No,No,No,No
AMQCPP-199,2.1.2,717,84,9.0,No,No,No,No,No,No,No
AMQCPP-199,1.0,727,84,10.0,No,No,No,No,No,No,No
AMQCPP-96,2.0,0,0,0.0,No,No,No,No,No,No,No
AMQCPP-96,1.1,64,100,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AMQCPP-96,2.1.2,130,128,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-96,1.0,140,128,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
AMQCPP-98,2.0,0,0,0.0,No,No,No,No,No,No,No
AMQCPP-98,1.1,70,524,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AMQCPP-98,2.1.2,136,1462,2.0,No,No,Yes,Yes,Yes,No,No
AMQCPP-98,1.0,146,1470,3.0,No,No,Yes,Yes,Yes,No,No
AMQCPP-174,2.2,0,0,0.0,No,No,No,No,No,No,No
AMQCPP-174,2.1.3,164,5,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AMQCPP-174,2.1.1,205,65,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
