Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
DELTASPIKE-681,1.0.2,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-681,1.0.1,23,13,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-681,1.0.0,52,13,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-681,0.7,94,165,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-681,0.6,139,165,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-681,0.5,321,172,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-681,0.4,431,172,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-681,0.3-incubating,713,190,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-681,0.2-incubating,835,202,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-681,0.1-incubating,907,202,9.0,No,No,No,No,No,No,No
DELTASPIKE-684,1.0.2,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-684,1.0.1,32,32,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-684,1.0.0,61,40,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-684,0.7,103,52,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-684,0.6,148,60,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-684,0.5,330,68,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-684,0.4,440,76,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-684,0.3-incubating,722,199,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-684,0.2-incubating,844,199,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-684,0.1-incubating,916,199,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-685,1.0.2,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-685,1.0.1,31,2,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-685,1.0.0,60,2,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-685,0.7,102,8,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-685,0.6,147,154,4.0,No,No,No,No,No,No,No
DELTASPIKE-685,0.5,329,154,5.0,No,No,No,No,No,No,No
DELTASPIKE-685,0.4,439,154,6.0,No,No,No,No,No,No,No
DELTASPIKE-685,0.3-incubating,721,154,7.0,No,No,No,No,No,No,No
DELTASPIKE-685,0.2-incubating,843,154,8.0,No,No,No,No,No,No,No
DELTASPIKE-685,0.1-incubating,915,154,9.0,No,No,No,No,No,No,No
DELTASPIKE-679,1.0.2,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-679,1.0.1,18,2,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-679,1.0.0,47,2,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-679,0.7,89,2,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-679,0.6,134,2,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-679,0.5,316,2,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-679,0.4,426,62,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-679,0.3-incubating,708,71,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-679,0.2-incubating,830,446,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-679,0.1-incubating,902,573,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-799,1.2.1,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-799,1.2.0,12,38,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-799,1.1.0,41,62,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
