Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
DIRSTUDIO-395,1.3.0,0,0,0.0,No,No,No,No,No,No,No
DIRSTUDIO-395,1.2.0,58,3058,1.0,No,Yes,Yes,Yes,Yes,No,Yes
DIRSTUDIO-395,1.1.0,167,4353,2.0,No,No,Yes,Yes,Yes,No,No
DIRSTUDIO-395,1.0.1,369,4353,3.0,No,No,Yes,Yes,Yes,No,No
DIRSTUDIO-395,1.0.0,383,4353,4.0,No,No,Yes,Yes,Yes,No,No
DIRSTUDIO-395,0.8.1,425,4353,5.0,No,No,Yes,Yes,Yes,No,No
DIRSTUDIO-395,0.8.0,506,4353,6.0,No,No,No,Yes,Yes,No,No
DIRSTUDIO-395,0.7.0,534,4353,7.0,No,No,No,Yes,Yes,No,No
DIRSTUDIO-395,0.6.0,586,4353,8.0,No,No,No,Yes,Yes,No,No
DIRSTUDIO-495,1.5.0,0,0,0.0,No,No,No,No,No,No,No
DIRSTUDIO-495,1.4.0,181,103,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DIRSTUDIO-495,1.3.0,318,782,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DIRSTUDIO-495,1.2.0,440,782,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DIRSTUDIO-495,1.1.0,549,782,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DIRSTUDIO-495,1.0.1,751,782,5.0,No,No,Yes,Yes,Yes,No,No
DIRSTUDIO-495,1.0.0,765,782,6.0,No,No,Yes,Yes,Yes,No,No
DIRSTUDIO-495,0.8.1,807,782,7.0,No,No,Yes,Yes,Yes,No,No
DIRSTUDIO-495,0.8.0,888,782,8.0,No,No,No,No,No,No,No
DIRSTUDIO-495,0.7.0,916,782,9.0,No,No,No,No,No,No,No
DIRSTUDIO-495,0.6.0,968,782,10.0,No,No,No,No,No,No,No
DIRSTUDIO-370,1.5.0,0,0,0.0,No,No,No,No,No,No,No
DIRSTUDIO-370,1.4.0,185,72,0.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DIRSTUDIO-370,1.3.0,322,72,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DIRSTUDIO-370,1.2.0,444,72,1.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DIRSTUDIO-370,1.1.0,553,72,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DIRSTUDIO-370,1.0.1,755,72,2.5,Yes,Yes,Yes,Yes,Yes,Yes,No
DIRSTUDIO-370,1.0.0,769,72,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DIRSTUDIO-370,0.8.1,811,72,3.5,No,No,No,No,Yes,No,No
