Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
ISIS-1179,1.9.0,0,0,0.0,No,No,No,No,No,No,No
ISIS-1179,Website and Docs,119,21,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ISIS-1179,core-1.8.0,155,21,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ISIS-1179,core-1.7.0,284,21,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1179,core-1.6.0,366,21,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1179,core-1.5.0,416,21,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1179,objectstore-jdo-1.4.1,502,21,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1179,core-1.4.0,505,21,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1179,viewer-wicket-1.3.1,629,21,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1179,core-1.3.0,642,21,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1179,archetype-wrj-1.0.3,789,21,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1179,core-1.2.0,790,21,11.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1179,core-1.1.0,909,21,12.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1179,security-shiro-1.0.0,930,21,13.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1179,core-1.0.0,947,21,14.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1179,0.2.0-incubating,1255,21,15.0,No,No,No,No,No,No,No
ISIS-1179,0.1.2-incubating,1477,21,16.0,No,No,No,No,No,No,No
ISIS-1057,Website and Docs,0,0,0.0,No,No,No,No,No,No,No
ISIS-1057,core-1.8.0,12,110,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ISIS-1057,core-1.7.0,141,110,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1057,core-1.6.0,223,110,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1057,core-1.5.0,273,110,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1057,objectstore-jdo-1.4.1,359,110,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1057,core-1.4.0,362,110,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1057,viewer-wicket-1.3.1,486,110,7.0,No,No,Yes,Yes,Yes,No,No
ISIS-1057,core-1.3.0,499,110,8.0,No,No,Yes,Yes,Yes,No,No
ISIS-1057,archetype-wrj-1.0.3,646,110,9.0,No,No,Yes,Yes,Yes,No,No
ISIS-1057,core-1.2.0,647,110,10.0,No,No,Yes,Yes,Yes,No,No
ISIS-1057,core-1.1.0,766,110,11.0,No,No,Yes,Yes,Yes,No,No
ISIS-1057,security-shiro-1.0.0,787,110,12.0,No,No,Yes,Yes,Yes,No,No
ISIS-1057,core-1.0.0,804,110,13.0,No,No,Yes,Yes,Yes,No,No
ISIS-1057,0.2.0-incubating,1112,110,14.0,No,No,No,No,No,No,No
ISIS-1057,0.1.2-incubating,1334,110,15.0,No,No,No,No,No,No,No
ISIS-1177,1.9.0,0,0,0.0,No,No,No,No,No,No,No
ISIS-1177,Website and Docs,115,23,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ISIS-1177,core-1.8.0,151,23,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ISIS-1177,core-1.7.0,280,27,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1177,core-1.6.0,362,27,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1177,core-1.5.0,412,27,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1177,objectstore-jdo-1.4.1,498,27,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1177,core-1.4.0,501,27,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1177,viewer-wicket-1.3.1,625,27,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1177,core-1.3.0,638,27,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1177,archetype-wrj-1.0.3,785,27,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1177,core-1.2.0,786,27,11.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1177,core-1.1.0,905,27,12.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1177,security-shiro-1.0.0,926,27,13.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1177,core-1.0.0,943,27,14.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-1177,0.2.0-incubating,1251,27,15.0,No,No,No,No,No,No,No
ISIS-1177,0.1.2-incubating,1473,27,16.0,No,No,No,No,No,No,No
ISIS-1175,1.9.0,0,0,0.0,No,No,No,No,No,No,No
ISIS-1175,Website and Docs,119,242,1.0,No,No,No,Yes,Yes,No,Yes
ISIS-1175,core-1.8.0,155,242,2.0,No,No,No,Yes,Yes,No,Yes
