Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
LOG4J2-298,2.0-beta8,0,0,0.0,No,No,No,No,No,No,No
LOG4J2-298,2.0-beta7,28,79,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LOG4J2-298,2.0-beta6,58,169,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-298,2.0-beta5,73,244,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-298,2.0-beta4,163,376,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-298,2.0-beta3,233,507,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-298,2.0-beta2,264,568,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-298,2.0-beta1,284,637,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-298,2.0-alpha2,313,704,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-298,2.0-alpha1,331,726,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-297,2.0-beta8,0,0,0.0,No,No,No,No,No,No,No
LOG4J2-297,2.0-beta7,28,80,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LOG4J2-297,2.0-beta6,58,170,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-297,2.0-beta5,73,298,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-297,2.0-beta4,163,442,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-297,2.0-beta3,233,704,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-297,2.0-beta2,264,899,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-297,2.0-beta1,284,968,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-297,2.0-alpha2,313,1194,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-297,2.0-alpha1,331,1216,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-296,2.0-beta8,0,0,0.0,No,No,No,No,No,No,No
LOG4J2-296,2.0-beta7,28,93,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LOG4J2-296,2.0-beta6,58,389,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-296,2.0-beta5,73,464,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-296,2.0-beta4,163,1340,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-296,2.0-beta3,233,1471,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-296,2.0-beta2,264,1532,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-296,2.0-beta1,284,1601,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-296,2.0-alpha2,313,1668,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-296,2.0-alpha1,331,1690,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-295,2.0-beta8,0,0,0.0,No,No,No,No,No,No,No
LOG4J2-295,2.0-beta7,26,443,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LOG4J2-295,2.0-beta6,56,632,2.0,No,No,Yes,Yes,Yes,No,No
LOG4J2-295,2.0-beta5,71,707,3.0,No,No,Yes,Yes,Yes,No,No
LOG4J2-295,2.0-beta4,161,1247,4.0,No,No,No,No,No,No,No
LOG4J2-295,2.0-beta3,231,1378,5.0,No,No,No,No,No,No,No
LOG4J2-295,2.0-beta2,262,1439,6.0,No,No,No,No,No,No,No
LOG4J2-295,2.0-beta1,282,1508,7.0,No,No,No,No,No,No,No
LOG4J2-295,2.0-alpha2,311,1575,8.0,No,No,No,No,No,No,No
LOG4J2-295,2.0-alpha1,329,1597,9.0,No,No,No,No,No,No,No
LOG4J2-293,2.0-beta9,0,0,0.0,No,No,No,No,No,No,No
LOG4J2-293,2.0-beta8,65,72,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LOG4J2-293,2.0-beta7,101,72,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LOG4J2-293,2.0-beta6,131,72,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-293,2.0-beta5,146,72,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-293,2.0-beta4,236,72,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-293,2.0-beta3,306,72,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-293,2.0-beta2,337,72,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-293,2.0-beta1,357,72,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-293,2.0-alpha2,386,72,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-293,2.0-alpha1,404,72,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No
LOG4J2-292,2.0-beta8,0,0,0.0,No,No,No,No,No,No,No
LOG4J2-292,2.0-beta7,26,443,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LOG4J2-292,2.0-beta6,56,632,2.0,No,No,Yes,Yes,Yes,No,No
LOG4J2-292,2.0-beta5,71,707,3.0,No,No,Yes,Yes,Yes,No,No
LOG4J2-292,2.0-beta4,161,1247,4.0,No,No,No,No,No,No,No
LOG4J2-292,2.0-beta3,231,1378,5.0,No,No,No,No,No,No,No
LOG4J2-292,2.0-beta2,262,1439,6.0,No,No,No,No,No,No,No
LOG4J2-292,2.0-beta1,282,1508,7.0,No,No,No,No,No,No,No
LOG4J2-292,2.0-alpha2,311,1575,8.0,No,No,No,No,No,No,No
LOG4J2-292,2.0-alpha1,329,1597,9.0,No,No,No,No,No,No,No
LOG4J2-291,2.0-beta9,0,0,0.0,No,No,No,No,No,No,No
LOG4J2-291,2.0-beta8,7,49,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LOG4J2-291,2.0-beta7,43,145,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LOG4J2-291,2.0-beta6,73,235,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
