Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
QPIDJMS-179,0.10.0,0,0,0.0,No,No,No,No,No,No,No
QPIDJMS-179,0.9.0,43,23,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
QPIDJMS-179,0.8.0,95,27,2.0,No,No,No,Yes,Yes,No,Yes
QPIDJMS-179,0.7.0,155,27,3.0,No,No,No,Yes,Yes,No,No
QPIDJMS-179,0.6.0,225,304,4.0,No,No,No,Yes,Yes,No,No
QPIDJMS-179,0.5.0,267,316,5.0,No,No,No,Yes,Yes,No,No
QPIDJMS-179,0.4.0,279,316,6.0,No,No,No,Yes,Yes,No,No
QPIDJMS-179,0.3.0,345,316,7.0,No,No,No,Yes,Yes,No,No
QPIDJMS-179,0.2.0,374,316,8.0,No,No,No,Yes,Yes,No,No
QPIDJMS-179,0.1.0,432,316,9.0,No,No,No,Yes,Yes,No,No
QPIDJMS-178,0.10.0,0,0,0.0,No,No,No,No,No,No,No
QPIDJMS-178,0.9.0,39,398,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
QPIDJMS-178,0.8.0,91,438,2.0,No,No,No,Yes,Yes,No,No
QPIDJMS-178,0.7.0,151,438,3.0,No,No,No,Yes,Yes,No,No
QPIDJMS-178,0.6.0,221,501,4.0,No,No,No,Yes,Yes,No,No
QPIDJMS-178,0.5.0,263,1248,5.0,No,No,No,Yes,Yes,No,No
QPIDJMS-178,0.4.0,275,1443,6.0,No,No,No,Yes,Yes,No,No
QPIDJMS-178,0.3.0,341,1481,7.0,No,No,No,Yes,Yes,No,No
QPIDJMS-178,0.2.0,370,1797,8.0,No,No,No,Yes,Yes,No,No
QPIDJMS-178,0.1.0,428,1872,9.0,No,No,No,Yes,Yes,No,No
QPIDJMS-172,0.10.0,0,0,0.0,No,No,No,No,No,No,No
QPIDJMS-172,0.9.0,4,74,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
QPIDJMS-172,0.8.0,56,228,2.0,No,No,No,Yes,Yes,No,No
QPIDJMS-172,0.7.0,116,228,3.0,No,No,No,Yes,Yes,No,No
QPIDJMS-172,0.6.0,186,260,4.0,No,No,No,Yes,Yes,No,No
QPIDJMS-172,0.5.0,228,336,5.0,No,No,No,Yes,Yes,No,No
QPIDJMS-172,0.4.0,240,358,6.0,No,No,No,Yes,Yes,No,No
QPIDJMS-172,0.3.0,306,369,7.0,No,No,No,Yes,Yes,No,No
QPIDJMS-172,0.2.0,335,382,8.0,No,No,No,Yes,Yes,No,No
QPIDJMS-172,0.1.0,393,404,9.0,No,No,No,No,Yes,No,No
QPIDJMS-209,0.11.1,0,0,0.0,No,No,No,No,No,No,No
QPIDJMS-209,0.11.0,13,435,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
QPIDJMS-209,0.10.0,83,435,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-209,0.9.0,163,435,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-209,0.8.0,215,437,4.0,No,No,No,No,No,No,No
QPIDJMS-209,0.7.0,275,437,5.0,No,No,No,No,No,No,No
QPIDJMS-209,0.6.0,345,437,6.0,No,No,No,No,No,No,No
QPIDJMS-209,0.5.0,387,437,7.0,No,No,No,No,No,No,No
QPIDJMS-209,0.4.0,399,437,8.0,No,No,No,No,No,No,No
QPIDJMS-209,0.3.0,465,437,9.0,No,No,No,No,No,No,No
QPIDJMS-209,0.2.0,494,437,10.0,No,No,No,No,No,No,No
QPIDJMS-209,0.1.0,552,437,11.0,No,No,No,No,No,No,No
QPIDJMS-205,0.11.0,0,0,0.0,No,No,No,No,No,No,No
QPIDJMS-205,0.10.0,67,1138,1.0,No,Yes,Yes,Yes,Yes,No,Yes
QPIDJMS-205,0.9.0,147,1138,2.0,No,Yes,Yes,Yes,Yes,No,No
QPIDJMS-205,0.8.0,199,1142,3.0,No,No,No,Yes,Yes,No,No
QPIDJMS-205,0.7.0,259,1142,4.0,No,No,No,Yes,Yes,No,No
QPIDJMS-205,0.6.0,329,1169,5.0,No,No,No,Yes,Yes,No,No
QPIDJMS-205,0.5.0,371,1171,6.0,No,No,No,Yes,Yes,No,No
QPIDJMS-205,0.4.0,383,1204,7.0,No,No,No,Yes,Yes,No,No
QPIDJMS-205,0.3.0,449,1204,8.0,No,No,No,Yes,Yes,No,No
QPIDJMS-205,0.2.0,478,1214,9.0,No,No,No,Yes,Yes,No,No
QPIDJMS-205,0.1.0,536,1243,10.0,No,No,No,Yes,Yes,No,No
QPIDJMS-208,0.11.1,0,0,0.0,No,No,No,No,No,No,No
QPIDJMS-208,0.11.0,12,111,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
QPIDJMS-208,0.10.0,82,167,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-208,0.9.0,162,625,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-208,0.8.0,214,714,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-208,0.7.0,274,809,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-208,0.6.0,344,886,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-208,0.5.0,386,1023,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-208,0.4.0,398,1069,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-208,0.3.0,464,1069,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-208,0.2.0,493,1154,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-208,0.1.0,551,1154,11.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-201,0.20.0,0,0,0.0,No,No,No,No,No,No,No
QPIDJMS-201,0.11.1,11,5,0.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes
QPIDJMS-201,0.11.0,36,143,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
QPIDJMS-201,0.10.0,106,190,1.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes
QPIDJMS-201,0.9.0,186,287,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-201,0.8.0,238,402,2.5,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-201,0.7.0,298,402,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-201,0.6.0,368,455,3.5,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-201,0.5.0,410,951,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-201,0.4.0,422,953,4.5,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-201,0.3.0,488,1025,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-201,0.2.0,517,1059,5.5,Yes,Yes,Yes,Yes,Yes,Yes,No
QPIDJMS-201,0.1.0,575,1082,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
