Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
SYNCOPE-560,1.2.1,0,0,0.0,No,No,No,No,No,No,No
SYNCOPE-560,1.2.0,4,46,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SYNCOPE-560,1.2.0-M1,29,289,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.1.8,96,705,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.1.7,179,1126,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.1.6,227,1330,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.1.5,313,1650,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.1.4,375,2180,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.1.3,452,2558,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.1.2,483,2627,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.1.1,526,2687,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.0.8,537,2895,11.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.1.0,550,3014,12.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.0.7,560,3342,13.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.0.6,587,3691,14.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.0.5,622,4073,15.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.0.4,666,4490,16.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.0.2-incubating,735,5154,17.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.0.3-incubating,737,5160,18.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.0.1-incubating,769,5334,19.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-560,1.0.0-incubating,792,6635,20.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-440,1.1.5,0,0,0.0,No,No,No,No,No,No,No
SYNCOPE-440,1.1.4,55,16,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SYNCOPE-440,1.1.3,132,18,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SYNCOPE-440,1.1.2,163,18,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-440,1.1.1,206,26,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-440,1.0.8,217,26,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-440,1.1.0,230,26,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-440,1.0.7,240,30,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-440,1.0.6,267,69,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-440,1.0.5,302,95,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-440,1.0.4,346,166,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-440,1.0.2-incubating,415,166,11.0,No,No,No,No,No,No,No
SYNCOPE-440,1.0.3-incubating,417,166,12.0,No,No,No,No,No,No,No
SYNCOPE-440,1.0.1-incubating,449,166,13.0,No,No,No,No,No,No,No
SYNCOPE-440,1.0.0-incubating,472,166,14.0,No,No,No,No,No,No,No
SYNCOPE-561,1.2.1,0,0,0.0,No,No,No,No,No,No,No
SYNCOPE-561,1.2.0,4,8,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SYNCOPE-561,1.2.0-M1,29,8,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.1.8,96,8,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.1.7,179,8,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.1.6,227,8,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.1.5,313,8,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.1.4,375,8,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.1.3,452,8,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.1.2,483,32,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.1.1,526,266,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.0.8,537,266,11.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.1.0,550,266,12.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.0.7,560,266,13.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.0.6,587,266,14.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.0.5,622,266,15.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.0.4,666,266,16.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.0.2-incubating,735,266,17.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.0.3-incubating,737,266,18.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.0.1-incubating,769,266,19.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-561,1.0.0-incubating,792,266,20.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-562,1.2.1,0,0,0.0,No,No,No,No,No,No,No
SYNCOPE-562,1.2.0,6,30,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SYNCOPE-562,1.2.0-M1,31,32,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
