Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
WICKET-2394,1.4.1,0,0,0.0,No,No,No,No,No,No,No
WICKET-2394,1.4.0,7,2,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2394,1.4-RC7,13,2,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2394,1.4-RC6,24,2,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2394,1.4-RC5,46,2,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2394,1.4-RC4,73,2,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2394,1.3.6,81,2,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2394,1.4-RC2,167,2,7.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2394,1.4-RC1,252,815,8.0,No,No,No,No,No,No,Yes
WICKET-2394,1.3.5,278,815,9.0,No,No,No,No,No,No,Yes
WICKET-2394,1.4-M3,374,815,10.0,No,No,No,No,No,No,Yes
WICKET-2394,1.3.4,392,815,11.0,No,No,No,No,No,No,Yes
WICKET-2394,1.4-M2,416,815,12.0,No,No,No,No,No,No,Yes
WICKET-2394,1.4-M1,447,815,13.0,No,No,No,No,No,No,Yes
WICKET-2394,1.3.3,473,815,14.0,No,No,No,No,No,No,No
WICKET-2394,1.2.7,487,815,15.0,No,No,No,No,No,No,No
WICKET-2394,1.3.2,497,815,16.0,No,No,No,No,No,No,No
WICKET-2394,1.3.1,534,815,17.0,No,No,No,No,No,No,No
WICKET-2394,1.3.0-final,568,815,18.0,No,No,No,No,No,No,No
WICKET-2394,1.3.0-rc2,588,815,19.0,No,No,No,No,No,No,No
WICKET-2394,1.3.0-rc1,620,815,20.0,No,No,No,No,No,No,No
WICKET-2394,1.3.0-beta4,652,815,21.0,No,No,No,No,No,No,No
WICKET-2394,1.3.0-beta3,695,815,22.0,No,No,No,No,No,No,No
WICKET-2394,1.3.0-beta2,759,815,23.0,No,No,No,No,No,No,No
WICKET-2394,1.3.0-beta1,813,815,24.0,No,No,No,No,No,No,No
WICKET-2394,1.2.6,823,815,25.0,No,No,No,No,No,No,No
WICKET-2394,1.2.5,895,815,26.0,No,No,No,No,No,No,No
WICKET-2394,1.2.4,942,815,27.0,No,No,No,No,No,No,No
WICKET-2394,1.2.3,996,815,28.0,No,No,No,No,No,No,No
WICKET-2394,1.2.2,1061,815,29.0,No,No,No,No,No,No,No
WICKET-2397,1.4.1,0,0,0.0,No,No,No,No,No,No,No
WICKET-2397,1.4.0,25,2,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2397,1.4-RC7,31,40,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2397,1.4-RC6,42,40,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2397,1.4-RC5,64,40,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2397,1.4-RC4,91,40,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2397,1.3.6,99,40,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2397,1.4-RC2,185,40,7.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2397,1.4-RC1,270,164,8.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2397,1.3.5,296,166,9.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2397,1.4-M3,392,353,10.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2397,1.3.4,410,423,11.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2397,1.4-M2,434,423,12.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2397,1.4-M1,465,539,13.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-2397,1.3.3,491,570,14.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-2397,1.2.7,505,570,15.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-2397,1.3.2,515,570,16.0,Yes,Yes,Yes,Yes,Yes,Yes,No
