Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
XERCESJ-91,2.7.0,0,0,0.0,No,No,No,No,No,No,No
XERCESJ-91,2.6.2,479,1253,0.07692307692307693,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-91,2.6.1,493,1486,0.15384615384615385,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-91,2.6.0,570,2510,0.23076923076923078,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-91,2.5.0,683,3869,0.3076923076923077,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-91,2.4.0,809,4811,0.38461538461538464,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-91,2.3.0,868,4811,0.46153846153846156,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-91,2.2.1,944,4811,0.5384615384615384,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-91,2.2.0,991,4811,0.6153846153846154,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-91,2.1.0,1020,4811,0.6923076923076923,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-91,2.0.2,1088,4811,0.7692307692307693,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-91,2.0.1,1197,4811,0.8461538461538461,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-91,2.0.0,1230,4811,0.9230769230769231,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-91,2.0.0 [beta 4],1273,4811,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-91,2.0.0 [beta 3],1323,4811,1.0769230769230769,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-91,2.0.0 [beta 2],1389,4811,1.1538461538461537,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-91,2.0.0 [beta],1403,4811,1.2307692307692308,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-91,2.0.0 [alpha],1648,4811,1.3076923076923077,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-52,2.7.0,0,0,0.0,No,No,No,No,No,No,No
XERCESJ-52,2.6.2,98,477,0.07142857142857142,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.6.1,112,477,0.14285714285714285,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.6.0,189,477,0.21428571428571427,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.5.0,302,477,0.2857142857142857,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.4.0,428,521,0.35714285714285715,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.3.0,487,521,0.42857142857142855,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.2.1,563,521,0.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.2.0,610,521,0.5714285714285714,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.1.0,639,521,0.6428571428571429,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.0.2,707,521,0.7142857142857143,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.0.1,816,521,0.7857142857142857,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.0.0,849,521,0.8571428571428571,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.0.0 [beta 4],892,533,0.9285714285714286,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.0.0 [beta 3],942,533,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.0.0 [beta 2],1008,533,1.0714285714285714,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.0.0 [beta],1022,533,1.1428571428571428,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-52,2.0.0 [alpha],1267,559,1.2142857142857142,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-919,2.7.0,0,0,0.0,No,No,No,No,No,No,No
XERCESJ-919,2.6.2,188,1328,1.0,No,No,Yes,Yes,Yes,No,Yes
XERCESJ-919,2.6.1,202,1328,2.0,No,No,Yes,Yes,Yes,No,No
