Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
DELTASPIKE-206,0.3-incubating,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-206,0.2-incubating,106,63,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-206,0.1-incubating,178,63,2.0,No,No,No,No,No,No,No
DELTASPIKE-205,0.3-incubating,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-205,0.2-incubating,58,55,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-205,0.1-incubating,130,168,2.0,No,No,No,No,No,No,No
DELTASPIKE-568,0.7,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-568,0.6,24,2,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-568,0.5,206,49,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-568,0.4,316,49,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-568,0.3-incubating,598,49,4.0,No,No,No,No,No,No,No
DELTASPIKE-568,0.2-incubating,720,49,5.0,No,No,No,No,No,No,No
DELTASPIKE-568,0.1-incubating,792,49,6.0,No,No,No,No,No,No,No
DELTASPIKE-208,0.4,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-208,0.3-incubating,273,287,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-208,0.2-incubating,395,440,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-208,0.1-incubating,467,477,3.0,No,No,No,Yes,Yes,No,No
DELTASPIKE-207,0.3-incubating,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-207,0.2-incubating,106,440,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-207,0.1-incubating,178,616,2.0,No,No,No,No,No,No,No
DELTASPIKE-209,0.3-incubating,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-209,0.2-incubating,59,39,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-209,0.1-incubating,131,241,2.0,No,No,Yes,Yes,Yes,No,No
DELTASPIKE-200,0.3-incubating,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-200,0.2-incubating,54,110,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-200,0.1-incubating,126,345,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-442,0.6,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-442,0.5,62,418,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-442,0.4,172,418,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-442,0.3-incubating,454,463,3.0,No,No,No,No,No,No,No
DELTASPIKE-442,0.2-incubating,576,463,4.0,No,No,No,No,No,No,No
DELTASPIKE-442,0.1-incubating,648,463,5.0,No,No,No,No,No,No,No
DELTASPIKE-320,0.4,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-320,0.3-incubating,203,271,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-320,0.2-incubating,325,275,2.0,No,No,No,No,No,No,No
DELTASPIKE-320,0.1-incubating,397,275,3.0,No,No,No,No,No,No,No
DELTASPIKE-202,0.3-incubating,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-202,0.2-incubating,66,365,1.0,No,Yes,Yes,Yes,Yes,No,Yes
DELTASPIKE-202,0.1-incubating,138,1186,2.0,No,No,No,No,No,No,No
DELTASPIKE-446,0.6,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-446,0.5,123,47,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-446,0.4,233,47,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-446,0.3-incubating,515,47,3.0,No,No,No,No,No,No,No
DELTASPIKE-446,0.2-incubating,637,47,4.0,No,No,No,No,No,No,No
DELTASPIKE-446,0.1-incubating,709,47,5.0,No,No,No,No,No,No,No
DELTASPIKE-566,0.7,0,0,0.0,No,No,No,No,No,No,No
DELTASPIKE-566,0.6,21,6,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELTASPIKE-566,0.5,203,297,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-566,0.4,313,297,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-566,0.3-incubating,595,297,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-566,0.2-incubating,717,297,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
DELTASPIKE-566,0.1-incubating,789,297,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
