Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
ISIS-712,core-1.4.0,0,0,0.0,No,No,No,No,No,No,No
ISIS-712,viewer-wicket-1.3.1,106,73,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ISIS-712,core-1.3.0,119,73,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ISIS-712,archetype-wrj-1.0.3,266,84,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-712,core-1.2.0,267,84,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-712,core-1.1.0,386,84,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-712,security-shiro-1.0.0,407,84,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-712,core-1.0.0,424,84,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-712,0.2.0-incubating,732,84,8.0,No,No,No,No,No,No,No
ISIS-712,0.1.2-incubating,954,84,9.0,No,No,No,No,No,No,No
ISIS-711,core-1.4.0,0,0,0.0,No,No,No,No,No,No,No
ISIS-711,viewer-wicket-1.3.1,105,156,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ISIS-711,core-1.3.0,118,156,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-711,archetype-wrj-1.0.3,265,340,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-711,core-1.2.0,266,340,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-711,core-1.1.0,385,391,5.0,No,No,Yes,Yes,Yes,No,No
ISIS-711,security-shiro-1.0.0,406,391,6.0,No,No,Yes,Yes,Yes,No,No
ISIS-711,core-1.0.0,423,391,7.0,No,No,Yes,Yes,Yes,No,No
ISIS-711,0.2.0-incubating,731,391,8.0,No,No,No,No,No,No,No
ISIS-711,0.1.2-incubating,953,391,9.0,No,No,No,No,No,No,No
ISIS-824,core-1.6.0,0,0,0.0,No,No,No,No,No,No,No
ISIS-824,core-1.5.0,22,391,1.0,No,No,Yes,Yes,Yes,No,Yes
ISIS-824,objectstore-jdo-1.4.1,108,391,2.0,No,No,Yes,Yes,Yes,No,No
ISIS-824,core-1.4.0,111,391,3.0,No,No,Yes,Yes,Yes,No,No
ISIS-824,viewer-wicket-1.3.1,235,391,4.0,No,No,Yes,Yes,Yes,No,No
ISIS-824,core-1.3.0,248,391,5.0,No,No,Yes,Yes,Yes,No,No
ISIS-824,archetype-wrj-1.0.3,395,410,6.0,No,No,Yes,Yes,Yes,No,No
ISIS-824,core-1.2.0,396,410,7.0,No,No,Yes,Yes,Yes,No,No
ISIS-824,core-1.1.0,515,470,8.0,No,No,Yes,Yes,Yes,No,No
ISIS-824,security-shiro-1.0.0,536,470,9.0,No,No,Yes,Yes,Yes,No,No
ISIS-824,core-1.0.0,553,470,10.0,No,No,Yes,Yes,Yes,No,No
ISIS-824,0.2.0-incubating,861,829,11.0,No,No,No,No,No,No,No
ISIS-824,0.1.2-incubating,1083,829,12.0,No,No,No,No,No,No,No
ISIS-828,core-1.6.0,0,0,0.0,No,No,No,No,No,No,No
ISIS-828,core-1.5.0,22,392,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ISIS-828,objectstore-jdo-1.4.1,108,1629,2.0,No,No,Yes,Yes,Yes,No,No
ISIS-828,core-1.4.0,111,1629,3.0,No,No,Yes,Yes,Yes,No,No
ISIS-828,viewer-wicket-1.3.1,235,2147,4.0,No,No,Yes,Yes,Yes,No,No
ISIS-828,core-1.3.0,248,2147,5.0,No,No,Yes,Yes,Yes,No,No
ISIS-828,archetype-wrj-1.0.3,395,3030,6.0,No,No,Yes,Yes,Yes,No,No
ISIS-828,core-1.2.0,396,3030,7.0,No,No,Yes,Yes,Yes,No,No
ISIS-828,core-1.1.0,515,3290,8.0,No,No,Yes,Yes,Yes,No,No
ISIS-828,security-shiro-1.0.0,536,3406,9.0,No,No,Yes,Yes,Yes,No,No
ISIS-828,core-1.0.0,553,3410,10.0,No,No,Yes,Yes,Yes,No,No
ISIS-828,0.2.0-incubating,861,3675,11.0,No,No,No,No,No,No,No
ISIS-828,0.1.2-incubating,1083,3675,12.0,No,No,No,No,No,No,No
ISIS-840,core-1.6.0,0,0,0.0,No,No,No,No,No,No,No
ISIS-840,core-1.5.0,39,83,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ISIS-840,objectstore-jdo-1.4.1,125,83,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-840,core-1.4.0,128,83,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-840,viewer-wicket-1.3.1,252,83,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-840,core-1.3.0,265,83,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-840,archetype-wrj-1.0.3,412,83,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-840,core-1.2.0,413,83,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-840,core-1.1.0,532,83,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-840,security-shiro-1.0.0,553,83,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-840,core-1.0.0,570,83,10.0,No,No,No,No,No,No,No
ISIS-840,0.2.0-incubating,878,83,11.0,No,No,No,No,No,No,No
ISIS-840,0.1.2-incubating,1100,83,12.0,No,No,No,No,No,No,No
ISIS-837,core-1.6.0,0,0,0.0,No,No,No,No,No,No,No
ISIS-837,core-1.5.0,36,52,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ISIS-837,objectstore-jdo-1.4.1,122,52,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-837,core-1.4.0,125,52,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
ISIS-837,viewer-wicket-1.3.1,249,271,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
