Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
SYNCOPE-682,1.2.5,0,0,0.0,No,No,No,No,No,No,No
SYNCOPE-682,1.2.4,69,22,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SYNCOPE-682,1.2.3,115,22,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.2.2,164,350,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.2.1,238,354,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.2.0,283,354,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.2.0-M1,308,369,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.1.8,375,369,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.1.7,458,419,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.1.6,506,419,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.1.5,592,478,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.1.4,654,498,11.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.1.3,731,532,12.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.1.2,762,532,13.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.1.1,805,549,14.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.0.8,816,549,15.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.1.0,829,549,16.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.0.7,839,549,17.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.0.6,866,551,18.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.0.5,901,612,19.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.0.4,945,769,20.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.0.2-incubating,1014,775,21.0,Yes,Yes,Yes,Yes,Yes,Yes,No
SYNCOPE-682,1.0.3-incubating,1016,775,22.0,Yes,Yes,Yes,Yes,Yes,Yes,No
