Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
TINKERPOP-1874,3.3.2,0,0,0.0,No,No,No,No,No,No,No
TINKERPOP-1874,3.3.1,38,5388,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1874,3.2.6,156,8311,2.0,No,Yes,Yes,Yes,Yes,No,No
TINKERPOP-1874,3.1.7,226,8557,3.0,No,No,Yes,Yes,Yes,No,No
TINKERPOP-1874,3.2.4,350,8912,4.0,No,No,Yes,Yes,Yes,No,No
TINKERPOP-1874,3.2.3,464,15359,5.0,No,No,No,No,Yes,No,No
TINKERPOP-1874,3.2.2,505,20249,6.0,No,No,No,No,Yes,No,No
TINKERPOP-1874,3.2.1,555,20284,7.0,No,No,No,No,Yes,No,No
TINKERPOP-1874,3.1.2-incubating,656,20852,8.0,No,No,No,No,Yes,No,No
TINKERPOP-1874,3.1.1-incubating,716,21080,9.0,No,No,No,No,Yes,No,No
TINKERPOP-1874,3.1.0-incubating,800,21108,10.0,No,No,No,No,Yes,No,No
TINKERPOP-1874,3.0.2-incubating,828,21108,11.0,No,No,No,No,Yes,No,No
TINKERPOP-1874,3.0.1-incubating,875,21171,12.0,No,No,No,No,Yes,No,No
TINKERPOP-1874,3.0.0-incubating,923,21191,13.0,No,No,No,No,No,No,No
TINKERPOP-1745,3.3.1,0,0,0.0,No,No,No,No,No,No,No
TINKERPOP-1745,3.2.6,106,193,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1745,3.1.7,176,2671,2.0,No,No,No,No,No,No,Yes
TINKERPOP-1745,3.2.4,300,2671,3.0,No,No,No,No,No,No,No
TINKERPOP-1745,3.2.3,414,2671,4.0,No,No,No,No,No,No,No
TINKERPOP-1745,3.2.2,455,2671,5.0,No,No,No,No,No,No,No
TINKERPOP-1745,3.2.1,505,2671,6.0,No,No,No,No,No,No,No
TINKERPOP-1745,3.1.2-incubating,606,2671,7.0,No,No,No,No,No,No,No
TINKERPOP-1745,3.1.1-incubating,666,2671,8.0,No,No,No,No,No,No,No
