Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
TINKERPOP-1196,3.2.1,0,0,0.0,No,No,No,No,No,No,No
TINKERPOP-1196,3.1.2-incubating,60,402,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1196,3.1.1-incubating,120,618,2.0,No,Yes,Yes,Yes,Yes,No,Yes
TINKERPOP-1196,3.1.0-incubating,204,1355,3.0,No,Yes,Yes,Yes,Yes,No,No
TINKERPOP-1196,3.0.2-incubating,232,1412,4.0,No,Yes,Yes,Yes,Yes,No,No
TINKERPOP-1196,3.0.1-incubating,279,1501,5.0,No,Yes,Yes,Yes,Yes,No,No
TINKERPOP-1196,3.0.0-incubating,327,1642,6.0,No,Yes,Yes,Yes,Yes,No,No
TINKERPOP-1511,3.2.4,0,0,0.0,No,No,No,No,No,No,No
TINKERPOP-1511,3.2.3,0,201,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1511,3.2.2,41,465,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1511,3.2.1,91,1188,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1511,3.1.2-incubating,192,1714,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1511,3.1.1-incubating,252,2209,5.0,No,No,No,No,No,No,No
TINKERPOP-1511,3.1.0-incubating,336,2946,6.0,No,No,No,No,No,No,No
TINKERPOP-1511,3.0.2-incubating,364,3003,7.0,No,No,No,No,No,No,No
TINKERPOP-1511,3.0.1-incubating,411,3092,8.0,No,No,No,No,No,No,No
TINKERPOP-1511,3.0.0-incubating,459,3221,9.0,No,No,No,No,No,No,No
TINKERPOP-1060,3.1.1-incubating,0,0,0.0,No,No,No,No,No,No,No
TINKERPOP-1060,3.1.0-incubating,57,24,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1060,3.0.2-incubating,85,53,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1060,3.0.1-incubating,132,160,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1060,3.0.0-incubating,180,1194,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1175,3.1.2-incubating,0,0,0.0,No,No,No,No,No,No,No
TINKERPOP-1175,3.1.1-incubating,16,53,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1175,3.1.0-incubating,100,172,2.0,No,No,No,No,No,No,No
TINKERPOP-1175,3.0.2-incubating,128,172,3.0,No,No,No,No,No,No,No
TINKERPOP-1175,3.0.1-incubating,175,172,4.0,No,No,No,No,No,No,No
TINKERPOP-1175,3.0.0-incubating,223,172,5.0,No,No,No,No,No,No,No
TINKERPOP-1052,3.1.1-incubating,0,0,0.0,No,No,No,No,No,No,No
TINKERPOP-1052,3.1.0-incubating,32,554,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1052,3.0.2-incubating,60,611,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1052,3.0.1-incubating,107,712,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1052,3.0.0-incubating,155,841,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1172,3.1.2-incubating,0,0,0.0,No,No,No,No,No,No,No
TINKERPOP-1172,3.1.1-incubating,17,253,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1172,3.1.0-incubating,101,1182,2.0,No,Yes,Yes,Yes,Yes,No,No
TINKERPOP-1172,3.0.2-incubating,129,1376,3.0,No,Yes,Yes,Yes,Yes,No,No
TINKERPOP-1172,3.0.1-incubating,176,1588,4.0,No,No,Yes,Yes,Yes,No,No
TINKERPOP-1172,3.0.0-incubating,224,1778,5.0,No,No,Yes,Yes,Yes,No,No
TINKERPOP-1284,3.2.1,0,0,0.0,No,No,No,No,No,No,No
TINKERPOP-1284,3.1.2-incubating,24,107,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1284,3.1.1-incubating,84,107,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1284,3.1.0-incubating,168,281,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1284,3.0.2-incubating,196,281,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1284,3.0.1-incubating,243,281,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1284,3.0.0-incubating,291,326,6.0,No,No,No,Yes,Yes,No,No
TINKERPOP-1281,3.2.1,0,0,0.0,No,No,No,No,No,No,No
TINKERPOP-1281,3.1.2-incubating,38,1293,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
