Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
WICKET-4574,6.0.0-beta2,0,0,0.0,No,No,No,No,No,No,No
WICKET-4574,1.5.6,31,28,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-4574,6.0.0-beta1,63,28,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WICKET-4574,1.5.5,80,28,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5.4,139,28,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5.3,201,28,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5.2,229,28,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.4.19,230,28,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5.1,251,28,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5.0,264,28,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5-RC7,278,28,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5-RC6,279,28,11.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.4.18,294,28,12.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5-RC5.1,343,28,13.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5-RC5,347,28,14.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5-RC4,387,38,15.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5-RC3,427,38,16.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5-RC2,462,38,17.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5-RC1,493,38,18.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.4.15,522,38,19.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.4.14,548,38,20.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5-M3,571,38,21.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.4.13,573,38,22.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5-M2.1,624,38,23.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.4.11,632,38,24.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.5-M1,660,38,25.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.4.10,661,38,26.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.4.9,737,38,27.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.4.8,765,38,28.0,Yes,Yes,Yes,Yes,Yes,Yes,No
WICKET-4574,1.4.7,817,38,29.0,Yes,Yes,Yes,Yes,Yes,Yes,No
