Bug ID,Version Name,Days From Version to FV,LOC touched from Version to FV,(i -FV)/(OV-FV),SZZ0,SZZ25,SZZ50,SZZ75,SZZ100,SZZB,Actual
XERCESJ-1082,2.7.0,0,0,0.0,No,No,No,No,No,No,No
XERCESJ-1082,2.6.2,475,8133,1.0,No,No,No,No,Yes,No,Yes
XERCESJ-1082,2.6.1,489,8135,2.0,No,No,No,No,Yes,No,No
XERCESJ-1082,2.6.0,566,8183,3.0,No,No,No,No,Yes,No,No
XERCESJ-1082,2.5.0,679,15841,4.0,No,No,No,No,Yes,No,No
XERCESJ-1082,2.4.0,805,15985,5.0,No,No,No,No,Yes,No,No
XERCESJ-1082,2.3.0,864,16081,6.0,No,No,No,No,Yes,No,No
XERCESJ-1082,2.2.1,940,16315,7.0,No,No,No,No,Yes,No,No
XERCESJ-1082,2.2.0,987,16630,8.0,No,No,No,No,Yes,No,No
XERCESJ-1082,2.1.0,1016,18454,9.0,No,No,No,No,Yes,No,No
XERCESJ-1082,2.0.2,1084,18867,10.0,No,No,No,No,Yes,No,No
XERCESJ-1082,2.0.1,1193,20776,11.0,No,No,No,No,Yes,No,No
XERCESJ-1082,2.0.0,1226,21724,12.0,No,No,No,No,Yes,No,No
XERCESJ-1082,2.0.0 [beta 4],1269,22477,13.0,No,No,No,No,Yes,No,No
XERCESJ-1082,2.0.0 [beta 3],1319,23883,14.0,No,No,No,No,Yes,No,No
XERCESJ-1082,2.0.0 [beta 2],1385,26679,15.0,No,No,No,No,No,No,No
XERCESJ-1082,2.0.0 [beta],1399,26679,16.0,No,No,No,No,No,No,No
XERCESJ-1082,2.0.0 [alpha],1644,26679,17.0,No,No,No,No,No,No,No
XERCESJ-1088,2.7.1,0,0,0.0,No,No,No,No,No,No,No
XERCESJ-1088,2.7.0,28,3,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-1088,2.6.2,518,312,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.6.1,532,312,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.6.0,609,312,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.5.0,722,312,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.4.0,848,509,6.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.3.0,907,509,7.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.2.1,983,777,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.2.0,1030,777,9.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.1.0,1059,777,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.0.2,1127,777,11.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.0.1,1236,777,12.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.0.0,1269,777,13.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.0.0 [beta 4],1312,777,14.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.0.0 [beta 3],1362,777,15.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.0.0 [beta 2],1428,777,16.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.0.0 [beta],1442,777,17.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1088,2.0.0 [alpha],1687,777,18.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1089,2.7.1,0,0,0.0,No,No,No,No,No,No,No
XERCESJ-1089,2.7.0,31,18,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-1089,2.6.2,521,1479,2.0,No,No,No,Yes,Yes,No,No
XERCESJ-1089,2.6.1,535,1550,3.0,No,No,No,Yes,Yes,No,No
XERCESJ-1089,2.6.0,612,1882,4.0,No,No,No,Yes,Yes,No,No
XERCESJ-1089,2.5.0,725,2529,5.0,No,No,No,Yes,Yes,No,No
XERCESJ-1089,2.4.0,851,5053,6.0,No,No,No,No,No,No,No
XERCESJ-1089,2.3.0,910,5053,7.0,No,No,No,No,No,No,No
XERCESJ-1089,2.2.1,986,5053,8.0,No,No,No,No,No,No,No
XERCESJ-1089,2.2.0,1033,5053,9.0,No,No,No,No,No,No,No
XERCESJ-1089,2.1.0,1062,5053,10.0,No,No,No,No,No,No,No
XERCESJ-1089,2.0.2,1130,5053,11.0,No,No,No,No,No,No,No
XERCESJ-1089,2.0.1,1239,5053,12.0,No,No,No,No,No,No,No
XERCESJ-1089,2.0.0,1272,5053,13.0,No,No,No,No,No,No,No
XERCESJ-1089,2.0.0 [beta 4],1315,5053,14.0,No,No,No,No,No,No,No
XERCESJ-1089,2.0.0 [beta 3],1365,5053,15.0,No,No,No,No,No,No,No
XERCESJ-1089,2.0.0 [beta 2],1431,5053,16.0,No,No,No,No,No,No,No
XERCESJ-1089,2.0.0 [beta],1445,5053,17.0,No,No,No,No,No,No,No
XERCESJ-1089,2.0.0 [alpha],1690,5053,18.0,No,No,No,No,No,No,No
XERCESJ-1090,2.7.1,0,0,0.0,No,No,No,No,No,No,No
XERCESJ-1090,2.7.0,30,27,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-1090,2.6.2,520,8199,2.0,No,No,No,Yes,Yes,No,No
XERCESJ-1090,2.6.1,534,8201,3.0,No,No,No,Yes,Yes,No,No
XERCESJ-1090,2.6.0,611,8249,4.0,No,No,No,Yes,Yes,No,No
XERCESJ-1090,2.5.0,724,15907,5.0,No,No,No,Yes,Yes,No,No
XERCESJ-1090,2.4.0,850,16051,6.0,No,No,No,Yes,Yes,No,No
XERCESJ-1090,2.3.0,909,16147,7.0,No,No,No,No,Yes,No,No
XERCESJ-1090,2.2.1,985,16381,8.0,No,No,No,No,Yes,No,No
XERCESJ-1090,2.2.0,1032,16696,9.0,No,No,No,No,Yes,No,No
XERCESJ-1090,2.1.0,1061,18520,10.0,No,No,No,No,Yes,No,No
XERCESJ-1090,2.0.2,1129,18933,11.0,No,No,No,No,Yes,No,No
XERCESJ-1090,2.0.1,1238,20842,12.0,No,No,No,No,Yes,No,No
XERCESJ-1090,2.0.0,1271,21790,13.0,No,No,No,No,Yes,No,No
XERCESJ-1090,2.0.0 [beta 4],1314,22543,14.0,No,No,No,No,Yes,No,No
XERCESJ-1090,2.0.0 [beta 3],1364,23949,15.0,No,No,No,No,Yes,No,No
XERCESJ-1090,2.0.0 [beta 2],1430,26745,16.0,No,No,No,No,No,No,No
XERCESJ-1090,2.0.0 [beta],1444,26745,17.0,No,No,No,No,No,No,No
XERCESJ-1090,2.0.0 [alpha],1689,26745,18.0,No,No,No,No,No,No,No
XERCESJ-1094,2.8.0,0,0,0.0,No,No,No,No,No,No,No
XERCESJ-1094,2.7.1,14,4,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XERCESJ-1094,2.7.0,46,4,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No
XERCESJ-1094,2.6.2,536,126,3.0,No,No,No,Yes,Yes,No,No
XERCESJ-1094,2.6.1,550,130,4.0,No,No,No,Yes,Yes,No,No
