Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
DELTASPIKE-206,1,0.1-incubating,128,17,No
DELTASPIKE-206,2,0.2-incubating,56,17,Yes
DELTASPIKE-205,1,0.1-incubating,128,158,No
DELTASPIKE-205,2,0.2-incubating,56,45,Yes
DELTASPIKE-568,1,0.1-incubating,791,47,No
DELTASPIKE-568,2,0.2-incubating,719,47,No
DELTASPIKE-568,3,0.3-incubating,597,47,No
DELTASPIKE-568,4,0.4,315,47,No
DELTASPIKE-568,5,0.5,205,47,No
DELTASPIKE-568,6,0.6,23,0,Yes
DELTASPIKE-1087,1,0.1-incubating,1482,402,No
DELTASPIKE-1087,2,0.2-incubating,1410,402,No
DELTASPIKE-1087,3,0.3-incubating,1288,402,No
DELTASPIKE-1087,4,0.4,1006,12,No
DELTASPIKE-1087,5,0.5,896,12,No
DELTASPIKE-1087,6,0.6,714,12,No
DELTASPIKE-1087,7,0.7,669,12,No
DELTASPIKE-1087,8,1.0.0,627,12,No
DELTASPIKE-1087,9,1.0.1,598,12,No
DELTASPIKE-1087,10,1.0.2,563,12,No
DELTASPIKE-1087,11,1.0.3,528,12,No
DELTASPIKE-1087,12,1.1.0,487,12,No
DELTASPIKE-1087,13,1.2.0,458,12,No
DELTASPIKE-1087,14,1.2.1,438,12,No
DELTASPIKE-1087,15,1.3.0,364,12,No
DELTASPIKE-1087,16,1.4.0,289,12,No
DELTASPIKE-1087,17,1.4.1,264,12,No
DELTASPIKE-1087,18,1.4.2,227,12,No
DELTASPIKE-1087,19,1.5.0,205,12,No
DELTASPIKE-1087,20,1.5.1,130,0,No
DELTASPIKE-1087,21,1.5.2,87,0,No
DELTASPIKE-1087,22,1.5.3,26,0,No
DELTASPIKE-1087,23,1.5.4,13,0,Yes
DELTASPIKE-208,1,0.1-incubating,131,101,No
DELTASPIKE-208,2,0.2-incubating,59,64,Yes
DELTASPIKE-207,1,0.1-incubating,128,176,No
DELTASPIKE-207,2,0.2-incubating,56,0,Yes
DELTASPIKE-1089,1,0.1-incubating,1487,793,No
DELTASPIKE-1089,2,0.2-incubating,1415,793,No
DELTASPIKE-1089,3,0.3-incubating,1293,793,No
DELTASPIKE-1089,4,0.4,1011,793,No
DELTASPIKE-1089,5,0.5,901,265,No
DELTASPIKE-1089,6,0.6,719,257,No
DELTASPIKE-1089,7,0.7,674,257,No
DELTASPIKE-1089,8,1.0.0,632,183,No
DELTASPIKE-1089,9,1.0.1,603,183,No
DELTASPIKE-1089,10,1.0.2,568,183,No
DELTASPIKE-1089,11,1.0.3,533,183,No
DELTASPIKE-1089,12,1.1.0,492,173,No
DELTASPIKE-1089,13,1.2.0,463,173,No
DELTASPIKE-1089,14,1.2.1,443,173,No
DELTASPIKE-1089,15,1.3.0,369,173,No
DELTASPIKE-1089,16,1.4.0,294,173,No
DELTASPIKE-1089,17,1.4.1,269,109,No
DELTASPIKE-1089,18,1.4.2,232,25,No
DELTASPIKE-1089,19,1.5.0,210,4,No
DELTASPIKE-1089,20,1.5.1,135,2,No
DELTASPIKE-1089,21,1.5.2,92,2,No
DELTASPIKE-1089,22,1.5.3,31,0,No
DELTASPIKE-1089,23,1.5.4,18,0,Yes
DELTASPIKE-209,1,0.1-incubating,131,241,No
DELTASPIKE-209,2,0.2-incubating,59,39,Yes
DELTASPIKE-681,1,0.1-incubating,907,202,No
DELTASPIKE-681,2,0.2-incubating,835,202,No
DELTASPIKE-681,3,0.3-incubating,713,190,No
DELTASPIKE-681,4,0.4,431,172,No
DELTASPIKE-681,5,0.5,321,172,No
DELTASPIKE-681,6,0.6,139,165,No
DELTASPIKE-681,7,0.7,94,165,No
DELTASPIKE-681,8,1.0.0,52,13,No
DELTASPIKE-681,9,1.0.1,23,13,Yes
DELTASPIKE-200,1,0.1-incubating,126,345,No
DELTASPIKE-200,2,0.2-incubating,54,110,Yes
DELTASPIKE-442,1,0.1-incubating,648,463,No
DELTASPIKE-442,2,0.2-incubating,576,463,No
DELTASPIKE-442,3,0.3-incubating,454,463,No
DELTASPIKE-442,4,0.4,172,418,No
DELTASPIKE-442,5,0.5,62,418,Yes
DELTASPIKE-684,1,0.1-incubating,915,175,No
DELTASPIKE-684,2,0.2-incubating,843,175,No
DELTASPIKE-684,3,0.3-incubating,721,175,No
DELTASPIKE-684,4,0.4,439,52,No
DELTASPIKE-684,5,0.5,329,44,No
DELTASPIKE-684,6,0.6,147,36,No
DELTASPIKE-684,7,0.7,102,28,No
DELTASPIKE-684,8,1.0.0,60,16,No
DELTASPIKE-684,9,1.0.1,31,8,Yes
DELTASPIKE-320,1,0.1-incubating,397,275,No
DELTASPIKE-320,2,0.2-incubating,325,275,No
DELTASPIKE-320,3,0.3-incubating,203,271,Yes
DELTASPIKE-202,1,0.1-incubating,126,913,No
DELTASPIKE-202,2,0.2-incubating,54,92,Yes
DELTASPIKE-685,1,0.1-incubating,915,154,No
DELTASPIKE-685,2,0.2-incubating,843,154,No
DELTASPIKE-685,3,0.3-incubating,721,154,No
DELTASPIKE-685,4,0.4,439,154,No
DELTASPIKE-685,5,0.5,329,154,No
DELTASPIKE-685,6,0.6,147,154,No
DELTASPIKE-685,7,0.7,102,8,No
DELTASPIKE-685,8,1.0.0,60,2,No
DELTASPIKE-685,9,1.0.1,31,2,Yes
