Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
LOG4J2-298,1,2.0-alpha1,328,717,No
LOG4J2-298,2,2.0-alpha2,310,695,No
LOG4J2-298,3,2.0-beta1,281,628,No
LOG4J2-298,4,2.0-beta2,261,559,No
LOG4J2-298,5,2.0-beta3,230,498,No
LOG4J2-298,6,2.0-beta4,160,367,No
LOG4J2-298,7,2.0-beta5,70,235,No
LOG4J2-298,8,2.0-beta6,55,160,No
LOG4J2-298,9,2.0-beta7,25,70,Yes
LOG4J2-297,1,2.0-alpha1,328,1206,No
LOG4J2-297,2,2.0-alpha2,310,1184,No
LOG4J2-297,3,2.0-beta1,281,958,No
LOG4J2-297,4,2.0-beta2,261,889,No
LOG4J2-297,5,2.0-beta3,230,694,No
LOG4J2-297,6,2.0-beta4,160,432,No
LOG4J2-297,7,2.0-beta5,70,288,No
LOG4J2-297,8,2.0-beta6,55,160,No
LOG4J2-297,9,2.0-beta7,25,70,Yes
LOG4J2-296,1,2.0-alpha1,327,1665,No
LOG4J2-296,2,2.0-alpha2,309,1643,No
LOG4J2-296,3,2.0-beta1,280,1576,No
LOG4J2-296,4,2.0-beta2,260,1507,No
LOG4J2-296,5,2.0-beta3,229,1446,No
LOG4J2-296,6,2.0-beta4,159,1315,No
LOG4J2-296,7,2.0-beta5,69,439,No
LOG4J2-296,8,2.0-beta6,54,364,No
LOG4J2-296,9,2.0-beta7,24,68,Yes
LOG4J2-295,1,2.0-alpha1,327,1209,No
LOG4J2-295,2,2.0-alpha2,309,1187,No
LOG4J2-295,3,2.0-beta1,280,1120,No
LOG4J2-295,4,2.0-beta2,260,1051,No
LOG4J2-295,5,2.0-beta3,229,990,No
LOG4J2-295,6,2.0-beta4,159,859,No
LOG4J2-295,7,2.0-beta5,69,319,No
LOG4J2-295,8,2.0-beta6,54,244,No
LOG4J2-295,9,2.0-beta7,24,55,Yes
LOG4J2-293,1,2.0-alpha1,322,0,No
LOG4J2-293,2,2.0-alpha2,304,0,No
LOG4J2-293,3,2.0-beta1,275,0,No
LOG4J2-293,4,2.0-beta2,255,0,No
LOG4J2-293,5,2.0-beta3,224,0,No
LOG4J2-293,6,2.0-beta4,154,0,No
LOG4J2-293,7,2.0-beta5,64,0,No
LOG4J2-293,8,2.0-beta6,49,0,No
LOG4J2-293,9,2.0-beta7,19,0,Yes
LOG4J2-292,1,2.0-alpha1,321,1200,No
LOG4J2-292,2,2.0-alpha2,303,1178,No
LOG4J2-292,3,2.0-beta1,274,1111,No
LOG4J2-292,4,2.0-beta2,254,1042,No
LOG4J2-292,5,2.0-beta3,223,981,No
LOG4J2-292,6,2.0-beta4,153,850,No
LOG4J2-292,7,2.0-beta5,63,310,No
LOG4J2-292,8,2.0-beta6,48,235,No
LOG4J2-292,9,2.0-beta7,18,46,Yes
LOG4J2-291,1,2.0-alpha1,320,693,No
LOG4J2-291,2,2.0-alpha2,302,671,No
LOG4J2-291,3,2.0-beta1,273,604,No
LOG4J2-291,4,2.0-beta2,253,535,No
LOG4J2-291,5,2.0-beta3,222,474,No
LOG4J2-291,6,2.0-beta4,152,343,No
LOG4J2-291,7,2.0-beta5,62,211,No
LOG4J2-291,8,2.0-beta6,47,136,No
LOG4J2-291,9,2.0-beta7,17,46,Yes
LOG4J2-2527,1,2.0-alpha1,2335,46810,No
LOG4J2-2527,2,2.0-alpha2,2317,46788,No
LOG4J2-2527,3,2.0-beta1,2288,46721,No
LOG4J2-2527,4,2.0-beta2,2268,46652,No
LOG4J2-2527,5,2.0-beta3,2237,46591,No
LOG4J2-2527,6,2.0-beta4,2167,46460,No
LOG4J2-2527,7,2.0-beta5,2077,46328,No
LOG4J2-2527,8,2.0-beta6,2062,46253,No
LOG4J2-2527,9,2.0-beta7,2032,46163,No
LOG4J2-2527,10,2.0-beta8,1996,46067,No
LOG4J2-2527,11,2.0-beta9,1923,45745,No
LOG4J2-2527,12,2.0-rc1,1775,45367,No
LOG4J2-2527,13,2.0-rc2,1647,44965,No
LOG4J2-2527,14,2.0,1629,44874,No
LOG4J2-2527,15,2.0.1,1605,44752,No
LOG4J2-2527,16,2.0.2,1593,44672,No
LOG4J2-2527,17,2.1,1526,44375,No
LOG4J2-2527,18,2.2,1399,44258,No
LOG4J2-2527,19,2.3,1322,44116,No
LOG4J2-2527,20,2.4,1195,35143,No
LOG4J2-2527,21,2.4.1,1173,34957,No
LOG4J2-2527,22,2.5,1113,34702,No
LOG4J2-2527,23,2.6,943,34040,No
LOG4J2-2527,24,2.6.1,935,33791,No
LOG4J2-2527,25,2.6.2,900,22594,No
LOG4J2-2527,26,2.7,812,21566,No
LOG4J2-2527,27,2.8,701,1739,No
LOG4J2-2527,28,2.8.1,670,1669,No
LOG4J2-2527,29,2.8.2,632,1584,No
LOG4J2-2527,30,11.0,521,1359,No
LOG4J2-2527,31,2.9.0,483,1259,No
LOG4J2-2527,32,2.9.1,463,1197,No
