Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
AMQCPP-403,32,3.4.3,0,0,No
AMQCPP-403,31,3.4.2,28,59,Yes
AMQCPP-403,30,3.4.1,158,59,No
AMQCPP-403,29,3.4.0,391,59,No
AMQCPP-403,28,3.3.0,404,59,No
AMQCPP-403,27,3.2.5,447,59,No
AMQCPP-403,26,3.2.4,532,61,No
AMQCPP-403,25,3.2.3,621,61,No
AMQCPP-403,24,3.2.2,665,61,No
AMQCPP-403,23,3.2.1,693,61,No
AMQCPP-403,22,3.2.0,706,61,No
AMQCPP-403,21,3.1.3,720,61,No
AMQCPP-403,20,3.1.2,789,61,No
AMQCPP-403,19,3.1.1,797,61,No
AMQCPP-403,18,3.1,885,84,No
AMQCPP-403,17,3.0.1,1056,84,No
AMQCPP-403,16,3.0,1078,84,No
AMQCPP-403,15,2.2.6,1104,84,No
AMQCPP-403,14,2.2.5,1156,84,No
AMQCPP-403,13,2.2.4,1193,84,No
AMQCPP-403,12,2.2.3,1228,84,No
AMQCPP-403,11,2.2.2,1276,84,No
AMQCPP-403,10,2.2.1,1353,84,No
AMQCPP-403,9,2.2,1432,84,No
AMQCPP-403,8,2.1.3,1630,84,No
AMQCPP-403,7,2.1.1,1671,84,No
AMQCPP-403,6,2.1,1758,84,No
AMQCPP-403,5,2.0.1,1842,84,No
AMQCPP-403,4,2.0,1861,84,No
AMQCPP-403,3,1.1,1939,84,No
AMQCPP-403,2,2.1.2,2005,84,No
AMQCPP-403,1,1.0,2015,84,No
AMQCPP-404,33,3.4.4,0,0,No
AMQCPP-404,32,3.4.3,5,86,Yes
AMQCPP-404,31,3.4.2,55,86,Yes
AMQCPP-404,30,3.4.1,185,222,No
AMQCPP-404,29,3.4.0,418,250,No
AMQCPP-404,28,3.3.0,431,250,No
AMQCPP-404,27,3.2.5,474,1037,No
AMQCPP-404,26,3.2.4,559,1339,No
AMQCPP-404,25,3.2.3,648,1545,No
AMQCPP-404,24,3.2.2,692,1600,No
AMQCPP-404,23,3.2.1,720,1600,No
AMQCPP-404,22,3.2.0,733,1616,No
AMQCPP-404,21,3.1.3,747,82652,No
AMQCPP-404,20,3.1.2,816,121137,No
AMQCPP-404,19,3.1.1,824,121137,No
AMQCPP-404,18,3.1,912,121137,No
AMQCPP-404,17,3.0.1,1083,121137,No
AMQCPP-404,16,3.0,1105,121137,No
AMQCPP-404,15,2.2.6,1131,121137,No
