Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
AMQCPP-197,11,2.2.2,0,0,No
AMQCPP-197,10,2.2.1,6,1,Yes
AMQCPP-197,9,2.2,85,21,Yes
AMQCPP-197,8,2.1.3,283,248,No
AMQCPP-197,7,2.1.1,324,382,No
AMQCPP-197,6,2.1,411,391,No
AMQCPP-197,5,2.0.1,495,434,No
AMQCPP-197,4,2.0,514,434,No
AMQCPP-197,3,1.1,592,434,No
AMQCPP-197,2,2.1.2,658,434,No
AMQCPP-197,1,1.0,668,434,No
AMQCPP-199,11,2.2.2,0,0,No
AMQCPP-199,10,2.2.1,65,11,Yes
AMQCPP-199,9,2.2,144,11,No
AMQCPP-199,8,2.1.3,342,84,No
AMQCPP-199,7,2.1.1,383,84,No
AMQCPP-199,6,2.1,470,84,No
AMQCPP-199,5,2.0.1,554,84,No
AMQCPP-199,4,2.0,573,84,No
AMQCPP-199,3,1.1,651,84,No
AMQCPP-199,2,2.1.2,717,84,No
AMQCPP-199,1,1.0,727,84,No
AMQCPP-96,4,2.0,0,0,No
AMQCPP-96,3,1.1,64,100,Yes
AMQCPP-96,2,2.1.2,130,128,No
AMQCPP-96,1,1.0,140,128,No
AMQCPP-98,4,2.0,0,0,No
AMQCPP-98,3,1.1,70,524,Yes
AMQCPP-98,2,2.1.2,136,1462,No
AMQCPP-98,1,1.0,146,1470,No
AMQCPP-174,9,2.2,0,0,No
AMQCPP-174,8,2.1.3,164,5,Yes
AMQCPP-174,7,2.1.1,205,65,No
AMQCPP-174,6,2.1,292,65,No
AMQCPP-174,5,2.0.1,376,65,No
AMQCPP-174,4,2.0,395,65,No
AMQCPP-174,3,1.1,473,65,No
AMQCPP-174,2,2.1.2,539,65,No
AMQCPP-174,1,1.0,549,65,No
AMQCPP-170,9,2.2,0,0,No
AMQCPP-170,8,2.1.3,81,97,Yes
AMQCPP-170,7,2.1.1,122,502,Yes
AMQCPP-170,6,2.1,209,727,Yes
AMQCPP-170,5,2.0.1,293,763,Yes
AMQCPP-170,4,2.0,312,763,Yes
AMQCPP-170,3,1.1,390,763,Yes
AMQCPP-170,2,2.1.2,456,763,Yes
AMQCPP-170,1,1.0,466,763,No
AMQCPP-165,10,2.2.1,0,0,No
AMQCPP-165,9,2.2,71,27,Yes
AMQCPP-165,8,2.1.3,269,85,Yes
AMQCPP-165,7,2.1.1,310,126,Yes
AMQCPP-165,6,2.1,397,126,No
AMQCPP-165,5,2.0.1,481,199,No
AMQCPP-165,4,2.0,500,199,No
AMQCPP-165,3,1.1,578,199,No
AMQCPP-165,2,2.1.2,644,199,No
AMQCPP-165,1,1.0,654,199,No
AMQCPP-166,9,2.2,0,0,No
AMQCPP-166,8,2.1.3,66,9,Yes
AMQCPP-166,7,2.1.1,107,27,No
AMQCPP-166,6,2.1,194,29,No
AMQCPP-166,5,2.0.1,278,29,No
AMQCPP-166,4,2.0,297,29,No
AMQCPP-166,3,1.1,375,29,No
AMQCPP-166,2,2.1.2,441,29,No
AMQCPP-166,1,1.0,451,29,No
AMQCPP-161,9,2.2,0,0,No
AMQCPP-161,8,2.1.3,58,91,Yes
AMQCPP-161,7,2.1.1,99,399,Yes
AMQCPP-161,6,2.1,186,399,Yes
AMQCPP-161,5,2.0.1,270,429,Yes
AMQCPP-161,4,2.0,289,429,Yes
AMQCPP-161,3,1.1,367,429,Yes
AMQCPP-161,2,2.1.2,433,429,Yes
AMQCPP-161,1,1.0,443,429,No
AMQCPP-163,9,2.2,0,0,No
AMQCPP-163,8,2.1.3,165,2,Yes
AMQCPP-163,7,2.1.1,206,2,Yes
AMQCPP-163,6,2.1,293,6,Yes
AMQCPP-163,5,2.0.1,377,8,Yes
AMQCPP-163,4,2.0,396,8,Yes
AMQCPP-163,3,1.1,474,8,Yes
AMQCPP-163,2,2.1.2,540,8,Yes
AMQCPP-163,1,1.0,550,8,No
AMQCPP-158,9,2.2,0,0,No
AMQCPP-158,8,2.1.3,180,59,Yes
AMQCPP-158,7,2.1.1,221,109,Yes
AMQCPP-158,6,2.1,308,111,Yes
AMQCPP-158,5,2.0.1,392,285,Yes
AMQCPP-158,4,2.0,411,285,Yes
AMQCPP-158,3,1.1,489,285,Yes
AMQCPP-158,2,2.1.2,555,285,Yes
AMQCPP-158,1,1.0,565,285,No
AMQCPP-194,10,2.2.1,0,0,No
AMQCPP-194,9,2.2,58,26,Yes
AMQCPP-194,8,2.1.3,256,123,No
AMQCPP-194,7,2.1.1,297,528,No
AMQCPP-194,6,2.1,384,753,No
AMQCPP-194,5,2.0.1,468,789,No
AMQCPP-194,4,2.0,487,789,No
AMQCPP-194,3,1.1,565,789,No
AMQCPP-194,2,2.1.2,631,789,No
AMQCPP-194,1,1.0,641,789,No
AMQCPP-195,10,2.2.1,0,0,No
AMQCPP-195,9,2.2,63,623,Yes
AMQCPP-195,8,2.1.3,261,933,No
AMQCPP-195,7,2.1.1,302,2571,No
AMQCPP-195,6,2.1,389,2999,No
AMQCPP-195,5,2.0.1,473,3076,No
AMQCPP-195,4,2.0,492,3076,No
AMQCPP-195,3,1.1,570,3076,No
AMQCPP-195,2,2.1.2,636,3076,No
AMQCPP-195,1,1.0,646,3076,No
AMQCPP-190,10,2.2.1,0,0,No
AMQCPP-190,9,2.2,62,81,Yes
AMQCPP-190,8,2.1.3,260,81,Yes
AMQCPP-190,7,2.1.1,301,138,No
AMQCPP-190,6,2.1,388,416,No
AMQCPP-190,5,2.0.1,472,444,No
AMQCPP-190,4,2.0,491,444,No
AMQCPP-190,3,1.1,569,444,No
