Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
DELTASPIKE-681,10,1.0.2,0,0,No
DELTASPIKE-681,9,1.0.1,23,13,Yes
DELTASPIKE-681,8,1.0.0,52,13,No
DELTASPIKE-681,7,0.7,94,165,No
DELTASPIKE-681,6,0.6,139,165,No
DELTASPIKE-681,5,0.5,321,172,No
DELTASPIKE-681,4,0.4,431,172,No
DELTASPIKE-681,3,0.3-incubating,713,190,No
DELTASPIKE-681,2,0.2-incubating,835,202,No
DELTASPIKE-681,1,0.1-incubating,907,202,No
DELTASPIKE-684,10,1.0.2,0,0,No
DELTASPIKE-684,9,1.0.1,32,32,Yes
DELTASPIKE-684,8,1.0.0,61,40,No
DELTASPIKE-684,7,0.7,103,52,No
DELTASPIKE-684,6,0.6,148,60,No
DELTASPIKE-684,5,0.5,330,68,No
DELTASPIKE-684,4,0.4,440,76,No
DELTASPIKE-684,3,0.3-incubating,722,199,No
DELTASPIKE-684,2,0.2-incubating,844,199,No
DELTASPIKE-684,1,0.1-incubating,916,199,No
DELTASPIKE-685,10,1.0.2,0,0,No
DELTASPIKE-685,9,1.0.1,31,2,Yes
DELTASPIKE-685,8,1.0.0,60,2,No
DELTASPIKE-685,7,0.7,102,8,No
DELTASPIKE-685,6,0.6,147,154,No
DELTASPIKE-685,5,0.5,329,154,No
DELTASPIKE-685,4,0.4,439,154,No
DELTASPIKE-685,3,0.3-incubating,721,154,No
DELTASPIKE-685,2,0.2-incubating,843,154,No
DELTASPIKE-685,1,0.1-incubating,915,154,No
DELTASPIKE-679,10,1.0.2,0,0,No
DELTASPIKE-679,9,1.0.1,18,2,Yes
DELTASPIKE-679,8,1.0.0,47,2,Yes
DELTASPIKE-679,7,0.7,89,2,No
DELTASPIKE-679,6,0.6,134,2,No
DELTASPIKE-679,5,0.5,316,2,No
DELTASPIKE-679,4,0.4,426,62,No
DELTASPIKE-679,3,0.3-incubating,708,71,No
DELTASPIKE-679,2,0.2-incubating,830,446,No
DELTASPIKE-679,1,0.1-incubating,902,573,No
DELTASPIKE-799,14,1.2.1,0,0,No
DELTASPIKE-799,13,1.2.0,12,38,Yes
DELTASPIKE-799,12,1.1.0,41,62,No
DELTASPIKE-799,11,1.0.3,82,90,No
DELTASPIKE-799,10,1.0.2,117,991,No
DELTASPIKE-799,9,1.0.1,152,1260,No
DELTASPIKE-799,8,1.0.0,181,1407,No
DELTASPIKE-799,7,0.7,223,1458,No
DELTASPIKE-799,6,0.6,268,1480,No
DELTASPIKE-799,5,0.5,450,1819,No
DELTASPIKE-799,4,0.4,560,1827,No
DELTASPIKE-799,3,0.3-incubating,842,1851,No
DELTASPIKE-799,2,0.2-incubating,964,1913,No
DELTASPIKE-799,1,0.1-incubating,1036,1937,No
DELTASPIKE-792,14,1.2.1,0,0,No
DELTASPIKE-792,13,1.2.0,1,457,Yes
DELTASPIKE-792,12,1.1.0,30,538,No
DELTASPIKE-792,11,1.0.3,71,548,No
DELTASPIKE-792,10,1.0.2,106,556,No
DELTASPIKE-792,9,1.0.1,141,564,No
DELTASPIKE-792,8,1.0.0,170,572,No
DELTASPIKE-792,7,0.7,212,587,No
DELTASPIKE-792,6,0.6,257,595,No
DELTASPIKE-792,5,0.5,439,617,No
DELTASPIKE-792,4,0.4,549,638,No
DELTASPIKE-792,3,0.3-incubating,831,650,No
DELTASPIKE-792,2,0.2-incubating,953,707,No
DELTASPIKE-792,1,0.1-incubating,1025,737,No
DELTASPIKE-795,14,1.2.1,0,0,No
DELTASPIKE-795,13,1.2.0,8,2,Yes
DELTASPIKE-795,12,1.1.0,37,2,No
DELTASPIKE-795,11,1.0.3,78,2,No
DELTASPIKE-795,10,1.0.2,113,2,No
DELTASPIKE-795,9,1.0.1,148,2,No
DELTASPIKE-795,8,1.0.0,177,2,No
DELTASPIKE-795,7,0.7,219,2,No
DELTASPIKE-795,6,0.6,264,2,No
DELTASPIKE-795,5,0.5,446,95,No
DELTASPIKE-795,4,0.4,556,95,No
DELTASPIKE-795,3,0.3-incubating,838,95,No
DELTASPIKE-795,2,0.2-incubating,960,95,No
DELTASPIKE-795,1,0.1-incubating,1032,95,No
DELTASPIKE-901,17,1.4.1,0,0,No
DELTASPIKE-901,16,1.4.0,4,152,Yes
DELTASPIKE-901,15,1.3.0,79,152,Yes
DELTASPIKE-901,14,1.2.1,153,174,No
DELTASPIKE-901,13,1.2.0,173,174,No
DELTASPIKE-901,12,1.1.0,202,174,No
DELTASPIKE-901,11,1.0.3,243,182,No
DELTASPIKE-901,10,1.0.2,278,182,No
DELTASPIKE-901,9,1.0.1,313,182,No
DELTASPIKE-901,8,1.0.0,342,182,No
DELTASPIKE-901,7,0.7,384,194,No
DELTASPIKE-901,6,0.6,429,212,No
DELTASPIKE-901,5,0.5,611,278,No
DELTASPIKE-901,4,0.4,721,657,No
DELTASPIKE-901,3,0.3-incubating,1003,657,No
DELTASPIKE-901,2,0.2-incubating,1125,657,No
DELTASPIKE-901,1,0.1-incubating,1197,657,No
DELTASPIKE-905,17,1.4.1,0,0,No
DELTASPIKE-905,16,1.4.0,17,88,Yes
DELTASPIKE-905,15,1.3.0,92,88,No
DELTASPIKE-905,14,1.2.1,166,88,No
DELTASPIKE-905,13,1.2.0,186,88,No
DELTASPIKE-905,12,1.1.0,215,88,No
DELTASPIKE-905,11,1.0.3,256,88,No
DELTASPIKE-905,10,1.0.2,291,88,No
DELTASPIKE-905,9,1.0.1,326,88,No
DELTASPIKE-905,8,1.0.0,355,88,No
DELTASPIKE-905,7,0.7,397,88,No
DELTASPIKE-905,6,0.6,442,88,No
DELTASPIKE-905,5,0.5,624,88,No
DELTASPIKE-905,4,0.4,734,88,No
DELTASPIKE-905,3,0.3-incubating,1016,88,No
DELTASPIKE-905,2,0.2-incubating,1138,88,No
