Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
DIRSTUDIO-94,23,2.0.0-M9 (2.0.0.v20150606-M9),0,0,No
DIRSTUDIO-94,22,2.0.0-M8 (2.0.0.v20130628),74,1471,Yes
DIRSTUDIO-94,21,2.0.0-M7 (2.0.0.v20130517),111,1491,Yes
DIRSTUDIO-94,20,2.0.0-M6 (2.0.0.v20130308),186,1633,Yes
DIRSTUDIO-94,19,2.0.0-M5 (2.0.0.v20130131),216,1636,Yes
DIRSTUDIO-94,18,2.0.0-M4 (2.0.0.v20130125),229,1636,Yes
DIRSTUDIO-94,17,2.0.0-M3 (2.0.0.v20120224),565,2934,Yes
DIRSTUDIO-94,16,2.0.0-M2 (2.0.0.v20120127),587,2934,Yes
DIRSTUDIO-94,15,2.0.0-M1 (2.0.0.v20120111),607,2934,Yes
DIRSTUDIO-94,14,1.5.3,1259,6282,Yes
DIRSTUDIO-94,13,1.5.2,1372,6282,Yes
DIRSTUDIO-94,12,1.5.1,1384,6282,Yes
DIRSTUDIO-94,11,1.5.0,1410,6282,Yes
DIRSTUDIO-94,10,1.4.0,1620,6282,Yes
DIRSTUDIO-94,9,1.3.0,1757,6282,Yes
DIRSTUDIO-94,8,1.2.0,1879,6282,Yes
DIRSTUDIO-94,7,1.1.0,1988,6282,Yes
DIRSTUDIO-94,6,1.0.1,2190,6282,Yes
DIRSTUDIO-94,5,1.0.0,2204,6282,Yes
DIRSTUDIO-94,4,0.8.1,2246,6282,Yes
DIRSTUDIO-94,3,0.8.0,2327,6282,Yes
DIRSTUDIO-94,2,0.7.0,2355,6282,Yes
DIRSTUDIO-94,1,0.6.0,2407,6282,No
DIRSTUDIO-96,23,2.0.0-M9 (2.0.0.v20150606-M9),0,0,No
DIRSTUDIO-96,22,2.0.0-M8 (2.0.0.v20130628),321,28,Yes
DIRSTUDIO-96,21,2.0.0-M7 (2.0.0.v20130517),358,28,Yes
DIRSTUDIO-96,20,2.0.0-M6 (2.0.0.v20130308),433,28,Yes
DIRSTUDIO-96,19,2.0.0-M5 (2.0.0.v20130131),463,28,Yes
DIRSTUDIO-96,18,2.0.0-M4 (2.0.0.v20130125),476,28,Yes
DIRSTUDIO-96,17,2.0.0-M3 (2.0.0.v20120224),812,42,Yes
DIRSTUDIO-96,16,2.0.0-M2 (2.0.0.v20120127),834,42,Yes
DIRSTUDIO-96,15,2.0.0-M1 (2.0.0.v20120111),854,42,Yes
DIRSTUDIO-96,14,1.5.3,1506,309,Yes
DIRSTUDIO-96,13,1.5.2,1619,309,Yes
DIRSTUDIO-96,12,1.5.1,1631,309,Yes
DIRSTUDIO-96,11,1.5.0,1657,309,Yes
DIRSTUDIO-96,10,1.4.0,1867,309,Yes
DIRSTUDIO-96,9,1.3.0,2004,309,Yes
DIRSTUDIO-96,8,1.2.0,2126,309,Yes
DIRSTUDIO-96,7,1.1.0,2235,309,Yes
DIRSTUDIO-96,6,1.0.1,2437,309,Yes
DIRSTUDIO-96,5,1.0.0,2451,309,Yes
DIRSTUDIO-96,4,0.8.1,2493,309,Yes
DIRSTUDIO-96,3,0.8.0,2574,309,Yes
DIRSTUDIO-96,2,0.7.0,2602,309,No
DIRSTUDIO-96,1,0.6.0,2654,309,No
DIRSTUDIO-82,18,2.0.0-M4 (2.0.0.v20130125),0,0,No
DIRSTUDIO-82,17,2.0.0-M3 (2.0.0.v20120224),230,93,Yes
DIRSTUDIO-82,16,2.0.0-M2 (2.0.0.v20120127),252,93,Yes
DIRSTUDIO-82,15,2.0.0-M1 (2.0.0.v20120111),272,104,Yes
DIRSTUDIO-82,14,1.5.3,924,104,Yes
DIRSTUDIO-82,13,1.5.2,1037,104,Yes
DIRSTUDIO-82,12,1.5.1,1049,104,Yes
DIRSTUDIO-82,11,1.5.0,1075,104,Yes
DIRSTUDIO-82,10,1.4.0,1285,104,Yes
DIRSTUDIO-82,9,1.3.0,1422,104,Yes
DIRSTUDIO-82,8,1.2.0,1544,104,Yes
DIRSTUDIO-82,7,1.1.0,1653,104,Yes
DIRSTUDIO-82,6,1.0.1,1855,104,Yes
DIRSTUDIO-82,5,1.0.0,1869,104,Yes
DIRSTUDIO-82,4,0.8.1,1911,104,Yes
DIRSTUDIO-82,3,0.8.0,1992,104,Yes
DIRSTUDIO-82,2,0.7.0,2020,104,Yes
DIRSTUDIO-82,1,0.6.0,2072,104,No
DIRSTUDIO-83,23,2.0.0-M9 (2.0.0.v20150606-M9),0,0,No
DIRSTUDIO-83,22,2.0.0-M8 (2.0.0.v20130628),339,5,Yes
DIRSTUDIO-83,21,2.0.0-M7 (2.0.0.v20130517),376,20,Yes
DIRSTUDIO-83,20,2.0.0-M6 (2.0.0.v20130308),451,32,Yes
DIRSTUDIO-83,19,2.0.0-M5 (2.0.0.v20130131),481,32,Yes
DIRSTUDIO-83,18,2.0.0-M4 (2.0.0.v20130125),494,34,Yes
DIRSTUDIO-83,17,2.0.0-M3 (2.0.0.v20120224),830,126,Yes
DIRSTUDIO-83,16,2.0.0-M2 (2.0.0.v20120127),852,194,Yes
DIRSTUDIO-83,15,2.0.0-M1 (2.0.0.v20120111),872,196,Yes
DIRSTUDIO-83,14,1.5.3,1524,1952,Yes
DIRSTUDIO-83,13,1.5.2,1637,1952,Yes
DIRSTUDIO-83,12,1.5.1,1649,1952,Yes
DIRSTUDIO-83,11,1.5.0,1675,1952,Yes
DIRSTUDIO-83,10,1.4.0,1885,1952,Yes
DIRSTUDIO-83,9,1.3.0,2022,1952,Yes
DIRSTUDIO-83,8,1.2.0,2144,1952,Yes
DIRSTUDIO-83,7,1.1.0,2253,1952,Yes
DIRSTUDIO-83,6,1.0.1,2455,1952,Yes
DIRSTUDIO-83,5,1.0.0,2469,1952,Yes
DIRSTUDIO-83,4,0.8.1,2511,1952,Yes
DIRSTUDIO-83,3,0.8.0,2592,1952,Yes
DIRSTUDIO-83,2,0.7.0,2620,1952,Yes
DIRSTUDIO-83,1,0.6.0,2672,1952,No
DIRSTUDIO-84,18,2.0.0-M4 (2.0.0.v20130125),0,0,No
DIRSTUDIO-84,17,2.0.0-M3 (2.0.0.v20120224),267,8,Yes
DIRSTUDIO-84,16,2.0.0-M2 (2.0.0.v20120127),289,8,Yes
DIRSTUDIO-84,15,2.0.0-M1 (2.0.0.v20120111),309,8,Yes
DIRSTUDIO-84,14,1.5.3,961,1809,Yes
DIRSTUDIO-84,13,1.5.2,1074,1809,Yes
DIRSTUDIO-84,12,1.5.1,1086,1809,Yes
DIRSTUDIO-84,11,1.5.0,1112,1809,Yes
DIRSTUDIO-84,10,1.4.0,1322,1809,Yes
