Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
ISIS-1179,17,1.9.0,0,0,No
ISIS-1179,16,Website and Docs,119,21,Yes
ISIS-1179,15,core-1.8.0,155,21,Yes
ISIS-1179,14,core-1.7.0,284,21,No
ISIS-1179,13,core-1.6.0,366,21,No
ISIS-1179,12,core-1.5.0,416,21,No
ISIS-1179,11,objectstore-jdo-1.4.1,502,21,No
ISIS-1179,10,core-1.4.0,505,21,No
ISIS-1179,9,viewer-wicket-1.3.1,629,21,No
ISIS-1179,8,core-1.3.0,642,21,No
ISIS-1179,7,archetype-wrj-1.0.3,789,21,No
ISIS-1179,6,core-1.2.0,790,21,No
ISIS-1179,5,core-1.1.0,909,21,No
ISIS-1179,4,security-shiro-1.0.0,930,21,No
ISIS-1179,3,core-1.0.0,947,21,No
ISIS-1179,2,0.2.0-incubating,1255,21,No
ISIS-1179,1,0.1.2-incubating,1477,21,No
ISIS-1057,16,Website and Docs,0,0,No
ISIS-1057,15,core-1.8.0,12,110,Yes
ISIS-1057,14,core-1.7.0,141,110,No
ISIS-1057,13,core-1.6.0,223,110,No
ISIS-1057,12,core-1.5.0,273,110,No
ISIS-1057,11,objectstore-jdo-1.4.1,359,110,No
ISIS-1057,10,core-1.4.0,362,110,No
ISIS-1057,9,viewer-wicket-1.3.1,486,110,No
ISIS-1057,8,core-1.3.0,499,110,No
ISIS-1057,7,archetype-wrj-1.0.3,646,110,No
ISIS-1057,6,core-1.2.0,647,110,No
ISIS-1057,5,core-1.1.0,766,110,No
ISIS-1057,4,security-shiro-1.0.0,787,110,No
ISIS-1057,3,core-1.0.0,804,110,No
ISIS-1057,2,0.2.0-incubating,1112,110,No
ISIS-1057,1,0.1.2-incubating,1334,110,No
ISIS-1177,17,1.9.0,0,0,No
ISIS-1177,16,Website and Docs,115,23,Yes
ISIS-1177,15,core-1.8.0,151,23,Yes
ISIS-1177,14,core-1.7.0,280,27,No
ISIS-1177,13,core-1.6.0,362,27,No
ISIS-1177,12,core-1.5.0,412,27,No
ISIS-1177,11,objectstore-jdo-1.4.1,498,27,No
ISIS-1177,10,core-1.4.0,501,27,No
ISIS-1177,9,viewer-wicket-1.3.1,625,27,No
ISIS-1177,8,core-1.3.0,638,27,No
ISIS-1177,7,archetype-wrj-1.0.3,785,27,No
ISIS-1177,6,core-1.2.0,786,27,No
ISIS-1177,5,core-1.1.0,905,27,No
ISIS-1177,4,security-shiro-1.0.0,926,27,No
ISIS-1177,3,core-1.0.0,943,27,No
ISIS-1177,2,0.2.0-incubating,1251,27,No
ISIS-1177,1,0.1.2-incubating,1473,27,No
ISIS-1175,17,1.9.0,0,0,No
ISIS-1175,16,Website and Docs,119,242,Yes
ISIS-1175,15,core-1.8.0,155,242,Yes
ISIS-1175,14,core-1.7.0,284,251,No
ISIS-1175,13,core-1.6.0,366,301,No
ISIS-1175,12,core-1.5.0,416,301,No
ISIS-1175,11,objectstore-jdo-1.4.1,502,313,No
ISIS-1175,10,core-1.4.0,505,313,No
ISIS-1175,9,viewer-wicket-1.3.1,629,319,No
ISIS-1175,8,core-1.3.0,642,319,No
ISIS-1175,7,archetype-wrj-1.0.3,789,330,No
ISIS-1175,6,core-1.2.0,790,330,No
ISIS-1175,5,core-1.1.0,909,355,No
ISIS-1175,4,security-shiro-1.0.0,930,355,No
ISIS-1175,3,core-1.0.0,947,355,No
ISIS-1175,2,0.2.0-incubating,1255,578,No
ISIS-1175,1,0.1.2-incubating,1477,578,No
ISIS-1296,22,1.12.0,0,0,No
ISIS-1296,21,1.11.1,0,2,Yes
ISIS-1296,20,1.11.0,15,2,Yes
ISIS-1296,19,1.10.0,68,24,No
ISIS-1296,18,tidy-up,129,60,No
ISIS-1296,17,1.9.0,138,60,No
ISIS-1296,16,Website and Docs,291,1055,No
ISIS-1296,15,core-1.8.0,327,1055,No
ISIS-1296,14,core-1.7.0,456,1055,No
ISIS-1296,13,core-1.6.0,538,1055,No
ISIS-1296,12,core-1.5.0,588,1055,No
ISIS-1296,11,objectstore-jdo-1.4.1,674,1055,No
ISIS-1296,10,core-1.4.0,677,1055,No
ISIS-1296,9,viewer-wicket-1.3.1,801,1055,No
ISIS-1296,8,core-1.3.0,814,1055,No
ISIS-1296,7,archetype-wrj-1.0.3,961,1055,No
ISIS-1296,6,core-1.2.0,962,1055,No
ISIS-1296,5,core-1.1.0,1081,1055,No
ISIS-1296,4,security-shiro-1.0.0,1102,1055,No
ISIS-1296,3,core-1.0.0,1119,1055,No
ISIS-1296,2,0.2.0-incubating,1427,1055,No
ISIS-1296,1,0.1.2-incubating,1649,1055,No
ISIS-1174,17,1.9.0,0,0,No
ISIS-1174,16,Website and Docs,107,399,Yes
ISIS-1174,15,core-1.8.0,143,399,Yes
ISIS-1174,14,core-1.7.0,272,399,No
ISIS-1174,13,core-1.6.0,354,678,No
ISIS-1174,12,core-1.5.0,404,698,No
ISIS-1174,11,objectstore-jdo-1.4.1,490,698,No
ISIS-1174,10,core-1.4.0,493,698,No
ISIS-1174,9,viewer-wicket-1.3.1,617,698,No
ISIS-1174,8,core-1.3.0,630,698,No
ISIS-1174,7,archetype-wrj-1.0.3,777,698,No
ISIS-1174,6,core-1.2.0,778,698,No
ISIS-1174,5,core-1.1.0,897,698,No
ISIS-1174,4,security-shiro-1.0.0,918,698,No
ISIS-1174,3,core-1.0.0,935,698,No
ISIS-1174,2,0.2.0-incubating,1243,698,No
ISIS-1174,1,0.1.2-incubating,1465,698,No
ISIS-954,15,core-1.8.0,0,0,No
ISIS-954,14,core-1.7.0,31,25,Yes
ISIS-954,13,core-1.6.0,113,28,No
ISIS-954,12,core-1.5.0,163,55,No
ISIS-954,11,objectstore-jdo-1.4.1,249,55,No
ISIS-954,10,core-1.4.0,252,55,No
ISIS-954,9,viewer-wicket-1.3.1,376,79,No
ISIS-954,8,core-1.3.0,389,79,No
ISIS-954,7,archetype-wrj-1.0.3,536,258,No
ISIS-954,6,core-1.2.0,537,258,No
ISIS-954,5,core-1.1.0,656,258,No
ISIS-954,4,security-shiro-1.0.0,677,258,No
ISIS-954,3,core-1.0.0,694,258,No
ISIS-954,2,0.2.0-incubating,1002,258,No
ISIS-954,1,0.1.2-incubating,1224,258,No
ISIS-830,19,1.10.0,0,0,No
ISIS-830,18,tidy-up,55,13,Yes
ISIS-830,17,1.9.0,64,13,Yes
ISIS-830,16,Website and Docs,217,68,Yes
ISIS-830,15,core-1.8.0,253,231,Yes
ISIS-830,14,core-1.7.0,382,567,Yes
ISIS-830,13,core-1.6.0,464,567,Yes
ISIS-830,12,core-1.5.0,514,571,Yes
ISIS-830,11,objectstore-jdo-1.4.1,600,574,No
ISIS-830,10,core-1.4.0,603,574,No
ISIS-830,9,viewer-wicket-1.3.1,727,574,No
ISIS-830,8,core-1.3.0,740,574,No
ISIS-830,7,archetype-wrj-1.0.3,887,641,No
ISIS-830,6,core-1.2.0,888,641,No
ISIS-830,5,core-1.1.0,1007,641,No
ISIS-830,4,security-shiro-1.0.0,1028,641,No
ISIS-830,3,core-1.0.0,1045,641,No
ISIS-830,2,0.2.0-incubating,1353,641,No
ISIS-830,1,0.1.2-incubating,1575,641,No
ISIS-947,15,core-1.8.0,0,0,No
ISIS-947,14,core-1.7.0,26,35,Yes
