Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
ISIS-712,10,core-1.4.0,0,0,No
ISIS-712,9,viewer-wicket-1.3.1,106,73,Yes
ISIS-712,8,core-1.3.0,119,73,Yes
ISIS-712,7,archetype-wrj-1.0.3,266,84,No
ISIS-712,6,core-1.2.0,267,84,No
ISIS-712,5,core-1.1.0,386,84,No
ISIS-712,4,security-shiro-1.0.0,407,84,No
ISIS-712,3,core-1.0.0,424,84,No
ISIS-712,2,0.2.0-incubating,732,84,No
ISIS-712,1,0.1.2-incubating,954,84,No
ISIS-711,10,core-1.4.0,0,0,No
ISIS-711,9,viewer-wicket-1.3.1,105,156,Yes
ISIS-711,8,core-1.3.0,118,156,No
ISIS-711,7,archetype-wrj-1.0.3,265,340,No
ISIS-711,6,core-1.2.0,266,340,No
ISIS-711,5,core-1.1.0,385,391,No
ISIS-711,4,security-shiro-1.0.0,406,391,No
ISIS-711,3,core-1.0.0,423,391,No
ISIS-711,2,0.2.0-incubating,731,391,No
ISIS-711,1,0.1.2-incubating,953,391,No
ISIS-824,13,core-1.6.0,0,0,No
ISIS-824,12,core-1.5.0,22,391,Yes
ISIS-824,11,objectstore-jdo-1.4.1,108,391,No
ISIS-824,10,core-1.4.0,111,391,No
ISIS-824,9,viewer-wicket-1.3.1,235,391,No
ISIS-824,8,core-1.3.0,248,391,No
ISIS-824,7,archetype-wrj-1.0.3,395,410,No
ISIS-824,6,core-1.2.0,396,410,No
ISIS-824,5,core-1.1.0,515,470,No
ISIS-824,4,security-shiro-1.0.0,536,470,No
ISIS-824,3,core-1.0.0,553,470,No
ISIS-824,2,0.2.0-incubating,861,829,No
ISIS-824,1,0.1.2-incubating,1083,829,No
ISIS-828,13,core-1.6.0,0,0,No
ISIS-828,12,core-1.5.0,22,392,Yes
ISIS-828,11,objectstore-jdo-1.4.1,108,1629,No
ISIS-828,10,core-1.4.0,111,1629,No
ISIS-828,9,viewer-wicket-1.3.1,235,2147,No
ISIS-828,8,core-1.3.0,248,2147,No
ISIS-828,7,archetype-wrj-1.0.3,395,3030,No
ISIS-828,6,core-1.2.0,396,3030,No
ISIS-828,5,core-1.1.0,515,3290,No
ISIS-828,4,security-shiro-1.0.0,536,3406,No
ISIS-828,3,core-1.0.0,553,3410,No
ISIS-828,2,0.2.0-incubating,861,3675,No
ISIS-828,1,0.1.2-incubating,1083,3675,No
ISIS-840,13,core-1.6.0,0,0,No
ISIS-840,12,core-1.5.0,39,83,Yes
ISIS-840,11,objectstore-jdo-1.4.1,125,83,No
ISIS-840,10,core-1.4.0,128,83,No
ISIS-840,9,viewer-wicket-1.3.1,252,83,No
ISIS-840,8,core-1.3.0,265,83,No
ISIS-840,7,archetype-wrj-1.0.3,412,83,No
ISIS-840,6,core-1.2.0,413,83,No
ISIS-840,5,core-1.1.0,532,83,No
ISIS-840,4,security-shiro-1.0.0,553,83,No
ISIS-840,3,core-1.0.0,570,83,No
ISIS-840,2,0.2.0-incubating,878,83,No
ISIS-840,1,0.1.2-incubating,1100,83,No
ISIS-837,13,core-1.6.0,0,0,No
ISIS-837,12,core-1.5.0,36,52,Yes
