Days from Version to FV,LOC touched from Version to FV,Bugginess
0,0,No
27,15,Yes
35,19,No
205,386,No
265,446,No
287,618,No
414,638,No
491,638,No
618,641,No
685,686,No
697,686,No
721,686,No
739,745,No
867,1120,No
1015,1161,No
1088,1161,No
1124,1161,No
1154,1161,No
1169,1161,No
1259,1161,No
1329,1161,No
1360,1161,No
1380,1161,No
1409,1161,No
1427,1161,No
0,0,No
13,62,Yes
21,68,Yes
191,68,No
251,68,No
273,68,No
400,68,No
477,68,No
604,68,No
671,68,No
683,68,No
707,68,No
725,68,No
853,68,No
1001,68,No
1074,68,No
1110,68,No
1140,68,No
1155,68,No
1245,68,No
1315,68,No
1346,68,No
1366,68,No
1395,68,No
1413,68,No
0,0,No
58,230,Yes
80,416,Yes
207,8867,No
284,8999,No
411,9116,No
478,9397,No
490,9477,No
514,9599,No
532,9675,No
660,9933,No
808,10259,No
881,10581,No
917,10677,No
947,10767,No
962,10842,No
1052,10974,No
1122,11105,No
1153,11166,No
1173,11235,No
1202,11302,No
1220,11324,No
0,21,No
27,155,Yes
35,171,No
205,595,No
265,930,No
287,1045,No
414,1333,No
491,1333,No
618,1333,No
685,1333,No
697,1333,No
721,1335,No
739,1355,No
867,1430,No
1015,1942,No
1088,2015,No
1124,2015,No
1154,2015,No
1169,2015,No
1259,2015,No
1329,2015,No
1360,2015,No
1380,2015,No
1409,2015,No
1427,2015,No
0,0,No
14,82,Yes
22,135,No
192,707,No
252,930,No
274,1116,No
401,9567,No
478,9699,No
605,9816,No
672,10076,No
684,10156,No
708,10282,No
726,10358,No
854,10648,No
1002,10974,No
1075,11296,No
1111,11392,No
1141,11482,No
1156,11557,No
1246,11691,No
1316,12008,No
1347,12077,No
1367,12146,No
1396,12221,No
1414,12243,No
0,9,No
5,38,Yes
175,620,No
235,859,No
257,1061,No
384,9516,No
461,9670,No
588,9797,No
655,10307,No
667,10445,No
691,10633,No
709,10709,No
837,11190,No
985,11516,No
1058,11838,No
1094,11934,No
1124,12024,No
1139,12099,No
1229,12231,No
1299,12362,No
1330,12423,No
1350,12492,No
1379,12559,No
1397,12581,No
0,0,No
7,134,Yes
177,1506,No
237,1729,No
259,1915,No
386,10366,No
463,10498,No
590,10615,No
657,10873,No
669,10953,No
693,11075,No
711,11151,No
839,11409,No
987,11735,No
1060,12057,No
1096,12153,No
1126,12243,No
1141,12318,No
1231,12450,No
1301,12581,No
1332,12642,No
1352,12711,No
1381,12778,No
1399,12800,No
0,69,No
0,138,Yes
8,138,Yes
178,140,No
238,140,No
260,140,No
387,146,No
464,146,No
591,146,No
658,146,No
670,146,No
694,146,No
712,146,No
840,156,No
988,156,No
1061,156,No
1097,156,No
1127,156,No
1142,156,No
1232,156,No
1302,156,No
1333,156,No
1353,156,No
1382,156,No
1400,156,No
0,97,No
4,205,Yes
174,1812,No
234,2161,No
256,2424,No
383,11030,No
460,11166,No
587,11388,No
654,12013,No
666,12093,No
690,12253,No
708,12329,No
836,12964,No
984,13444,No
1057,14200,No
1093,14299,No
1123,14437,No
1138,14548,No
1228,14748,No
1298,15323,No
1329,15384,No
1349,15453,No
1378,15520,No
1396,15542,No
0,2,No
23,57,Yes
83,57,Yes
105,57,Yes
232,65,Yes
309,69,Yes
436,102,Yes
503,120,No
515,120,No
539,120,No
557,120,No
685,206,No
833,206,No
906,206,No
942,206,No
972,206,No
987,206,No
1077,206,No
1147,206,No
1178,206,No
1198,206,No
1227,206,No
1245,206,No
0,0,No
31,55,Yes
98,421,No
110,501,No
134,623,No
152,699,No
280,959,No
428,1296,No
501,1690,No
537,1786,No
567,1876,No
582,1951,No
672,2083,No
742,2214,No
773,2275,No
793,2344,No
822,2411,No
840,2433,No
0,0,No
37,45,Yes
104,303,No
116,383,No
140,505,No
158,581,No
286,839,No
434,1165,No
507,1487,No
543,1583,No
573,1673,No
588,1748,No
678,1880,No
748,2011,No
779,2072,No
799,2141,No
828,2208,No
846,2230,No
0,0,No
56,106,Yes
123,364,No
135,444,No
159,566,No
177,642,No
305,911,No
453,1255,No
526,1577,No
562,1673,No
592,1763,No
607,1838,No
697,1970,No
767,2101,No
798,2162,No
818,2231,No
847,2298,No
865,2320,No
0,694,No
28,1416,Yes
116,1494,Yes
151,1595,Yes
159,1599,Yes
329,1734,Yes
389,1837,Yes
411,1889,Yes
538,7385,Yes
615,7450,Yes
742,7523,Yes
809,7948,No
821,7975,No
845,8039,No
863,8057,No
991,8619,No
1139,9235,No
1212,9419,No
1248,9508,No
1278,9895,No
1293,9943,No
1383,10051,No
1453,10225,No
1484,10320,No
1504,10391,No
1533,10480,No
1551,10485,No
0,0,No
49,85,Yes
116,395,Yes
128,494,Yes
152,617,Yes
170,705,Yes
298,1021,Yes
446,1347,Yes
519,1669,No
555,1765,No
585,1855,No
600,1930,No
690,2062,No
760,2193,No
791,2254,No
811,2323,No
840,2390,No
858,2412,No
0,0,No
51,4206,Yes
128,4338,Yes
255,4455,Yes
322,6735,No
334,6835,No
358,6957,No
376,7033,No
504,7601,No
652,7942,No
725,8342,No
761,8438,No
791,8556,No
806,8887,No
896,11004,No
966,11135,No
997,11196,No
1017,11265,No
1046,11332,No
1064,11354,No
0,0,No
43,174,Yes
110,620,No
122,700,No
146,822,No
164,910,No
292,2506,No
440,2832,No
513,3288,No
549,3384,No
579,3474,No
594,3549,No
684,3681,No
754,3812,No
785,3873,No
805,3942,No
834,4009,No
852,4031,No
0,0,No
39,67,Yes
106,377,No
118,476,No
142,599,No
160,687,No
288,1003,No
436,1329,No
509,1651,No
545,1747,No
575,1837,No
590,1912,No
680,2044,No
750,2175,No
781,2236,No
801,2305,No
830,2372,No
848,2394,No
0,20,No
120,158,Yes
187,762,No
199,842,No
223,1066,No
241,1142,No
369,2845,No
517,3324,No
590,4908,No
626,5069,No
656,7954,No
671,8135,No
761,8761,No
831,9259,No
862,9402,No
882,9526,No
911,9730,No
929,9870,No
0,0,No
17,94,Yes
145,754,No
293,1253,No
366,1755,No
402,1940,No
432,2417,No
447,2540,No
537,2780,No
607,3085,No
638,3241,No
658,3381,No
687,3537,No
705,3564,No
0,0,No
15,113,Yes
143,1571,No
291,1903,No
364,2272,No
400,2368,No
430,2458,No
445,2533,No
535,2665,No
605,2796,No
636,2857,No
656,2926,No
685,2993,No
703,3015,No
0,0,No
0,444,Yes
18,548,Yes
146,1654,No
294,1980,No
367,2302,No
403,2398,No
433,2488,No
448,2563,No
538,2695,No
608,2826,No
639,2887,No
659,2956,No
688,3023,No
706,3045,No
0,23,No
2,51,Yes
129,168,Yes
196,426,No
208,506,No
232,628,No
250,704,No
378,971,No
526,1333,No
599,1655,No
635,1751,No
665,1841,No
680,1916,No
770,2048,No
840,2179,No
871,2240,No
891,2309,No
920,2376,No
938,2398,No
0,0,No
17,111,Yes
35,189,Yes
163,636,No
311,968,No
384,1337,No
420,1433,No
450,1523,No
465,1598,No
555,1730,No
625,1861,No
656,1922,No
676,1991,No
705,2058,No
723,2080,No
0,0,No
98,113,Yes
165,449,Yes
177,529,No
201,795,No
219,871,No
347,1263,No
495,1736,No
568,2118,No
604,2398,No
634,2488,No
649,2563,No
739,2695,No
809,2826,No
840,2887,No
860,2956,No
889,3023,No
907,3045,No
0,0,No
3,29,Yes
21,117,Yes
149,424,No
297,759,No
370,1081,No
406,1177,No
436,1267,No
451,1342,No
541,1474,No
611,1605,No
642,1666,No
662,1735,No
691,1802,No
709,1824,No
0,0,No
94,98,Yes
161,372,Yes
173,452,Yes
197,574,Yes
215,650,Yes
343,1032,Yes
491,1358,No
564,1680,No
600,1776,No
630,1866,No
645,1941,No
735,2073,No
805,2204,No
836,2265,No
856,2334,No
885,2401,No
903,2423,No
0,0,No
13,24,Yes
141,157,No
289,157,No
362,159,No
398,159,No
428,159,No
443,159,No
533,159,No
603,159,No
634,159,No
654,159,No
683,159,No
701,159,No
0,0,No
122,282,Yes
189,907,No
201,993,No
225,1153,No
243,1251,No
371,1900,No
519,2977,No
592,3778,No
628,3877,No
658,4015,No
673,4126,No
763,4326,No
833,4901,No
864,4962,No
884,5031,No
913,5098,No
931,5120,No
0,20,No
24,79,Yes
101,79,Yes
228,155,Yes
295,234,No
307,234,No
331,234,No
349,234,No
477,1321,No
625,1321,No
698,1453,No
734,1453,No
764,1453,No
779,1453,No
869,1453,No
939,1453,No
970,1453,No
990,1453,No
1019,1453,No
1037,1453,No
0,0,No
78,83,Yes
145,367,Yes
157,447,Yes
181,569,Yes
199,645,No
327,1082,No
475,1408,No
548,1730,No
584,1826,No
614,1916,No
629,1991,No
719,2123,No
789,2254,No
820,2315,No
840,2384,No
869,2451,No
887,2473,No
0,0,No
66,78,Yes
133,421,No
145,501,No
169,626,No
187,704,No
315,1000,No
463,1330,No
536,1701,No
572,1797,No
602,1887,No
617,1962,No
707,2094,No
777,2225,No
808,2286,No
828,2355,No
857,2422,No
875,2444,No
0,0,No
31,299,Yes
43,379,Yes
67,501,Yes
85,589,No
213,2185,No
361,2511,No
434,2967,No
470,3063,No
500,3153,No
515,3228,No
605,3360,No
675,3491,No
706,3552,No
726,3621,No
755,3688,No
773,3710,No
0,0,No
34,168,Yes
46,249,No
70,371,No
88,451,No
216,828,No
364,1279,No
437,1601,No
473,1697,No
503,1787,No
518,1862,No
608,1994,No
678,2125,No
709,2186,No
729,2255,No
758,2322,No
776,2344,No
0,0,No
17,92,Yes
145,360,Yes
293,686,No
366,1008,No
402,1139,No
432,1231,No
447,1308,No
537,1440,No
607,1619,No
638,1704,No
658,1773,No
687,1840,No
705,1862,No
0,0,No
14,14,Yes
36,14,Yes
163,592,Yes
240,592,Yes
367,592,Yes
434,622,Yes
446,625,No
470,655,No
488,671,No
616,806,No
764,806,No
837,806,No
873,806,No
903,806,No
918,806,No
1008,806,No
1078,806,No
1109,806,No
1129,806,No
1158,806,No
1176,806,No
0,0,No
125,1841,Yes
273,2420,No
346,4030,No
382,4191,No
412,7076,No
427,7257,No
517,7883,No
587,8381,No
618,8524,No
638,8648,No
667,8852,No
685,8992,No
0,0,No
43,58,Yes
55,58,No
79,118,No
97,118,No
225,143,No
373,143,No
446,143,No
482,143,No
512,143,No
527,143,No
617,143,No
687,143,No
718,143,No
738,143,No
767,143,No
785,143,No
0,0,No
41,249,Yes
53,329,No
77,458,No
95,534,No
223,839,No
371,1173,No
444,1520,No
480,1624,No
510,1728,No
525,1815,No
615,1967,No
685,2171,No
716,2234,No
736,2303,No
765,2382,No
783,2404,No
0,0,No
121,250,Yes
269,576,No
342,898,No
378,994,No
408,1084,No
423,1159,No
513,1291,No
583,1422,No
614,1483,No
634,1552,No
663,1619,No
681,1641,No
0,0,No
38,533,Yes
50,613,No
74,837,No
92,913,No
220,2614,No
368,3093,No
441,4677,No
477,4838,No
507,7723,No
522,7904,No
612,8530,No
682,9028,No
713,9171,No
733,9295,No
762,9499,No
780,9639,No
0,0,No
19,31,Yes
86,299,No
98,379,No
122,511,No
140,587,No
268,908,No
416,1236,No
489,1558,No
525,1654,No
555,1744,No
570,1819,No
660,1951,No
730,2082,No
761,2143,No
781,2212,No
810,2279,No
828,2301,No
0,26,No
54,8398,Yes
131,8536,No
258,8661,No
325,9267,No
337,9347,No
361,9469,No
379,9545,No
507,9803,No
655,10129,No
728,10451,No
764,10547,No
794,10637,No
809,10712,No
899,10844,No
969,10975,No
1000,11036,No
1020,11105,No
1049,11172,No
1067,11194,No
0,0,No
14,87,Yes
81,422,No
93,502,No
117,624,No
135,700,No
263,958,No
411,1284,No
