Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
LOG4J2-1434,25,2.6.2,0,0,No
LOG4J2-1434,24,2.6.1,27,15,Yes
LOG4J2-1434,23,2.6,35,19,No
LOG4J2-1434,22,2.5,205,386,No
LOG4J2-1434,21,2.4.1,265,446,No
LOG4J2-1434,20,2.4,287,618,No
LOG4J2-1434,19,2.3,414,638,No
LOG4J2-1434,18,2.2,491,638,No
LOG4J2-1434,17,2.1,618,641,No
LOG4J2-1434,16,2.0.2,685,686,No
LOG4J2-1434,15,2.0.1,697,686,No
LOG4J2-1434,14,2.0,721,686,No
LOG4J2-1434,13,2.0-rc2,739,745,No
LOG4J2-1434,12,2.0-rc1,867,1120,No
LOG4J2-1434,11,2.0-beta9,1015,1161,No
LOG4J2-1434,10,2.0-beta8,1088,1161,No
LOG4J2-1434,9,2.0-beta7,1124,1161,No
LOG4J2-1434,8,2.0-beta6,1154,1161,No
LOG4J2-1434,7,2.0-beta5,1169,1161,No
LOG4J2-1434,6,2.0-beta4,1259,1161,No
LOG4J2-1434,5,2.0-beta3,1329,1161,No
LOG4J2-1434,4,2.0-beta2,1360,1161,No
LOG4J2-1434,3,2.0-beta1,1380,1161,No
LOG4J2-1434,2,2.0-alpha2,1409,1161,No
LOG4J2-1434,1,2.0-alpha1,1427,1161,No
LOG4J2-1422,25,2.6.2,0,0,No
LOG4J2-1422,24,2.6.1,13,62,Yes
LOG4J2-1422,23,2.6,21,68,Yes
LOG4J2-1422,22,2.5,191,68,No
LOG4J2-1422,21,2.4.1,251,68,No
LOG4J2-1422,20,2.4,273,68,No
LOG4J2-1422,19,2.3,400,68,No
LOG4J2-1422,18,2.2,477,68,No
LOG4J2-1422,17,2.1,604,68,No
LOG4J2-1422,16,2.0.2,671,68,No
LOG4J2-1422,15,2.0.1,683,68,No
LOG4J2-1422,14,2.0,707,68,No
LOG4J2-1422,13,2.0-rc2,725,68,No
LOG4J2-1422,12,2.0-rc1,853,68,No
LOG4J2-1422,11,2.0-beta9,1001,68,No
LOG4J2-1422,10,2.0-beta8,1074,68,No
LOG4J2-1422,9,2.0-beta7,1110,68,No
LOG4J2-1422,8,2.0-beta6,1140,68,No
LOG4J2-1422,7,2.0-beta5,1155,68,No
LOG4J2-1422,6,2.0-beta4,1245,68,No
LOG4J2-1422,5,2.0-beta3,1315,68,No
LOG4J2-1422,4,2.0-beta2,1346,68,No
LOG4J2-1422,3,2.0-beta1,1366,68,No
LOG4J2-1422,2,2.0-alpha2,1395,68,No
LOG4J2-1422,1,2.0-alpha1,1413,68,No
LOG4J2-1215,22,2.5,0,0,No
