Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
LOG4J2-298,10,2.0-beta8,0,0,No
LOG4J2-298,9,2.0-beta7,28,79,Yes
LOG4J2-298,8,2.0-beta6,58,169,No
LOG4J2-298,7,2.0-beta5,73,244,No
LOG4J2-298,6,2.0-beta4,163,376,No
LOG4J2-298,5,2.0-beta3,233,507,No
LOG4J2-298,4,2.0-beta2,264,568,No
LOG4J2-298,3,2.0-beta1,284,637,No
LOG4J2-298,2,2.0-alpha2,313,704,No
LOG4J2-298,1,2.0-alpha1,331,726,No
LOG4J2-297,10,2.0-beta8,0,0,No
LOG4J2-297,9,2.0-beta7,28,80,Yes
LOG4J2-297,8,2.0-beta6,58,170,No
LOG4J2-297,7,2.0-beta5,73,298,No
LOG4J2-297,6,2.0-beta4,163,442,No
LOG4J2-297,5,2.0-beta3,233,704,No
LOG4J2-297,4,2.0-beta2,264,899,No
LOG4J2-297,3,2.0-beta1,284,968,No
LOG4J2-297,2,2.0-alpha2,313,1194,No
LOG4J2-297,1,2.0-alpha1,331,1216,No
LOG4J2-296,10,2.0-beta8,0,0,No
LOG4J2-296,9,2.0-beta7,28,93,Yes
LOG4J2-296,8,2.0-beta6,58,389,No
LOG4J2-296,7,2.0-beta5,73,464,No
LOG4J2-296,6,2.0-beta4,163,1340,No
LOG4J2-296,5,2.0-beta3,233,1471,No
LOG4J2-296,4,2.0-beta2,264,1532,No
LOG4J2-296,3,2.0-beta1,284,1601,No
LOG4J2-296,2,2.0-alpha2,313,1668,No
LOG4J2-296,1,2.0-alpha1,331,1690,No
LOG4J2-295,10,2.0-beta8,0,0,No
LOG4J2-295,9,2.0-beta7,26,443,Yes
LOG4J2-295,8,2.0-beta6,56,632,No
LOG4J2-295,7,2.0-beta5,71,707,No
LOG4J2-295,6,2.0-beta4,161,1247,No
LOG4J2-295,5,2.0-beta3,231,1378,No
LOG4J2-295,4,2.0-beta2,262,1439,No
LOG4J2-295,3,2.0-beta1,282,1508,No
LOG4J2-295,2,2.0-alpha2,311,1575,No
LOG4J2-295,1,2.0-alpha1,329,1597,No
LOG4J2-293,11,2.0-beta9,0,0,No
LOG4J2-293,10,2.0-beta8,65,72,Yes
LOG4J2-293,9,2.0-beta7,101,72,Yes
LOG4J2-293,8,2.0-beta6,131,72,No
LOG4J2-293,7,2.0-beta5,146,72,No
LOG4J2-293,6,2.0-beta4,236,72,No
LOG4J2-293,5,2.0-beta3,306,72,No
LOG4J2-293,4,2.0-beta2,337,72,No
LOG4J2-293,3,2.0-beta1,357,72,No
LOG4J2-293,2,2.0-alpha2,386,72,No
LOG4J2-293,1,2.0-alpha1,404,72,No
LOG4J2-292,10,2.0-beta8,0,0,No
LOG4J2-292,9,2.0-beta7,26,443,Yes
LOG4J2-292,8,2.0-beta6,56,632,No
LOG4J2-292,7,2.0-beta5,71,707,No
LOG4J2-292,6,2.0-beta4,161,1247,No
LOG4J2-292,5,2.0-beta3,231,1378,No
LOG4J2-292,4,2.0-beta2,262,1439,No
LOG4J2-292,3,2.0-beta1,282,1508,No
LOG4J2-292,2,2.0-alpha2,311,1575,No
LOG4J2-292,1,2.0-alpha1,329,1597,No
LOG4J2-291,11,2.0-beta9,0,0,No
LOG4J2-291,10,2.0-beta8,7,49,Yes
LOG4J2-291,9,2.0-beta7,43,145,Yes
LOG4J2-291,8,2.0-beta6,73,235,No
LOG4J2-291,7,2.0-beta5,88,310,No
LOG4J2-291,6,2.0-beta4,178,442,No
LOG4J2-291,5,2.0-beta3,248,573,No
LOG4J2-291,4,2.0-beta2,279,634,No
LOG4J2-291,3,2.0-beta1,299,703,No
LOG4J2-291,2,2.0-alpha2,328,770,No
LOG4J2-291,1,2.0-alpha1,346,792,No
LOG4J2-289,10,2.0-beta8,0,0,No
LOG4J2-289,9,2.0-beta7,19,108,Yes
LOG4J2-289,8,2.0-beta6,49,585,No
LOG4J2-289,7,2.0-beta5,64,708,No
LOG4J2-289,6,2.0-beta4,154,948,No
LOG4J2-289,5,2.0-beta3,224,1253,No
LOG4J2-289,4,2.0-beta2,255,1409,No
LOG4J2-289,3,2.0-beta1,275,1549,No
LOG4J2-289,2,2.0-alpha2,304,1705,No
LOG4J2-289,1,2.0-alpha1,322,1732,No
LOG4J2-283,10,2.0-beta8,0,0,No
LOG4J2-283,9,2.0-beta7,11,46,Yes
LOG4J2-283,8,2.0-beta6,41,136,No
LOG4J2-283,7,2.0-beta5,56,211,No
LOG4J2-283,6,2.0-beta4,146,343,No
LOG4J2-283,5,2.0-beta3,216,474,No
LOG4J2-283,4,2.0-beta2,247,535,No
LOG4J2-283,3,2.0-beta1,267,604,No
LOG4J2-283,2,2.0-alpha2,296,671,No
LOG4J2-283,1,2.0-alpha1,314,693,No
LOG4J2-280,11,2.0-beta9,0,0,No
LOG4J2-280,10,2.0-beta8,13,102,Yes
LOG4J2-280,9,2.0-beta7,49,234,Yes
LOG4J2-280,8,2.0-beta6,79,324,Yes
LOG4J2-280,7,2.0-beta5,94,401,Yes
LOG4J2-280,6,2.0-beta4,184,533,Yes
LOG4J2-280,5,2.0-beta3,254,664,No
LOG4J2-280,4,2.0-beta2,285,725,No
LOG4J2-280,3,2.0-beta1,305,794,No
LOG4J2-280,2,2.0-alpha2,334,861,No
LOG4J2-280,1,2.0-alpha1,352,883,No
LOG4J2-71,26,2.7,0,0,No
LOG4J2-71,25,2.6.2,64,6,Yes
