Days from Version to FV,LOC touched from Version to FV,Bugginess
0,0,No
5,56,Yes
71,599,No
100,689,No
158,925,No
0,0,No
2,22,Yes
68,33,No
97,46,No
155,68,No
0,0,No
0,141,Yes
66,141,Yes
95,141,Yes
153,141,Yes
0,0,No
23,571,Yes
35,855,No
101,866,No
130,879,No
188,901,No
0,0,No
23,601,Yes
35,993,No
101,1202,No
130,1259,No
188,1334,No
0,0,No
37,376,Yes
49,719,No
115,719,No
144,803,No
202,863,No
0,0,No
18,929,Yes
30,1520,No
96,2362,No
125,2650,No
183,3036,No
0,0,No
9,49,Yes
26,49,Yes
71,82,Yes
114,82,Yes
142,82,Yes
167,84,Yes
181,84,Yes
223,139,Yes
261,302,Yes
286,302,Yes
324,302,Yes
363,347,Yes
402,347,Yes
432,347,Yes
447,347,Yes
491,361,Yes
576,595,Yes
601,599,Yes
638,599,Yes
692,620,Yes
800,833,Yes
825,1264,Yes
895,1267,Yes
975,1363,Yes
1027,1432,Yes
1087,1432,Yes
1157,1459,Yes
1199,1667,Yes
1211,1726,Yes
1277,1726,Yes
1306,1761,Yes
1364,1794,Yes
0,0,No
41,9,Yes
84,9,Yes
112,15,Yes
137,15,Yes
151,15,Yes
193,15,Yes
231,21,Yes
256,21,Yes
294,21,Yes
333,21,Yes
372,21,Yes
402,21,Yes
417,21,Yes
461,21,Yes
546,21,Yes
571,21,Yes
608,21,Yes
662,21,Yes
770,142,Yes
795,142,Yes
865,142,Yes
945,142,Yes
997,142,Yes
1057,142,Yes
1127,142,Yes
1169,142,Yes
1181,142,Yes
1247,142,Yes
1276,142,Yes
1334,142,Yes
0,0,No
15,98,Yes
58,598,Yes
86,598,Yes
111,754,Yes
125,1021,Yes
167,2011,Yes
205,2834,Yes
230,3201,Yes
268,3201,Yes
307,3257,Yes
346,3257,Yes
376,3278,Yes
391,3278,Yes
435,3307,Yes
520,3590,Yes
545,3600,Yes
582,3629,Yes
636,3943,Yes
744,4802,Yes
769,5768,Yes
839,5788,Yes
919,6088,Yes
971,6504,Yes
1031,6504,Yes
1101,6864,Yes
1143,8319,Yes
1155,9028,Yes
1221,9031,Yes
1250,9138,Yes
1308,9233,Yes
0,0,No
22,20,Yes
47,20,Yes
61,20,Yes
103,20,Yes
141,57,Yes
166,57,Yes
204,57,Yes
243,57,Yes
282,57,Yes
312,57,Yes
327,57,Yes
371,57,Yes
456,57,Yes
481,57,Yes
518,57,Yes
572,57,Yes
680,298,Yes
705,298,Yes
775,298,Yes
855,298,Yes
907,298,Yes
967,298,Yes
1037,298,Yes
1079,298,Yes
1091,298,Yes
1157,298,Yes
1186,298,Yes
1244,298,Yes
0,0,No
4,119,Yes
62,119,Yes
0,0,No
24,6,Yes
82,45,Yes
0,0,No
10,424,Yes
22,829,No
88,1444,No
117,1617,No
175,1903,No
0,0,No
11,459,Yes
23,663,No
89,860,No
118,963,No
176,1151,No
0,0,No
7,248,Yes
73,989,No
102,1158,No
160,1480,No
0,0,No
7,470,Yes
73,470,No
102,527,No
160,562,No
0,0,No
8,37,Yes
74,40,No
103,63,No
161,78,No
0,0,No
7,47,Yes
73,47,No
102,47,No
160,47,No
0,0,No
26,38,Yes
41,38,Yes
85,38,Yes
170,38,Yes
195,38,Yes
232,38,Yes
286,83,Yes
394,96,Yes
419,96,Yes
489,120,Yes
569,120,Yes
621,123,Yes
681,123,Yes
751,123,Yes
793,123,Yes
805,123,Yes
871,151,Yes
900,179,Yes
958,179,Yes
0,0,No
23,15,Yes
48,15,Yes
62,15,Yes
104,15,Yes
142,20,Yes
167,24,Yes
205,24,Yes
244,41,Yes
283,41,Yes
313,49,Yes
328,49,Yes
372,58,Yes
457,95,Yes
482,95,Yes
519,101,Yes
573,109,Yes
681,119,Yes
706,140,Yes
776,142,Yes
856,184,Yes
908,204,Yes
968,204,Yes
1038,210,Yes
1080,245,Yes
1092,252,Yes
1158,259,Yes
1187,333,Yes
1245,372,Yes
0,0,No
30,2,Yes
55,2,Yes
93,2,Yes
132,2,Yes
171,2,Yes
201,80,Yes
216,80,Yes
260,80,Yes
345,80,Yes
370,80,Yes
407,80,Yes
461,80,Yes
569,80,Yes
594,80,Yes
664,80,Yes
744,80,Yes
796,80,Yes
856,80,Yes
926,80,Yes
968,80,Yes
980,80,Yes
1046,80,Yes
1075,80,Yes
1133,80,Yes
0,0,No
18,24,Yes
60,157,No
72,222,No
138,314,No
167,369,No
225,488,No
0,0,No
4,25,Yes
46,57,No
58,57,No
124,57,No
153,237,No
211,237,No
0,0,No
19,2,Yes
77,41,No
0,0,No
19,169,Yes
77,177,No
0,0,No
17,42,Yes
75,278,No
0,0,No
16,120,Yes
74,120,No
0,0,No
13,222,Yes
71,244,No
0,0,No
19,169,Yes
77,177,No
0,0,No
7,44,Yes
49,248,No
61,249,No
127,253,No
156,292,No
214,388,No
0,0,No
35,53,Yes
47,73,No
113,73,No
142,73,No
200,73,No
0,0,No
4,35,Yes
62,68,Yes
0,0,No
4,119,Yes
62,119,Yes
0,0,No
13,222,Yes
71,244,No
0,0,No
23,571,Yes
35,855,No
101,866,No
130,879,No
188,901,No
0,0,No
26,110,Yes
84,110,No
0,0,No
32,81,Yes
44,137,No
110,137,No
139,145,No
197,145,No
0,0,No
12,180,Yes
70,846,No
0,0,No
35,149,Yes
47,205,No
113,205,No
142,213,No
200,213,No
0,0,No
13,125,Yes
71,326,No
0,0,No
25,1427,Yes
54,2271,No
112,3250,No
0,0,No
19,6,Yes
48,6,No
106,266,No
0,0,No
18,49,Yes
47,104,No
105,223,No
0,0,No
25,83,Yes
83,133,No
