Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
QPIDJMS-179,10,0.10.0,0,0,No
QPIDJMS-179,9,0.9.0,43,23,Yes
QPIDJMS-179,8,0.8.0,95,27,Yes
QPIDJMS-179,7,0.7.0,155,27,No
QPIDJMS-179,6,0.6.0,225,304,No
QPIDJMS-179,5,0.5.0,267,316,No
QPIDJMS-179,4,0.4.0,279,316,No
QPIDJMS-179,3,0.3.0,345,316,No
QPIDJMS-179,2,0.2.0,374,316,No
QPIDJMS-179,1,0.1.0,432,316,No
QPIDJMS-178,10,0.10.0,0,0,No
QPIDJMS-178,9,0.9.0,39,398,Yes
QPIDJMS-178,8,0.8.0,91,438,No
QPIDJMS-178,7,0.7.0,151,438,No
QPIDJMS-178,6,0.6.0,221,501,No
QPIDJMS-178,5,0.5.0,263,1248,No
QPIDJMS-178,4,0.4.0,275,1443,No
QPIDJMS-178,3,0.3.0,341,1481,No
QPIDJMS-178,2,0.2.0,370,1797,No
QPIDJMS-178,1,0.1.0,428,1872,No
QPIDJMS-172,10,0.10.0,0,0,No
QPIDJMS-172,9,0.9.0,4,74,Yes
QPIDJMS-172,8,0.8.0,56,228,No
QPIDJMS-172,7,0.7.0,116,228,No
QPIDJMS-172,6,0.6.0,186,260,No
QPIDJMS-172,5,0.5.0,228,336,No
QPIDJMS-172,4,0.4.0,240,358,No
QPIDJMS-172,3,0.3.0,306,369,No
QPIDJMS-172,2,0.2.0,335,382,No
QPIDJMS-172,1,0.1.0,393,404,No
QPIDJMS-209,12,0.11.1,0,0,No
QPIDJMS-209,11,0.11.0,13,435,Yes
QPIDJMS-209,10,0.10.0,83,435,No
QPIDJMS-209,9,0.9.0,163,435,No
QPIDJMS-209,8,0.8.0,215,437,No
QPIDJMS-209,7,0.7.0,275,437,No
QPIDJMS-209,6,0.6.0,345,437,No
QPIDJMS-209,5,0.5.0,387,437,No
QPIDJMS-209,4,0.4.0,399,437,No
QPIDJMS-209,3,0.3.0,465,437,No
QPIDJMS-209,2,0.2.0,494,437,No
QPIDJMS-209,1,0.1.0,552,437,No
QPIDJMS-205,11,0.11.0,0,0,No
QPIDJMS-205,10,0.10.0,67,1138,Yes
QPIDJMS-205,9,0.9.0,147,1138,No
QPIDJMS-205,8,0.8.0,199,1142,No
QPIDJMS-205,7,0.7.0,259,1142,No
QPIDJMS-205,6,0.6.0,329,1169,No
QPIDJMS-205,5,0.5.0,371,1171,No
QPIDJMS-205,4,0.4.0,383,1204,No
QPIDJMS-205,3,0.3.0,449,1204,No
QPIDJMS-205,2,0.2.0,478,1214,No
QPIDJMS-205,1,0.1.0,536,1243,No
QPIDJMS-208,12,0.11.1,0,0,No
QPIDJMS-208,11,0.11.0,12,111,Yes
QPIDJMS-208,10,0.10.0,82,167,No
QPIDJMS-208,9,0.9.0,162,625,No
QPIDJMS-208,8,0.8.0,214,714,No
QPIDJMS-208,7,0.7.0,274,809,No
QPIDJMS-208,6,0.6.0,344,886,No
QPIDJMS-208,5,0.5.0,386,1023,No
QPIDJMS-208,4,0.4.0,398,1069,No
QPIDJMS-208,3,0.3.0,464,1069,No
QPIDJMS-208,2,0.2.0,493,1154,No
QPIDJMS-208,1,0.1.0,551,1154,No
QPIDJMS-201,13,0.20.0,0,0,No
QPIDJMS-201,12,0.11.1,11,5,Yes
QPIDJMS-201,11,0.11.0,36,143,Yes
QPIDJMS-201,10,0.10.0,106,190,Yes
QPIDJMS-201,9,0.9.0,186,287,No
QPIDJMS-201,8,0.8.0,238,402,No
QPIDJMS-201,7,0.7.0,298,402,No
QPIDJMS-201,6,0.6.0,368,455,No
QPIDJMS-201,5,0.5.0,410,951,No
QPIDJMS-201,4,0.4.0,422,953,No
QPIDJMS-201,3,0.3.0,488,1025,No
QPIDJMS-201,2,0.2.0,517,1059,No
QPIDJMS-201,1,0.1.0,575,1082,No
