Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
QPIDJMS-95,5,0.5.0,0,0,No
QPIDJMS-95,4,0.4.0,5,56,Yes
QPIDJMS-95,3,0.3.0,71,599,No
QPIDJMS-95,2,0.2.0,100,689,No
QPIDJMS-95,1,0.1.0,158,925,No
QPIDJMS-94,5,0.5.0,0,0,No
QPIDJMS-94,4,0.4.0,2,22,Yes
QPIDJMS-94,3,0.3.0,68,33,No
QPIDJMS-94,2,0.2.0,97,46,No
QPIDJMS-94,1,0.1.0,155,68,No
QPIDJMS-93,5,0.5.0,0,0,No
QPIDJMS-93,4,0.4.0,0,141,Yes
QPIDJMS-93,3,0.3.0,66,141,Yes
QPIDJMS-93,2,0.2.0,95,141,Yes
QPIDJMS-93,1,0.1.0,153,141,Yes
QPIDJMS-114,6,0.6.0,0,0,No
QPIDJMS-114,5,0.5.0,23,571,Yes
QPIDJMS-114,4,0.4.0,35,855,No
QPIDJMS-114,3,0.3.0,101,866,No
QPIDJMS-114,2,0.2.0,130,879,No
QPIDJMS-114,1,0.1.0,188,901,No
QPIDJMS-115,6,0.6.0,0,0,No
QPIDJMS-115,5,0.5.0,23,601,Yes
QPIDJMS-115,4,0.4.0,35,993,No
QPIDJMS-115,3,0.3.0,101,1202,No
QPIDJMS-115,2,0.2.0,130,1259,No
QPIDJMS-115,1,0.1.0,188,1334,No
QPIDJMS-116,6,0.6.0,0,0,No
QPIDJMS-116,5,0.5.0,37,376,Yes
QPIDJMS-116,4,0.4.0,49,719,No
QPIDJMS-116,3,0.3.0,115,719,No
QPIDJMS-116,2,0.2.0,144,803,No
QPIDJMS-116,1,0.1.0,202,863,No
QPIDJMS-111,6,0.6.0,0,0,No
QPIDJMS-111,5,0.5.0,18,929,Yes
QPIDJMS-111,4,0.4.0,30,1520,No
QPIDJMS-111,3,0.3.0,96,2362,No
QPIDJMS-111,2,0.2.0,125,2650,No
QPIDJMS-111,1,0.1.0,183,3036,No
QPIDJMS-43,33,0.40.0,0,0,No
QPIDJMS-43,32,0.39.0,9,49,Yes
QPIDJMS-43,31,0.38.0,26,49,Yes
QPIDJMS-43,30,0.37.0,71,82,Yes
QPIDJMS-43,29,0.36.0,114,82,Yes
QPIDJMS-43,28,0.35.0,142,82,Yes
QPIDJMS-43,27,0.34.0,167,84,Yes
QPIDJMS-43,26,0.33.0,181,84,Yes
QPIDJMS-43,25,0.32.0,223,139,Yes
QPIDJMS-43,24,0.31.0,261,302,Yes
QPIDJMS-43,23,0.30.0,286,302,Yes
QPIDJMS-43,22,0.29.0,324,302,Yes
QPIDJMS-43,21,0.28.0,363,347,Yes
QPIDJMS-43,20,0.27.0,402,347,Yes
QPIDJMS-43,19,0.26.0,432,347,Yes
QPIDJMS-43,18,0.25.0,447,347,Yes
QPIDJMS-43,17,0.24.0,491,361,Yes
QPIDJMS-43,16,0.23.0,576,595,Yes
QPIDJMS-43,15,0.22.0,601,599,Yes
QPIDJMS-43,14,0.21.0,638,599,Yes
QPIDJMS-43,13,0.20.0,692,620,Yes
QPIDJMS-43,12,0.11.1,800,833,Yes
QPIDJMS-43,11,0.11.0,825,1264,Yes
QPIDJMS-43,10,0.10.0,895,1267,Yes
QPIDJMS-43,9,0.9.0,975,1363,Yes
