Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
SYNCOPE-682,25,1.2.5,0,0,No
SYNCOPE-682,24,1.2.4,69,22,Yes
SYNCOPE-682,23,1.2.3,115,22,No
SYNCOPE-682,22,1.2.2,164,350,No
SYNCOPE-682,21,1.2.1,238,354,No
SYNCOPE-682,20,1.2.0,283,354,No
SYNCOPE-682,19,1.2.0-M1,308,369,No
SYNCOPE-682,18,1.1.8,375,369,No
SYNCOPE-682,17,1.1.7,458,419,No
SYNCOPE-682,16,1.1.6,506,419,No
SYNCOPE-682,15,1.1.5,592,478,No
SYNCOPE-682,14,1.1.4,654,498,No
SYNCOPE-682,13,1.1.3,731,532,No
SYNCOPE-682,12,1.1.2,762,532,No
SYNCOPE-682,11,1.1.1,805,549,No
SYNCOPE-682,10,1.0.8,816,549,No
SYNCOPE-682,9,1.1.0,829,549,No
SYNCOPE-682,8,1.0.7,839,549,No
SYNCOPE-682,7,1.0.6,866,551,No
SYNCOPE-682,6,1.0.5,901,612,No
SYNCOPE-682,5,1.0.4,945,769,No
SYNCOPE-682,4,1.0.2-incubating,1014,775,No
SYNCOPE-682,3,1.0.3-incubating,1016,775,No
SYNCOPE-682,2,1.0.1-incubating,1048,775,No
SYNCOPE-682,1,1.0.0-incubating,1071,775,No
SYNCOPE-683,25,1.2.5,0,0,No
SYNCOPE-683,24,1.2.4,69,14,Yes
SYNCOPE-683,23,1.2.3,115,14,No
SYNCOPE-683,22,1.2.2,164,780,No
SYNCOPE-683,21,1.2.1,238,780,No
SYNCOPE-683,20,1.2.0,283,780,No
SYNCOPE-683,19,1.2.0-M1,308,803,No
SYNCOPE-683,18,1.1.8,375,2312,No
SYNCOPE-683,17,1.1.7,458,2347,No
SYNCOPE-683,16,1.1.6,506,2347,No
SYNCOPE-683,15,1.1.5,592,2368,No
SYNCOPE-683,14,1.1.4,654,2628,No
SYNCOPE-683,13,1.1.3,731,2740,No
SYNCOPE-683,12,1.1.2,762,2740,No
SYNCOPE-683,11,1.1.1,805,2740,No
SYNCOPE-683,10,1.0.8,816,2740,No
SYNCOPE-683,9,1.1.0,829,2740,No
SYNCOPE-683,8,1.0.7,839,2740,No
SYNCOPE-683,7,1.0.6,866,2740,No
SYNCOPE-683,6,1.0.5,901,2784,No
SYNCOPE-683,5,1.0.4,945,2809,No
SYNCOPE-683,4,1.0.2-incubating,1014,2809,No
SYNCOPE-683,3,1.0.3-incubating,1016,2809,No
SYNCOPE-683,2,1.0.1-incubating,1048,2809,No
SYNCOPE-683,1,1.0.0-incubating,1071,2809,No
SYNCOPE-684,25,1.2.5,0,0,No
SYNCOPE-684,24,1.2.4,79,0,Yes
SYNCOPE-684,23,1.2.3,125,0,No
SYNCOPE-684,22,1.2.2,174,0,No
SYNCOPE-684,21,1.2.1,248,0,No
SYNCOPE-684,20,1.2.0,293,0,No
SYNCOPE-684,19,1.2.0-M1,318,0,No
SYNCOPE-684,18,1.1.8,385,0,No
SYNCOPE-684,17,1.1.7,468,0,No
SYNCOPE-684,16,1.1.6,516,0,No
SYNCOPE-684,15,1.1.5,602,0,No
SYNCOPE-684,14,1.1.4,664,0,No
SYNCOPE-684,13,1.1.3,741,0,No
SYNCOPE-684,12,1.1.2,772,0,No
SYNCOPE-684,11,1.1.1,815,0,No
SYNCOPE-684,10,1.0.8,826,0,No
SYNCOPE-684,9,1.1.0,839,0,No
SYNCOPE-684,8,1.0.7,849,0,No
SYNCOPE-684,7,1.0.6,876,0,No
SYNCOPE-684,6,1.0.5,911,0,No
SYNCOPE-684,5,1.0.4,955,0,No
SYNCOPE-684,4,1.0.2-incubating,1024,0,No
SYNCOPE-684,3,1.0.3-incubating,1026,0,No
SYNCOPE-684,2,1.0.1-incubating,1058,0,No
SYNCOPE-684,1,1.0.0-incubating,1081,0,No
SYNCOPE-686,26,1.2.6,0,0,No
SYNCOPE-686,25,1.2.5,31,17,Yes
SYNCOPE-686,24,1.2.4,115,74,No
SYNCOPE-686,23,1.2.3,161,95,No
SYNCOPE-686,22,1.2.2,210,95,No
SYNCOPE-686,21,1.2.1,284,95,No
SYNCOPE-686,20,1.2.0,329,95,No
SYNCOPE-686,19,1.2.0-M1,354,95,No
SYNCOPE-686,18,1.1.8,421,95,No
