Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
TINKERPOP-1874,14,3.3.2,0,0,No
TINKERPOP-1874,13,3.3.1,38,5388,Yes
TINKERPOP-1874,12,3.2.6,156,8311,No
TINKERPOP-1874,11,3.1.7,226,8557,No
TINKERPOP-1874,10,3.2.4,350,8912,No
TINKERPOP-1874,9,3.2.3,464,15359,No
TINKERPOP-1874,8,3.2.2,505,20249,No
TINKERPOP-1874,7,3.2.1,555,20284,No
TINKERPOP-1874,6,3.1.2-incubating,656,20852,No
TINKERPOP-1874,5,3.1.1-incubating,716,21080,No
TINKERPOP-1874,4,3.1.0-incubating,800,21108,No
TINKERPOP-1874,3,3.0.2-incubating,828,21108,No
TINKERPOP-1874,2,3.0.1-incubating,875,21171,No
TINKERPOP-1874,1,3.0.0-incubating,923,21191,No
TINKERPOP-1745,13,3.3.1,0,0,No
TINKERPOP-1745,12,3.2.6,106,193,Yes
TINKERPOP-1745,11,3.1.7,176,2671,Yes
TINKERPOP-1745,10,3.2.4,300,2671,No
TINKERPOP-1745,9,3.2.3,414,2671,No
TINKERPOP-1745,8,3.2.2,455,2671,No
TINKERPOP-1745,7,3.2.1,505,2671,No
TINKERPOP-1745,6,3.1.2-incubating,606,2671,No
TINKERPOP-1745,5,3.1.1-incubating,666,2671,No
TINKERPOP-1745,4,3.1.0-incubating,750,2671,No
TINKERPOP-1745,3,3.0.2-incubating,778,2671,No
TINKERPOP-1745,2,3.0.1-incubating,825,2671,No
TINKERPOP-1745,1,3.0.0-incubating,873,2671,No
TINKERPOP-1867,14,3.3.2,0,0,No
TINKERPOP-1867,13,3.3.1,34,36,Yes
TINKERPOP-1867,12,3.2.6,152,36,No
TINKERPOP-1867,11,3.1.7,222,39,No
TINKERPOP-1867,10,3.2.4,346,133,No
TINKERPOP-1867,9,3.2.3,460,303,No
TINKERPOP-1867,8,3.2.2,501,303,No
TINKERPOP-1867,7,3.2.1,551,383,No
TINKERPOP-1867,6,3.1.2-incubating,652,454,No
TINKERPOP-1867,5,3.1.1-incubating,712,652,No
TINKERPOP-1867,4,3.1.0-incubating,796,697,No
TINKERPOP-1867,3,3.0.2-incubating,824,724,No
TINKERPOP-1867,2,3.0.1-incubating,871,724,No
TINKERPOP-1867,1,3.0.0-incubating,919,762,No
TINKERPOP-1743,12,3.2.6,0,0,No
TINKERPOP-1743,11,3.1.7,58,217,Yes
TINKERPOP-1743,10,3.2.4,182,493,No
TINKERPOP-1743,9,3.2.3,296,873,No
TINKERPOP-1743,8,3.2.2,337,1124,No
TINKERPOP-1743,7,3.2.1,387,1291,No
TINKERPOP-1743,6,3.1.2-incubating,488,1649,No
TINKERPOP-1743,5,3.1.1-incubating,548,1903,No
TINKERPOP-1743,4,3.1.0-incubating,632,2640,No
TINKERPOP-1743,3,3.0.2-incubating,660,2697,No
TINKERPOP-1743,2,3.0.1-incubating,707,2786,No
TINKERPOP-1743,1,3.0.0-incubating,755,3026,No
TINKERPOP-1744,12,3.2.6,0,0,No
TINKERPOP-1744,11,3.1.7,59,700,Yes
TINKERPOP-1744,10,3.2.4,183,700,No
TINKERPOP-1744,9,3.2.3,297,700,No
TINKERPOP-1744,8,3.2.2,338,700,No
TINKERPOP-1744,7,3.2.1,388,700,No
TINKERPOP-1744,6,3.1.2-incubating,489,700,No
TINKERPOP-1744,5,3.1.1-incubating,549,700,No
TINKERPOP-1744,4,3.1.0-incubating,633,700,No
TINKERPOP-1744,3,3.0.2-incubating,661,700,No
TINKERPOP-1744,2,3.0.1-incubating,708,700,No
TINKERPOP-1744,1,3.0.0-incubating,756,700,No
TINKERPOP-1860,14,3.3.2,0,0,No
TINKERPOP-1860,13,3.3.1,30,339,Yes
TINKERPOP-1860,12,3.2.6,148,2571,Yes
TINKERPOP-1860,11,3.1.7,218,3043,No
TINKERPOP-1860,10,3.2.4,342,3043,No
TINKERPOP-1860,9,3.2.3,456,3129,No
TINKERPOP-1860,8,3.2.2,497,3165,No
TINKERPOP-1860,7,3.2.1,547,3165,No
TINKERPOP-1860,6,3.1.2-incubating,648,3165,No
