Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
TINKERPOP-1196,7,3.2.1,0,0,No
TINKERPOP-1196,6,3.1.2-incubating,60,402,Yes
TINKERPOP-1196,5,3.1.1-incubating,120,618,Yes
TINKERPOP-1196,4,3.1.0-incubating,204,1355,No
TINKERPOP-1196,3,3.0.2-incubating,232,1412,No
TINKERPOP-1196,2,3.0.1-incubating,279,1501,No
TINKERPOP-1196,1,3.0.0-incubating,327,1642,No
TINKERPOP-1511,10,3.2.4,0,0,No
TINKERPOP-1511,9,3.2.3,0,201,Yes
TINKERPOP-1511,8,3.2.2,41,465,Yes
TINKERPOP-1511,7,3.2.1,91,1188,No
TINKERPOP-1511,6,3.1.2-incubating,192,1714,No
TINKERPOP-1511,5,3.1.1-incubating,252,2209,No
TINKERPOP-1511,4,3.1.0-incubating,336,2946,No
TINKERPOP-1511,3,3.0.2-incubating,364,3003,No
TINKERPOP-1511,2,3.0.1-incubating,411,3092,No
TINKERPOP-1511,1,3.0.0-incubating,459,3221,No
TINKERPOP-1060,5,3.1.1-incubating,0,0,No
TINKERPOP-1060,4,3.1.0-incubating,57,24,Yes
TINKERPOP-1060,3,3.0.2-incubating,85,53,Yes
TINKERPOP-1060,2,3.0.1-incubating,132,160,No
TINKERPOP-1060,1,3.0.0-incubating,180,1194,No
TINKERPOP-1175,6,3.1.2-incubating,0,0,No
TINKERPOP-1175,5,3.1.1-incubating,16,53,Yes
TINKERPOP-1175,4,3.1.0-incubating,100,172,No
TINKERPOP-1175,3,3.0.2-incubating,128,172,No
TINKERPOP-1175,2,3.0.1-incubating,175,172,No
TINKERPOP-1175,1,3.0.0-incubating,223,172,No
TINKERPOP-1052,5,3.1.1-incubating,0,0,No
TINKERPOP-1052,4,3.1.0-incubating,32,554,Yes
TINKERPOP-1052,3,3.0.2-incubating,60,611,Yes
TINKERPOP-1052,2,3.0.1-incubating,107,712,No
TINKERPOP-1052,1,3.0.0-incubating,155,841,No
TINKERPOP-1172,6,3.1.2-incubating,0,0,No
TINKERPOP-1172,5,3.1.1-incubating,17,253,Yes
TINKERPOP-1172,4,3.1.0-incubating,101,1182,No
TINKERPOP-1172,3,3.0.2-incubating,129,1376,No
TINKERPOP-1172,2,3.0.1-incubating,176,1588,No
TINKERPOP-1172,1,3.0.0-incubating,224,1778,No
TINKERPOP-1284,7,3.2.1,0,0,No
TINKERPOP-1284,6,3.1.2-incubating,24,107,Yes
TINKERPOP-1284,5,3.1.1-incubating,84,107,No
TINKERPOP-1284,4,3.1.0-incubating,168,281,No
TINKERPOP-1284,3,3.0.2-incubating,196,281,No
TINKERPOP-1284,2,3.0.1-incubating,243,281,No
TINKERPOP-1284,1,3.0.0-incubating,291,326,No
TINKERPOP-1281,7,3.2.1,0,0,No
TINKERPOP-1281,6,3.1.2-incubating,38,1293,Yes
TINKERPOP-1281,5,3.1.1-incubating,98,4357,No
TINKERPOP-1281,4,3.1.0-incubating,182,5148,No
TINKERPOP-1281,3,3.0.2-incubating,210,5209,No
TINKERPOP-1281,2,3.0.1-incubating,257,5298,No
TINKERPOP-1281,1,3.0.0-incubating,305,5480,No
TINKERPOP-1041,6,3.1.2-incubating,0,0,No
TINKERPOP-1041,5,3.1.1-incubating,14,147,Yes
TINKERPOP-1041,4,3.1.0-incubating,98,819,Yes
TINKERPOP-1041,3,3.0.2-incubating,126,889,Yes
TINKERPOP-1041,2,3.0.1-incubating,173,1603,No
TINKERPOP-1041,1,3.0.0-incubating,221,1685,No
TINKERPOP-977,5,3.1.1-incubating,0,0,No
TINKERPOP-977,4,3.1.0-incubating,3,37,Yes
TINKERPOP-977,3,3.0.2-incubating,31,707,Yes
TINKERPOP-977,2,3.0.1-incubating,78,857,No
TINKERPOP-977,1,3.0.0-incubating,126,916,No
TINKERPOP-1547,10,3.2.4,0,0,No
TINKERPOP-1547,9,3.2.3,24,361,Yes
TINKERPOP-1547,8,3.2.2,65,634,No
TINKERPOP-1547,7,3.2.1,115,801,No
TINKERPOP-1547,6,3.1.2-incubating,216,1552,No
TINKERPOP-1547,5,3.1.1-incubating,276,1916,No
TINKERPOP-1547,4,3.1.0-incubating,360,2653,No
TINKERPOP-1547,3,3.0.2-incubating,388,2716,No
TINKERPOP-1547,2,3.0.1-incubating,435,2805,No
TINKERPOP-1547,1,3.0.0-incubating,483,2936,No
TINKERPOP-1548,10,3.2.4,0,0,No
TINKERPOP-1548,9,3.2.3,36,185,Yes
TINKERPOP-1548,8,3.2.2,77,436,No
TINKERPOP-1548,7,3.2.1,127,603,No
TINKERPOP-1548,6,3.1.2-incubating,228,1055,No
TINKERPOP-1548,5,3.1.1-incubating,288,1244,No
TINKERPOP-1548,4,3.1.0-incubating,372,1981,No
TINKERPOP-1548,3,3.0.2-incubating,400,2038,No
TINKERPOP-1548,2,3.0.1-incubating,447,2127,No
TINKERPOP-1548,1,3.0.0-incubating,495,2256,No
TINKERPOP-1305,7,3.2.1,0,0,No
TINKERPOP-1305,6,3.1.2-incubating,42,1885,Yes
TINKERPOP-1305,5,3.1.1-incubating,102,5582,No
TINKERPOP-1305,4,3.1.0-incubating,186,6171,No
TINKERPOP-1305,3,3.0.2-incubating,214,6365,No
