Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
XERCESJ-1082,18,2.7.0,0,0,No
XERCESJ-1082,17,2.6.2,475,8133,Yes
XERCESJ-1082,16,2.6.1,489,8135,No
XERCESJ-1082,15,2.6.0,566,8183,No
XERCESJ-1082,14,2.5.0,679,15841,No
XERCESJ-1082,13,2.4.0,805,15985,No
XERCESJ-1082,12,2.3.0,864,16081,No
XERCESJ-1082,11,2.2.1,940,16315,No
XERCESJ-1082,10,2.2.0,987,16630,No
XERCESJ-1082,9,2.1.0,1016,18454,No
XERCESJ-1082,8,2.0.2,1084,18867,No
XERCESJ-1082,7,2.0.1,1193,20776,No
XERCESJ-1082,6,2.0.0,1226,21724,No
XERCESJ-1082,5,2.0.0 [beta 4],1269,22477,No
XERCESJ-1082,4,2.0.0 [beta 3],1319,23883,No
XERCESJ-1082,3,2.0.0 [beta 2],1385,26679,No
XERCESJ-1082,2,2.0.0 [beta],1399,26679,No
XERCESJ-1082,1,2.0.0 [alpha],1644,26679,No
XERCESJ-1088,19,2.7.1,0,0,No
XERCESJ-1088,18,2.7.0,28,3,Yes
XERCESJ-1088,17,2.6.2,518,312,No
XERCESJ-1088,16,2.6.1,532,312,No
XERCESJ-1088,15,2.6.0,609,312,No
XERCESJ-1088,14,2.5.0,722,312,No
XERCESJ-1088,13,2.4.0,848,509,No
XERCESJ-1088,12,2.3.0,907,509,No
XERCESJ-1088,11,2.2.1,983,777,No
XERCESJ-1088,10,2.2.0,1030,777,No
XERCESJ-1088,9,2.1.0,1059,777,No
XERCESJ-1088,8,2.0.2,1127,777,No
XERCESJ-1088,7,2.0.1,1236,777,No
XERCESJ-1088,6,2.0.0,1269,777,No
XERCESJ-1088,5,2.0.0 [beta 4],1312,777,No
XERCESJ-1088,4,2.0.0 [beta 3],1362,777,No
XERCESJ-1088,3,2.0.0 [beta 2],1428,777,No
XERCESJ-1088,2,2.0.0 [beta],1442,777,No
XERCESJ-1088,1,2.0.0 [alpha],1687,777,No
XERCESJ-1089,19,2.7.1,0,0,No
XERCESJ-1089,18,2.7.0,31,18,Yes
XERCESJ-1089,17,2.6.2,521,1479,No
XERCESJ-1089,16,2.6.1,535,1550,No
XERCESJ-1089,15,2.6.0,612,1882,No
XERCESJ-1089,14,2.5.0,725,2529,No
XERCESJ-1089,13,2.4.0,851,5053,No
XERCESJ-1089,12,2.3.0,910,5053,No
XERCESJ-1089,11,2.2.1,986,5053,No
XERCESJ-1089,10,2.2.0,1033,5053,No
XERCESJ-1089,9,2.1.0,1062,5053,No
XERCESJ-1089,8,2.0.2,1130,5053,No
XERCESJ-1089,7,2.0.1,1239,5053,No
XERCESJ-1089,6,2.0.0,1272,5053,No
XERCESJ-1089,5,2.0.0 [beta 4],1315,5053,No
XERCESJ-1089,4,2.0.0 [beta 3],1365,5053,No
XERCESJ-1089,3,2.0.0 [beta 2],1431,5053,No
XERCESJ-1089,2,2.0.0 [beta],1445,5053,No
XERCESJ-1089,1,2.0.0 [alpha],1690,5053,No
XERCESJ-1090,19,2.7.1,0,0,No
XERCESJ-1090,18,2.7.0,30,27,Yes
XERCESJ-1090,17,2.6.2,520,8199,No
XERCESJ-1090,16,2.6.1,534,8201,No
XERCESJ-1090,15,2.6.0,611,8249,No
XERCESJ-1090,14,2.5.0,724,15907,No
XERCESJ-1090,13,2.4.0,850,16051,No
XERCESJ-1090,12,2.3.0,909,16147,No
XERCESJ-1090,11,2.2.1,985,16381,No
XERCESJ-1090,10,2.2.0,1032,16696,No
XERCESJ-1090,9,2.1.0,1061,18520,No
XERCESJ-1090,8,2.0.2,1129,18933,No
XERCESJ-1090,7,2.0.1,1238,20842,No
XERCESJ-1090,6,2.0.0,1271,21790,No
XERCESJ-1090,5,2.0.0 [beta 4],1314,22543,No
XERCESJ-1090,4,2.0.0 [beta 3],1364,23949,No
XERCESJ-1090,3,2.0.0 [beta 2],1430,26745,No
XERCESJ-1090,2,2.0.0 [beta],1444,26745,No
XERCESJ-1090,1,2.0.0 [alpha],1689,26745,No
XERCESJ-1094,20,2.8.0,0,0,No
XERCESJ-1094,19,2.7.1,14,4,Yes
XERCESJ-1094,18,2.7.0,46,4,No
XERCESJ-1094,17,2.6.2,536,126,No
XERCESJ-1094,16,2.6.1,550,130,No
XERCESJ-1094,15,2.6.0,627,162,No
XERCESJ-1094,14,2.5.0,740,333,No
XERCESJ-1094,13,2.4.0,866,401,No
XERCESJ-1094,12,2.3.0,925,401,No
XERCESJ-1094,11,2.2.1,1001,442,No
XERCESJ-1094,10,2.2.0,1048,442,No
XERCESJ-1094,9,2.1.0,1077,442,No
XERCESJ-1094,8,2.0.2,1145,1123,No
XERCESJ-1094,7,2.0.1,1254,1123,No
XERCESJ-1094,6,2.0.0,1287,1123,No
XERCESJ-1094,5,2.0.0 [beta 4],1330,1123,No
XERCESJ-1094,4,2.0.0 [beta 3],1380,1123,No
XERCESJ-1094,3,2.0.0 [beta 2],1446,1123,No
XERCESJ-1094,2,2.0.0 [beta],1460,1123,No
XERCESJ-1094,1,2.0.0 [alpha],1705,1123,No
XERCESJ-1097,20,2.8.0,0,0,No
XERCESJ-1097,19,2.7.1,43,41,Yes
XERCESJ-1097,18,2.7.0,75,41,Yes
XERCESJ-1097,17,2.6.2,565,5391,No
XERCESJ-1097,16,2.6.1,579,5391,No
XERCESJ-1097,15,2.6.0,656,5391,No
XERCESJ-1097,14,2.5.0,769,5391,No
XERCESJ-1097,13,2.4.0,895,5391,No
XERCESJ-1097,12,2.3.0,954,5391,No
XERCESJ-1097,11,2.2.1,1030,5391,No
XERCESJ-1097,10,2.2.0,1077,5391,No
XERCESJ-1097,9,2.1.0,1106,5391,No
XERCESJ-1097,8,2.0.2,1174,5391,No
XERCESJ-1097,7,2.0.1,1283,5391,No
XERCESJ-1097,6,2.0.0,1316,5391,No
XERCESJ-1097,5,2.0.0 [beta 4],1359,5391,No
XERCESJ-1097,4,2.0.0 [beta 3],1409,5391,No
XERCESJ-1097,3,2.0.0 [beta 2],1475,5391,No
XERCESJ-1097,2,2.0.0 [beta],1489,5391,No
XERCESJ-1097,1,2.0.0 [alpha],1734,5391,No
XERCESJ-916,18,2.7.0,0,0,No
XERCESJ-916,17,2.6.2,479,1253,Yes
XERCESJ-916,16,2.6.1,493,1486,No
XERCESJ-916,15,2.6.0,570,2510,No
XERCESJ-916,14,2.5.0,683,3869,No
XERCESJ-916,13,2.4.0,809,4811,No
XERCESJ-916,12,2.3.0,868,4811,No
XERCESJ-916,11,2.2.1,944,4811,No
XERCESJ-916,10,2.2.0,991,4811,No
XERCESJ-916,9,2.1.0,1020,4811,No
XERCESJ-916,8,2.0.2,1088,4811,No
XERCESJ-916,7,2.0.1,1197,4811,No
XERCESJ-916,6,2.0.0,1230,4811,No
XERCESJ-916,5,2.0.0 [beta 4],1273,4811,No
XERCESJ-916,4,2.0.0 [beta 3],1323,4811,No
XERCESJ-916,3,2.0.0 [beta 2],1389,4811,No
XERCESJ-916,2,2.0.0 [beta],1403,4811,No
XERCESJ-916,1,2.0.0 [alpha],1648,4811,No
XERCESJ-815,18,2.7.0,0,0,No
XERCESJ-815,17,2.6.2,424,763,Yes
XERCESJ-815,16,2.6.1,438,763,Yes
XERCESJ-815,15,2.6.0,515,835,Yes
XERCESJ-815,14,2.5.0,628,936,Yes
XERCESJ-815,13,2.4.0,754,937,No
XERCESJ-815,12,2.3.0,813,993,No
XERCESJ-815,11,2.2.1,889,2934,No
XERCESJ-815,10,2.2.0,936,3092,No
XERCESJ-815,9,2.1.0,965,3706,No
XERCESJ-815,8,2.0.2,1033,3778,No
XERCESJ-815,7,2.0.1,1142,3949,No
XERCESJ-815,6,2.0.0,1175,3964,No
XERCESJ-815,5,2.0.0 [beta 4],1218,4459,No
XERCESJ-815,4,2.0.0 [beta 3],1268,4787,No
XERCESJ-815,3,2.0.0 [beta 2],1334,5187,No
XERCESJ-815,2,2.0.0 [beta],1348,8375,No
XERCESJ-815,1,2.0.0 [alpha],1593,8375,No
XERCESJ-1147,21,2.8.1,0,0,No
XERCESJ-1147,20,2.8.0,195,6,Yes
XERCESJ-1147,19,2.7.1,413,29,No
XERCESJ-1147,18,2.7.0,445,29,No
XERCESJ-1147,17,2.6.2,935,125,No
XERCESJ-1147,16,2.6.1,949,136,No
XERCESJ-1147,15,2.6.0,1026,136,No
XERCESJ-1147,14,2.5.0,1139,136,No
XERCESJ-1147,13,2.4.0,1265,141,No
XERCESJ-1147,12,2.3.0,1324,141,No
XERCESJ-1147,11,2.2.1,1400,151,No
XERCESJ-1147,10,2.2.0,1447,151,No
XERCESJ-1147,9,2.1.0,1476,151,No
XERCESJ-1147,8,2.0.2,1544,175,No
XERCESJ-1147,7,2.0.1,1653,208,No
XERCESJ-1147,6,2.0.0,1686,208,No
XERCESJ-1147,5,2.0.0 [beta 4],1729,239,No
XERCESJ-1147,4,2.0.0 [beta 3],1779,301,No
XERCESJ-1147,3,2.0.0 [beta 2],1845,466,No
XERCESJ-1147,2,2.0.0 [beta],1859,466,No
XERCESJ-1147,1,2.0.0 [alpha],2104,1393,No
XERCESJ-1149,21,2.8.1,0,0,No
XERCESJ-1149,20,2.8.0,24,308,Yes
XERCESJ-1149,19,2.7.1,242,576,No
XERCESJ-1149,18,2.7.0,274,580,No
XERCESJ-1149,17,2.6.2,764,8856,No
XERCESJ-1149,16,2.6.1,778,8856,No
XERCESJ-1149,15,2.6.0,855,8905,No
XERCESJ-1149,14,2.5.0,968,9253,No
XERCESJ-1149,13,2.4.0,1094,10346,No
XERCESJ-1149,12,2.3.0,1153,10440,No
XERCESJ-1149,11,2.2.1,1229,10924,No
XERCESJ-1149,10,2.2.0,1276,11121,No
XERCESJ-1149,9,2.1.0,1305,11126,No
XERCESJ-1149,8,2.0.2,1373,11327,No
XERCESJ-1149,7,2.0.1,1482,13424,No
XERCESJ-1149,6,2.0.0,1515,13454,No
XERCESJ-1149,5,2.0.0 [beta 4],1558,13505,No
XERCESJ-1149,4,2.0.0 [beta 3],1608,13732,No
XERCESJ-1149,3,2.0.0 [beta 2],1674,15406,No
XERCESJ-1149,2,2.0.0 [beta],1688,15406,No
XERCESJ-1149,1,2.0.0 [alpha],1933,15406,No
XERCESJ-1141,20,2.8.0,0,0,No
XERCESJ-1141,19,2.7.1,214,1533,Yes
XERCESJ-1141,18,2.7.0,246,1533,No
XERCESJ-1141,17,2.6.2,736,1533,No
XERCESJ-1141,16,2.6.1,750,1533,No
XERCESJ-1141,15,2.6.0,827,1533,No
XERCESJ-1141,14,2.5.0,940,1533,No
XERCESJ-1141,13,2.4.0,1066,1533,No
XERCESJ-1141,12,2.3.0,1125,1533,No
XERCESJ-1141,11,2.2.1,1201,1533,No
XERCESJ-1141,10,2.2.0,1248,1533,No
XERCESJ-1141,9,2.1.0,1277,1533,No
XERCESJ-1141,8,2.0.2,1345,1533,No
XERCESJ-1141,7,2.0.1,1454,1533,No
XERCESJ-1141,6,2.0.0,1487,1533,No
XERCESJ-1141,5,2.0.0 [beta 4],1530,1533,No
XERCESJ-1141,4,2.0.0 [beta 3],1580,1533,No
XERCESJ-1141,3,2.0.0 [beta 2],1646,1533,No
XERCESJ-1141,2,2.0.0 [beta],1660,1533,No
XERCESJ-1141,1,2.0.0 [alpha],1905,1533,No
XERCESJ-1021,21,2.8.1,0,0,No
XERCESJ-1021,20,2.8.0,121,12,Yes
XERCESJ-1021,19,2.7.1,339,14,Yes
XERCESJ-1021,18,2.7.0,371,14,Yes
XERCESJ-1021,17,2.6.2,861,87,Yes
XERCESJ-1021,16,2.6.1,875,110,No
XERCESJ-1021,15,2.6.0,952,110,No
XERCESJ-1021,14,2.5.0,1065,123,No
XERCESJ-1021,13,2.4.0,1191,145,No
XERCESJ-1021,12,2.3.0,1250,153,No
XERCESJ-1021,11,2.2.1,1326,153,No
XERCESJ-1021,10,2.2.0,1373,157,No
XERCESJ-1021,9,2.1.0,1402,165,No
XERCESJ-1021,8,2.0.2,1470,175,No
XERCESJ-1021,7,2.0.1,1579,200,No
XERCESJ-1021,6,2.0.0,1612,200,No
XERCESJ-1021,5,2.0.0 [beta 4],1655,200,No
XERCESJ-1021,4,2.0.0 [beta 3],1705,200,No
XERCESJ-1021,3,2.0.0 [beta 2],1771,200,No
XERCESJ-1021,2,2.0.0 [beta],1785,200,No
XERCESJ-1021,1,2.0.0 [alpha],2030,200,No
XERCESJ-1159,21,2.8.1,0,0,No
XERCESJ-1159,20,2.8.0,53,335,Yes
XERCESJ-1159,19,2.7.1,271,430,Yes
XERCESJ-1159,18,2.7.0,303,434,Yes
XERCESJ-1159,17,2.6.2,793,7595,Yes
XERCESJ-1159,16,2.6.1,807,7595,No
XERCESJ-1159,15,2.6.0,884,7644,No
XERCESJ-1159,14,2.5.0,997,7792,No
XERCESJ-1159,13,2.4.0,1123,8704,No
XERCESJ-1159,12,2.3.0,1182,8786,No
XERCESJ-1159,11,2.2.1,1258,9074,No
XERCESJ-1159,10,2.2.0,1305,9271,No
XERCESJ-1159,9,2.1.0,1334,9276,No
XERCESJ-1159,8,2.0.2,1402,9387,No
XERCESJ-1159,7,2.0.1,1511,9943,No
XERCESJ-1159,6,2.0.0,1544,9973,No
XERCESJ-1159,5,2.0.0 [beta 4],1587,10000,No
XERCESJ-1159,4,2.0.0 [beta 3],1637,10000,No
XERCESJ-1159,3,2.0.0 [beta 2],1703,10000,No
XERCESJ-1159,2,2.0.0 [beta],1717,10000,No
XERCESJ-1159,1,2.0.0 [alpha],1962,10000,No
XERCESJ-1126,21,2.8.1,0,0,No
XERCESJ-1126,20,2.8.0,111,18,Yes
XERCESJ-1126,19,2.7.1,329,39,Yes
XERCESJ-1126,18,2.7.0,361,39,No
XERCESJ-1126,17,2.6.2,851,137,No
XERCESJ-1126,16,2.6.1,865,137,No
