Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
XERCESJ-91,18,2.7.0,0,0,No
XERCESJ-91,17,2.6.2,479,1253,Yes
XERCESJ-91,16,2.6.1,493,1486,Yes
XERCESJ-91,15,2.6.0,570,2510,Yes
XERCESJ-91,14,2.5.0,683,3869,Yes
XERCESJ-91,13,2.4.0,809,4811,Yes
XERCESJ-91,12,2.3.0,868,4811,Yes
XERCESJ-91,11,2.2.1,944,4811,Yes
XERCESJ-91,10,2.2.0,991,4811,Yes
XERCESJ-91,9,2.1.0,1020,4811,Yes
XERCESJ-91,8,2.0.2,1088,4811,Yes
XERCESJ-91,7,2.0.1,1197,4811,Yes
XERCESJ-91,6,2.0.0,1230,4811,Yes
XERCESJ-91,5,2.0.0 [beta 4],1273,4811,Yes
XERCESJ-91,4,2.0.0 [beta 3],1323,4811,Yes
XERCESJ-91,3,2.0.0 [beta 2],1389,4811,No
XERCESJ-91,2,2.0.0 [beta],1403,4811,No
XERCESJ-91,1,2.0.0 [alpha],1648,4811,No
XERCESJ-52,18,2.7.0,0,0,No
XERCESJ-52,17,2.6.2,98,477,Yes
XERCESJ-52,16,2.6.1,112,477,Yes
XERCESJ-52,15,2.6.0,189,477,Yes
XERCESJ-52,14,2.5.0,302,477,Yes
XERCESJ-52,13,2.4.0,428,521,Yes
XERCESJ-52,12,2.3.0,487,521,Yes
XERCESJ-52,11,2.2.1,563,521,Yes
XERCESJ-52,10,2.2.0,610,521,Yes
XERCESJ-52,9,2.1.0,639,521,Yes
XERCESJ-52,8,2.0.2,707,521,Yes
XERCESJ-52,7,2.0.1,816,521,Yes
XERCESJ-52,6,2.0.0,849,521,Yes
XERCESJ-52,5,2.0.0 [beta 4],892,533,Yes
XERCESJ-52,4,2.0.0 [beta 3],942,533,Yes
XERCESJ-52,3,2.0.0 [beta 2],1008,533,Yes
XERCESJ-52,2,2.0.0 [beta],1022,533,Yes
XERCESJ-52,1,2.0.0 [alpha],1267,559,No
XERCESJ-919,18,2.7.0,0,0,No
XERCESJ-919,17,2.6.2,188,1328,Yes
XERCESJ-919,16,2.6.1,202,1328,No
XERCESJ-919,15,2.6.0,279,1386,No
XERCESJ-919,14,2.5.0,392,1386,No
XERCESJ-919,13,2.4.0,518,1429,No
XERCESJ-919,12,2.3.0,577,1466,No
XERCESJ-919,11,2.2.1,653,1609,No
XERCESJ-919,10,2.2.0,700,1609,No
XERCESJ-919,9,2.1.0,729,1609,No
XERCESJ-919,8,2.0.2,797,1641,No
XERCESJ-919,7,2.0.1,906,2203,No
XERCESJ-919,6,2.0.0,939,2203,No
XERCESJ-919,5,2.0.0 [beta 4],982,2273,No
XERCESJ-919,4,2.0.0 [beta 3],1032,2273,No
XERCESJ-919,3,2.0.0 [beta 2],1098,2273,No
XERCESJ-919,2,2.0.0 [beta],1112,2273,No
XERCESJ-919,1,2.0.0 [alpha],1357,2273,No
XERCESJ-923,18,2.7.0,0,0,No
XERCESJ-923,17,2.6.2,55,90,Yes
