Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
QPIDJMS-179,1,0.1.0,431,293,No
QPIDJMS-179,2,0.2.0,373,293,No
QPIDJMS-179,3,0.3.0,344,293,No
QPIDJMS-179,4,0.4.0,278,293,No
QPIDJMS-179,5,0.5.0,266,293,No
QPIDJMS-179,6,0.6.0,224,281,No
QPIDJMS-179,7,0.7.0,154,4,No
QPIDJMS-179,8,0.8.0,94,4,Yes
QPIDJMS-179,9,0.9.0,42,0,Yes
QPIDJMS-335,1,0.1.0,932,396,No
QPIDJMS-335,2,0.2.0,874,396,No
QPIDJMS-335,3,0.3.0,845,396,No
QPIDJMS-335,4,0.4.0,779,396,No
QPIDJMS-335,5,0.5.0,767,396,No
QPIDJMS-335,6,0.6.0,725,396,No
QPIDJMS-335,7,0.7.0,655,396,No
QPIDJMS-335,8,0.8.0,595,396,No
QPIDJMS-335,9,0.9.0,543,42,No
QPIDJMS-335,10,0.10.0,463,42,No
QPIDJMS-335,11,0.11.0,393,42,No
QPIDJMS-335,12,0.11.1,368,42,No
QPIDJMS-335,13,0.20.0,260,42,No
QPIDJMS-335,14,0.21.0,206,42,No
QPIDJMS-335,15,0.22.0,169,42,No
QPIDJMS-335,16,0.23.0,144,42,No
QPIDJMS-335,17,0.24.0,59,0,No
QPIDJMS-335,18,0.25.0,15,0,No
QPIDJMS-335,19,0.26.0,0,0,Yes
QPIDJMS-336,1,0.1.0,935,173,No
QPIDJMS-336,2,0.2.0,877,173,No
QPIDJMS-336,3,0.3.0,848,145,No
QPIDJMS-336,4,0.4.0,782,117,No
QPIDJMS-336,5,0.5.0,770,117,No
QPIDJMS-336,6,0.6.0,728,117,No
QPIDJMS-336,7,0.7.0,658,117,No
QPIDJMS-336,8,0.8.0,598,117,No
QPIDJMS-336,9,0.9.0,546,114,No
QPIDJMS-336,10,0.10.0,466,114,No
QPIDJMS-336,11,0.11.0,396,90,No
QPIDJMS-336,12,0.11.1,371,90,No
QPIDJMS-336,13,0.20.0,263,77,No
QPIDJMS-336,14,0.21.0,209,32,No
QPIDJMS-336,15,0.22.0,172,32,No
QPIDJMS-336,16,0.23.0,147,32,No
QPIDJMS-336,17,0.24.0,62,32,No
QPIDJMS-336,18,0.25.0,18,32,No
QPIDJMS-336,19,0.26.0,3,32,Yes
QPIDJMS-330,1,0.1.0,925,3128,No
QPIDJMS-330,2,0.2.0,867,2892,No
QPIDJMS-330,3,0.3.0,838,2802,No
QPIDJMS-330,4,0.4.0,772,2259,No
QPIDJMS-330,5,0.5.0,760,2140,No
QPIDJMS-330,6,0.6.0,718,1590,No
QPIDJMS-330,7,0.7.0,648,1169,No
QPIDJMS-330,8,0.8.0,588,1166,No
QPIDJMS-330,9,0.9.0,536,857,No
QPIDJMS-330,10,0.10.0,456,826,No
QPIDJMS-330,11,0.11.0,386,773,No
QPIDJMS-330,12,0.11.1,361,773,No
QPIDJMS-330,13,0.20.0,253,409,No
QPIDJMS-330,14,0.21.0,199,376,No
QPIDJMS-330,15,0.22.0,162,316,No
QPIDJMS-330,16,0.23.0,137,311,No
QPIDJMS-330,17,0.24.0,52,48,No
QPIDJMS-330,18,0.25.0,8,33,Yes
QPIDJMS-451,1,0.1.0,1476,2304,No
QPIDJMS-451,2,0.2.0,1418,2251,No
QPIDJMS-451,3,0.3.0,1389,2207,No
QPIDJMS-451,4,0.4.0,1323,2009,No
QPIDJMS-451,5,0.5.0,1311,1901,No
QPIDJMS-451,6,0.6.0,1269,1762,No
QPIDJMS-451,7,0.7.0,1199,1104,No
QPIDJMS-451,8,0.8.0,1139,1104,No
QPIDJMS-451,9,0.9.0,1087,941,No
QPIDJMS-451,10,0.10.0,1007,571,No
QPIDJMS-451,11,0.11.0,937,530,No
QPIDJMS-451,12,0.11.1,912,293,No
QPIDJMS-451,13,0.20.0,804,152,No
QPIDJMS-451,14,0.21.0,750,152,No
QPIDJMS-451,15,0.22.0,713,120,No
QPIDJMS-451,16,0.23.0,688,120,No
QPIDJMS-451,17,0.24.0,603,120,No
QPIDJMS-451,18,0.25.0,559,120,No
QPIDJMS-451,19,0.26.0,544,120,No
QPIDJMS-451,20,0.27.0,514,120,No
QPIDJMS-451,21,0.28.0,475,120,No
QPIDJMS-451,22,0.29.0,436,65,No
QPIDJMS-451,23,0.30.0,398,65,No
QPIDJMS-451,24,0.31.0,373,65,No
QPIDJMS-451,25,0.32.0,335,65,No
QPIDJMS-451,26,0.33.0,293,57,No
QPIDJMS-451,27,0.34.0,279,57,No
QPIDJMS-451,28,0.35.0,254,57,No
QPIDJMS-451,29,0.36.0,226,57,No
QPIDJMS-451,30,0.37.0,183,57,Yes
QPIDJMS-451,31,0.38.0,138,57,Yes
QPIDJMS-451,32,0.39.0,121,57,Yes
QPIDJMS-451,33,0.40.0,104,57,Yes
QPIDJMS-331,1,0.1.0,925,3128,No
QPIDJMS-331,2,0.2.0,867,2892,No
QPIDJMS-331,3,0.3.0,838,2802,No
QPIDJMS-331,4,0.4.0,772,2259,No
QPIDJMS-331,5,0.5.0,760,2140,No
QPIDJMS-331,6,0.6.0,718,1590,No
QPIDJMS-331,7,0.7.0,648,1169,No
QPIDJMS-331,8,0.8.0,588,1166,No
QPIDJMS-331,9,0.9.0,536,857,No
QPIDJMS-331,10,0.10.0,456,826,No
QPIDJMS-331,11,0.11.0,386,773,No
QPIDJMS-331,12,0.11.1,361,773,No
QPIDJMS-331,13,0.20.0,253,409,No
QPIDJMS-331,14,0.21.0,199,376,No
QPIDJMS-331,15,0.22.0,162,316,No
QPIDJMS-331,16,0.23.0,137,311,No
QPIDJMS-331,17,0.24.0,52,48,No
QPIDJMS-331,18,0.25.0,8,33,Yes
QPIDJMS-178,1,0.1.0,428,1872,No
QPIDJMS-178,2,0.2.0,370,1797,No
QPIDJMS-178,3,0.3.0,341,1481,No
QPIDJMS-178,4,0.4.0,275,1443,No
QPIDJMS-178,5,0.5.0,263,1248,No
QPIDJMS-178,6,0.6.0,221,501,No
QPIDJMS-178,7,0.7.0,151,438,No
QPIDJMS-178,8,0.8.0,91,438,No
QPIDJMS-178,9,0.9.0,39,398,Yes
QPIDJMS-292,1,0.1.0,784,11646,No
QPIDJMS-292,2,0.2.0,726,11343,No
QPIDJMS-292,3,0.3.0,697,11110,No
QPIDJMS-292,4,0.4.0,631,10457,No
