Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
SYNCOPE-1440,1,1.0.0-incubating,2390,1594,No
SYNCOPE-1440,2,1.0.1-incubating,2367,1594,No
SYNCOPE-1440,3,1.0.3-incubating,2335,1594,No
SYNCOPE-1440,4,1.0.2-incubating,2333,1594,No
SYNCOPE-1440,5,1.0.4,2264,1594,No
SYNCOPE-1440,6,1.0.5,2220,1594,No
SYNCOPE-1440,7,1.0.6,2185,1594,No
SYNCOPE-1440,8,1.0.7,2158,1594,No
SYNCOPE-1440,9,1.1.0,2148,1594,No
SYNCOPE-1440,10,1.0.8,2135,1594,No
SYNCOPE-1440,11,1.1.1,2124,1594,No
SYNCOPE-1440,12,1.1.2,2081,1594,No
SYNCOPE-1440,13,1.1.3,2050,1594,No
SYNCOPE-1440,14,1.1.4,1973,1594,No
SYNCOPE-1440,15,1.1.5,1911,1594,No
SYNCOPE-1440,16,1.1.6,1825,1594,No
SYNCOPE-1440,17,1.1.7,1777,1594,No
SYNCOPE-1440,18,1.1.8,1694,1594,No
SYNCOPE-1440,19,1.2.0-M1,1627,1594,No
SYNCOPE-1440,20,1.2.0,1602,1594,No
SYNCOPE-1440,21,1.2.1,1557,1594,No
SYNCOPE-1440,22,1.2.2,1483,1594,No
SYNCOPE-1440,23,1.2.3,1434,1594,No
SYNCOPE-1440,24,1.2.4,1388,1594,No
SYNCOPE-1440,25,1.2.5,1304,1594,No
SYNCOPE-1440,26,1.2.6,1204,1594,No
SYNCOPE-1440,27,2.0.0-M1,1156,1594,No
SYNCOPE-1440,28,1.2.7,1133,1594,No
SYNCOPE-1440,29,2.0.0-M2,1067,1594,No
SYNCOPE-1440,30,2.0.0-M3,993,1594,No
SYNCOPE-1440,31,2.0.0-M4,972,1594,No
SYNCOPE-1440,32,2.0.0.M5,902,1594,No
SYNCOPE-1440,33,2.0.0,895,1594,No
SYNCOPE-1440,34,1.2.9,867,1594,No
SYNCOPE-1440,35,2.0.1,853,1594,No
SYNCOPE-1440,36,1.2.10,758,1594,No
SYNCOPE-1440,37,2.0.2,755,1594,No
SYNCOPE-1440,38,2.0.3,677,1594,No
SYNCOPE-1440,39,2.0.4,598,653,No
SYNCOPE-1440,40,2.0.5,533,543,No
SYNCOPE-1440,41,2.0.6,500,535,No
SYNCOPE-1440,42,2.0.7,426,528,No
SYNCOPE-1440,43,2.0.8,345,528,No
SYNCOPE-1440,44,2.0.9,238,516,No
SYNCOPE-1440,45,2.1.0,231,516,No
SYNCOPE-1440,46,2.1.1,188,516,No
SYNCOPE-1440,47,2.1.2,111,512,No
SYNCOPE-1440,48,2.1.3,35,250,Yes
