Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
WICKET-4574,1,1.2.2,2098,10,No
WICKET-4574,2,1.2.3,2033,10,No
WICKET-4574,3,1.2.4,1979,10,No
WICKET-4574,4,1.2.5,1932,10,No
WICKET-4574,5,1.2.6,1860,10,No
WICKET-4574,6,1.3.0-beta1,1850,10,No
WICKET-4574,7,1.3.0-beta2,1796,10,No
WICKET-4574,8,1.3.0-beta3,1732,10,No
WICKET-4574,9,1.3.0-beta4,1689,10,No
WICKET-4574,10,1.3.0-rc1,1657,10,No
WICKET-4574,11,1.3.0-rc2,1625,10,No
WICKET-4574,12,1.3.0-final,1605,10,No
WICKET-4574,13,1.3.1,1571,10,No
WICKET-4574,14,1.3.2,1534,10,No
WICKET-4574,15,1.2.7,1524,10,No
WICKET-4574,16,1.3.3,1510,10,No
WICKET-4574,17,1.4-M1,1484,10,No
WICKET-4574,18,1.4-M2,1453,10,No
WICKET-4574,19,1.3.4,1429,10,No
WICKET-4574,20,1.4-M3,1411,10,No
WICKET-4574,21,1.3.5,1315,10,No
WICKET-4574,22,1.4-RC1,1289,10,No
WICKET-4574,23,1.4-RC2,1204,10,No
WICKET-4574,24,1.3.6,1118,10,No
WICKET-4574,25,1.4-RC4,1110,10,No
WICKET-4574,26,1.4-RC5,1083,10,No
WICKET-4574,27,1.4-RC6,1061,10,No
WICKET-4574,28,1.4-RC7,1050,10,No
WICKET-4574,29,1.4.0,1044,10,No
WICKET-4574,30,1.4.1,1014,10,No
WICKET-4574,31,1.4.2,971,10,No
WICKET-4574,32,1.4.3,950,10,No
WICKET-4574,33,1.4.4,900,10,No
WICKET-4574,34,1.4.5,891,10,No
WICKET-4574,35,1.4.6,850,10,No
WICKET-4574,36,1.4.7,814,10,No
WICKET-4574,37,1.4.8,762,10,No
WICKET-4574,38,1.4.9,734,10,No
WICKET-4574,39,1.4.10,658,10,No
WICKET-4574,40,1.5-M1,657,10,No
WICKET-4574,41,1.4.11,629,10,No
WICKET-4574,42,1.5-M2.1,621,10,No
WICKET-4574,43,1.4.13,570,10,No
WICKET-4574,44,1.5-M3,568,10,No
WICKET-4574,45,1.4.14,545,10,No
WICKET-4574,46,1.4.15,519,10,No
WICKET-4574,47,1.5-RC1,490,10,No
WICKET-4574,48,1.5-RC2,459,10,No
WICKET-4574,49,1.5-RC3,424,10,No
WICKET-4574,50,1.5-RC4,384,10,No
WICKET-4574,51,1.5-RC5,344,0,No
WICKET-4574,52,1.5-RC5.1,340,0,No
WICKET-4574,53,1.4.18,291,0,No
WICKET-4574,54,1.5-RC6,276,0,No
WICKET-4574,55,1.5-RC7,275,0,No
WICKET-4574,56,1.5.0,261,0,No
WICKET-4574,57,1.5.1,248,0,No
WICKET-4574,58,1.4.19,227,0,No
WICKET-4574,59,1.5.2,226,0,No
WICKET-4574,60,1.5.3,198,0,No
WICKET-4574,61,1.5.4,136,0,No
WICKET-4574,62,1.5.5,77,0,No
WICKET-4574,63,6.0.0-beta1,60,0,Yes
WICKET-4574,64,1.5.6,28,0,Yes
WICKET-5422,1,1.2.2,2643,672,No
WICKET-5422,2,1.2.3,2578,672,No
WICKET-5422,3,1.2.4,2524,672,No
WICKET-5422,4,1.2.5,2477,672,No
WICKET-5422,5,1.2.6,2405,672,No
WICKET-5422,6,1.3.0-beta1,2395,672,No
WICKET-5422,7,1.3.0-beta2,2341,672,No
WICKET-5422,8,1.3.0-beta3,2277,672,No
WICKET-5422,9,1.3.0-beta4,2234,672,No
WICKET-5422,10,1.3.0-rc1,2202,672,No
WICKET-5422,11,1.3.0-rc2,2170,672,No
WICKET-5422,12,1.3.0-final,2150,672,No
WICKET-5422,13,1.3.1,2116,672,No
WICKET-5422,14,1.3.2,2079,672,No
WICKET-5422,15,1.2.7,2069,672,No
WICKET-5422,16,1.3.3,2055,672,No
WICKET-5422,17,1.4-M1,2029,672,No
WICKET-5422,18,1.4-M2,1998,672,No
WICKET-5422,19,1.3.4,1974,672,No
WICKET-5422,20,1.4-M3,1956,672,No
WICKET-5422,21,1.3.5,1860,672,No
WICKET-5422,22,1.4-RC1,1834,672,No
WICKET-5422,23,1.4-RC2,1749,672,No
WICKET-5422,24,1.3.6,1663,672,No
WICKET-5422,25,1.4-RC4,1655,672,No
WICKET-5422,26,1.4-RC5,1628,672,No
WICKET-5422,27,1.4-RC6,1606,672,No
WICKET-5422,28,1.4-RC7,1595,672,No
WICKET-5422,29,1.4.0,1589,672,No
WICKET-5422,30,1.4.1,1559,672,No
WICKET-5422,31,1.4.2,1516,672,No
WICKET-5422,32,1.4.3,1495,672,No
WICKET-5422,33,1.4.4,1445,672,No
WICKET-5422,34,1.4.5,1436,672,No
WICKET-5422,35,1.4.6,1395,672,No
WICKET-5422,36,1.4.7,1359,672,No
WICKET-5422,37,1.4.8,1307,672,No
WICKET-5422,38,1.4.9,1279,672,No
WICKET-5422,39,1.4.10,1203,672,No
WICKET-5422,40,1.5-M1,1202,672,No
WICKET-5422,41,1.4.11,1174,672,No
WICKET-5422,42,1.5-M2.1,1166,672,No
WICKET-5422,43,1.4.13,1115,672,No
WICKET-5422,44,1.5-M3,1113,672,No
WICKET-5422,45,1.4.14,1090,672,No
WICKET-5422,46,1.4.15,1064,672,No
WICKET-5422,47,1.5-RC1,1035,672,No
WICKET-5422,48,1.5-RC2,1004,672,No
WICKET-5422,49,1.5-RC3,969,672,No
WICKET-5422,50,1.5-RC4,929,672,No
WICKET-5422,51,1.5-RC5,889,672,No
WICKET-5422,52,1.5-RC5.1,885,672,No
WICKET-5422,53,1.4.18,836,672,No
WICKET-5422,54,1.5-RC6,821,672,No
WICKET-5422,55,1.5-RC7,820,672,No
WICKET-5422,56,1.5.0,806,672,No
WICKET-5422,57,1.5.1,793,672,No
WICKET-5422,58,1.4.19,772,672,No
WICKET-5422,59,1.5.2,771,672,No
WICKET-5422,60,1.5.3,743,672,No
WICKET-5422,61,1.5.4,681,672,No
WICKET-5422,62,1.5.5,622,672,No
WICKET-5422,63,6.0.0-beta1,605,672,No
WICKET-5422,64,1.5.6,573,672,No
WICKET-5422,65,6.0.0-beta2,541,672,No
WICKET-5422,66,6.0.0-beta3,493,415,No
WICKET-5422,67,1.5.8,458,415,No
WICKET-5422,68,6.0.0,451,415,No
WICKET-5422,69,1.4.21,448,415,No
WICKET-5422,70,6.1.0,421,415,No
WICKET-5422,71,6.1.1,412,415,No
WICKET-5422,72,6.2.0,398,415,No
WICKET-5422,73,1.5.9,380,415,No
WICKET-5422,74,6.3.0,370,415,No
WICKET-5422,75,6.4.0,342,389,No
WICKET-5422,76,6.5.0,307,380,No
WICKET-5422,77,6.6.0,279,380,No
WICKET-5422,78,1.5.10,274,380,No
WICKET-5422,79,1.4.22,272,341,No
WICKET-5422,80,6.7.0,221,211,No
WICKET-5422,81,6.8.0,188,211,No
WICKET-5422,82,6.9.0,146,189,No
WICKET-5422,83,6.9.1,134,189,No
WICKET-5422,84,6.10.0,94,179,No
WICKET-5422,85,6.11.0,56,132,No
WICKET-5422,86,6.12.0,17,132,Yes
WICKET-2394,1,1.2.2,1061,2433,No
WICKET-2394,2,1.2.3,996,2433,No
WICKET-2394,3,1.2.4,942,2433,No
WICKET-2394,4,1.2.5,895,2433,No
WICKET-2394,5,1.2.6,823,2433,No
WICKET-2394,6,1.3.0-beta1,813,2433,No
WICKET-2394,7,1.3.0-beta2,759,2433,No
WICKET-2394,8,1.3.0-beta3,695,2433,No
WICKET-2394,9,1.3.0-beta4,652,2433,No
WICKET-2394,10,1.3.0-rc1,620,2433,No
WICKET-2394,11,1.3.0-rc2,588,2433,No
WICKET-2394,12,1.3.0-final,568,2433,No
WICKET-2394,13,1.3.1,534,2433,No
WICKET-2394,14,1.3.2,497,2433,No
WICKET-2394,15,1.2.7,487,2433,No
WICKET-2394,16,1.3.3,473,2433,No
WICKET-2394,17,1.4-M1,447,2433,Yes
WICKET-2394,18,1.4-M2,416,2433,Yes
WICKET-2394,19,1.3.4,392,2433,Yes
WICKET-2394,20,1.4-M3,374,2433,Yes
WICKET-2394,21,1.3.5,278,2433,Yes
WICKET-2394,22,1.4-RC1,252,2433,Yes
WICKET-2394,23,1.4-RC2,167,1620,Yes
WICKET-2394,24,1.3.6,81,2,Yes
WICKET-2394,25,1.4-RC4,73,2,Yes
WICKET-2394,26,1.4-RC5,46,2,Yes
WICKET-2394,27,1.4-RC6,24,2,Yes
WICKET-2394,28,1.4-RC7,13,2,Yes
WICKET-2394,29,1.4.0,7,2,Yes
WICKET-3244,1,1.2.2,1565,7519,No
WICKET-3244,2,1.2.3,1500,7519,No
WICKET-3244,3,1.2.4,1446,7519,No
WICKET-3244,4,1.2.5,1399,7519,No
WICKET-3244,5,1.2.6,1327,7469,No
WICKET-3244,6,1.3.0-beta1,1317,7430,No
WICKET-3244,7,1.3.0-beta2,1263,7164,No
WICKET-3244,8,1.3.0-beta3,1199,6780,No
WICKET-3244,9,1.3.0-beta4,1156,6622,No
