Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
XERCESJ-91,1,2.0.0 [alpha],364,0,No
XERCESJ-91,2,2.0.0 [beta],119,0,No
XERCESJ-91,3,2.0.0 [beta 2],105,0,No
XERCESJ-91,4,2.0.0 [beta 3],39,0,Yes
XERCESJ-1080,1,2.0.0 [alpha],1617,132,No
XERCESJ-1080,2,2.0.0 [beta],1372,132,No
XERCESJ-1080,3,2.0.0 [beta 2],1358,132,No
XERCESJ-1080,4,2.0.0 [beta 3],1292,132,No
XERCESJ-1080,5,2.0.0 [beta 4],1242,132,No
XERCESJ-1080,6,2.0.0,1199,132,No
XERCESJ-1080,7,2.0.1,1166,132,No
XERCESJ-1080,8,2.0.2,1057,132,No
XERCESJ-1080,9,2.1.0,989,132,No
XERCESJ-1080,10,2.2.0,960,132,No
XERCESJ-1080,11,2.2.1,913,132,No
XERCESJ-1080,12,2.3.0,837,116,No
XERCESJ-1080,13,2.4.0,778,116,No
XERCESJ-1080,14,2.5.0,652,116,No
XERCESJ-1080,15,2.6.0,539,81,No
XERCESJ-1080,16,2.6.1,462,81,No
XERCESJ-1080,17,2.6.2,448,81,Yes
XERCESJ-1082,1,2.0.0 [alpha],1643,26679,No
XERCESJ-1082,2,2.0.0 [beta],1398,26679,No
XERCESJ-1082,3,2.0.0 [beta 2],1384,26679,No
XERCESJ-1082,4,2.0.0 [beta 3],1318,23883,No
XERCESJ-1082,5,2.0.0 [beta 4],1268,22477,No
XERCESJ-1082,6,2.0.0,1225,21724,No
XERCESJ-1082,7,2.0.1,1192,20776,No
XERCESJ-1082,8,2.0.2,1083,18867,No
XERCESJ-1082,9,2.1.0,1015,18454,No
XERCESJ-1082,10,2.2.0,986,16630,No
XERCESJ-1082,11,2.2.1,939,16315,No
XERCESJ-1082,12,2.3.0,863,16081,No
XERCESJ-1082,13,2.4.0,804,15985,No
XERCESJ-1082,14,2.5.0,678,15841,No
XERCESJ-1082,15,2.6.0,565,8183,No
XERCESJ-1082,16,2.6.1,488,8135,No
XERCESJ-1082,17,2.6.2,474,8133,Yes
XERCESJ-1088,1,2.0.0 [alpha],1687,777,No
XERCESJ-1088,2,2.0.0 [beta],1442,777,No
XERCESJ-1088,3,2.0.0 [beta 2],1428,777,No
XERCESJ-1088,4,2.0.0 [beta 3],1362,777,No
XERCESJ-1088,5,2.0.0 [beta 4],1312,777,No
XERCESJ-1088,6,2.0.0,1269,777,No
XERCESJ-1088,7,2.0.1,1236,777,No
XERCESJ-1088,8,2.0.2,1127,777,No
XERCESJ-1088,9,2.1.0,1059,777,No
XERCESJ-1088,10,2.2.0,1030,777,No
XERCESJ-1088,11,2.2.1,983,777,No
XERCESJ-1088,12,2.3.0,907,509,No
XERCESJ-1088,13,2.4.0,848,509,No
XERCESJ-1088,14,2.5.0,722,312,No
XERCESJ-1088,15,2.6.0,609,312,No
XERCESJ-1088,16,2.6.1,532,312,No
XERCESJ-1088,17,2.6.2,518,312,No
XERCESJ-1088,18,2.7.0,28,3,Yes
XERCESJ-1089,1,2.0.0 [alpha],1687,5039,No
XERCESJ-1089,2,2.0.0 [beta],1442,5039,No
XERCESJ-1089,3,2.0.0 [beta 2],1428,5039,No
XERCESJ-1089,4,2.0.0 [beta 3],1362,5039,No
XERCESJ-1089,5,2.0.0 [beta 4],1312,5039,No
XERCESJ-1089,6,2.0.0,1269,5039,No
XERCESJ-1089,7,2.0.1,1236,5039,No
XERCESJ-1089,8,2.0.2,1127,5039,No
XERCESJ-1089,9,2.1.0,1059,5039,No
XERCESJ-1089,10,2.2.0,1030,5039,No
XERCESJ-1089,11,2.2.1,983,5039,No
XERCESJ-1089,12,2.3.0,907,5039,No
XERCESJ-1089,13,2.4.0,848,5039,No
XERCESJ-1089,14,2.5.0,722,2515,No
XERCESJ-1089,15,2.6.0,609,1868,No
XERCESJ-1089,16,2.6.1,532,1536,No
XERCESJ-1089,17,2.6.2,518,1465,No
XERCESJ-1089,18,2.7.0,28,4,Yes
XERCESJ-1090,1,2.0.0 [alpha],1688,26718,No
XERCESJ-1090,2,2.0.0 [beta],1443,26718,No
XERCESJ-1090,3,2.0.0 [beta 2],1429,26718,No
XERCESJ-1090,4,2.0.0 [beta 3],1363,23922,No
XERCESJ-1090,5,2.0.0 [beta 4],1313,22516,No
XERCESJ-1090,6,2.0.0,1270,21763,No
XERCESJ-1090,7,2.0.1,1237,20815,No
XERCESJ-1090,8,2.0.2,1128,18906,No
XERCESJ-1090,9,2.1.0,1060,18493,No
XERCESJ-1090,10,2.2.0,1031,16669,No
XERCESJ-1090,11,2.2.1,984,16354,No
XERCESJ-1090,12,2.3.0,908,16120,No
XERCESJ-1090,13,2.4.0,849,16024,No
XERCESJ-1090,14,2.5.0,723,15880,No
XERCESJ-1090,15,2.6.0,610,8222,No
XERCESJ-1090,16,2.6.1,533,8174,No
XERCESJ-1090,17,2.6.2,519,8172,No
XERCESJ-1090,18,2.7.0,29,0,Yes
XERCESJ-1094,1,2.0.0 [alpha],1705,1123,No
XERCESJ-1094,2,2.0.0 [beta],1460,1123,No
XERCESJ-1094,3,2.0.0 [beta 2],1446,1123,No
XERCESJ-1094,4,2.0.0 [beta 3],1380,1123,No
XERCESJ-1094,5,2.0.0 [beta 4],1330,1123,No
XERCESJ-1094,6,2.0.0,1287,1123,No
XERCESJ-1094,7,2.0.1,1254,1123,No
XERCESJ-1094,8,2.0.2,1145,1123,No
XERCESJ-1094,9,2.1.0,1077,442,No
XERCESJ-1094,10,2.2.0,1048,442,No
XERCESJ-1094,11,2.2.1,1001,442,No
XERCESJ-1094,12,2.3.0,925,401,No
XERCESJ-1094,13,2.4.0,866,401,No
XERCESJ-1094,14,2.5.0,740,333,No
XERCESJ-1094,15,2.6.0,627,162,No
XERCESJ-1094,16,2.6.1,550,130,No
XERCESJ-1094,17,2.6.2,536,126,No
XERCESJ-1094,18,2.7.0,46,4,No
XERCESJ-1094,19,2.7.1,14,4,Yes
XERCESJ-1097,1,2.0.0 [alpha],1732,5350,No
XERCESJ-1097,2,2.0.0 [beta],1487,5350,No
XERCESJ-1097,3,2.0.0 [beta 2],1473,5350,No
XERCESJ-1097,4,2.0.0 [beta 3],1407,5350,No
XERCESJ-1097,5,2.0.0 [beta 4],1357,5350,No
XERCESJ-1097,6,2.0.0,1314,5350,No
XERCESJ-1097,7,2.0.1,1281,5350,No
XERCESJ-1097,8,2.0.2,1172,5350,No
XERCESJ-1097,9,2.1.0,1104,5350,No
XERCESJ-1097,10,2.2.0,1075,5350,No
XERCESJ-1097,11,2.2.1,1028,5350,No
XERCESJ-1097,12,2.3.0,952,5350,No
XERCESJ-1097,13,2.4.0,893,5350,No
XERCESJ-1097,14,2.5.0,767,5350,No
XERCESJ-1097,15,2.6.0,654,5350,No
XERCESJ-1097,16,2.6.1,577,5350,No
XERCESJ-1097,17,2.6.2,563,5350,No
XERCESJ-1097,18,2.7.0,73,0,Yes
XERCESJ-1097,19,2.7.1,41,0,Yes
XERCESJ-52,1,2.0.0 [alpha],322,26,No
XERCESJ-52,2,2.0.0 [beta],77,0,Yes
XERCESJ-52,3,2.0.0 [beta 2],63,0,Yes
XERCESJ-919,1,2.0.0 [alpha],1197,1615,No
XERCESJ-919,2,2.0.0 [beta],952,1615,No
XERCESJ-919,3,2.0.0 [beta 2],938,1615,No
XERCESJ-919,4,2.0.0 [beta 3],872,1615,No
XERCESJ-919,5,2.0.0 [beta 4],822,1615,No
XERCESJ-919,6,2.0.0,779,1545,No
XERCESJ-919,7,2.0.1,746,1545,No
XERCESJ-919,8,2.0.2,637,983,No
XERCESJ-919,9,2.1.0,569,951,No
XERCESJ-919,10,2.2.0,540,951,No
XERCESJ-919,11,2.2.1,493,951,No
XERCESJ-919,12,2.3.0,417,808,No
XERCESJ-919,13,2.4.0,358,771,No
XERCESJ-919,14,2.5.0,232,728,No
XERCESJ-919,15,2.6.0,119,728,No
XERCESJ-919,16,2.6.1,42,670,No
XERCESJ-919,17,2.6.2,28,670,Yes
XERCESJ-916,1,2.0.0 [alpha],1194,3968,No
XERCESJ-916,2,2.0.0 [beta],949,3968,No
XERCESJ-916,3,2.0.0 [beta 2],935,3968,No
XERCESJ-916,4,2.0.0 [beta 3],869,3968,No
XERCESJ-916,5,2.0.0 [beta 4],819,3968,No
XERCESJ-916,6,2.0.0,776,3968,No
XERCESJ-916,7,2.0.1,743,3968,No
XERCESJ-916,8,2.0.2,634,3968,No
XERCESJ-916,9,2.1.0,566,3968,No
XERCESJ-916,10,2.2.0,537,3968,No
XERCESJ-916,11,2.2.1,490,3968,No
XERCESJ-916,12,2.3.0,414,3968,No
XERCESJ-916,13,2.4.0,355,3968,No
XERCESJ-916,14,2.5.0,229,3026,No
XERCESJ-916,15,2.6.0,116,1667,No
XERCESJ-916,16,2.6.1,39,643,No
XERCESJ-916,17,2.6.2,25,410,Yes
XERCESJ-809,1,2.0.0 [alpha],1046,19403,No
XERCESJ-809,2,2.0.0 [beta],801,19403,No
XERCESJ-809,3,2.0.0 [beta 2],787,19403,No
XERCESJ-809,4,2.0.0 [beta 3],721,16607,No
XERCESJ-809,5,2.0.0 [beta 4],671,15201,No
XERCESJ-809,6,2.0.0,628,14448,No
XERCESJ-809,7,2.0.1,595,13500,No
XERCESJ-809,8,2.0.2,486,10861,No
XERCESJ-809,9,2.1.0,418,10430,No
XERCESJ-809,10,2.2.0,389,8598,No
XERCESJ-809,11,2.2.1,342,8127,No
XERCESJ-809,12,2.3.0,266,7785,No
XERCESJ-809,13,2.4.0,207,7646,No
XERCESJ-809,14,2.5.0,81,7487,Yes
XERCESJ-923,1,2.0.0 [alpha],1200,257,No
XERCESJ-923,2,2.0.0 [beta],955,257,No
XERCESJ-923,3,2.0.0 [beta 2],941,257,No
XERCESJ-923,4,2.0.0 [beta 3],875,257,No
XERCESJ-923,5,2.0.0 [beta 4],825,257,No
XERCESJ-923,6,2.0.0,782,257,No
XERCESJ-923,7,2.0.1,749,257,No
XERCESJ-923,8,2.0.2,640,257,No
XERCESJ-923,9,2.1.0,572,136,No
XERCESJ-923,10,2.2.0,543,136,No
XERCESJ-923,11,2.2.1,496,136,No
XERCESJ-923,12,2.3.0,420,110,No
XERCESJ-923,13,2.4.0,361,110,No
XERCESJ-923,14,2.5.0,235,110,No
XERCESJ-923,15,2.6.0,122,101,No
XERCESJ-923,16,2.6.1,45,67,No
XERCESJ-923,17,2.6.2,31,67,Yes
XERCESJ-68,1,2.0.0 [alpha],351,3116,No
XERCESJ-68,2,2.0.0 [beta],106,3116,No
XERCESJ-68,3,2.0.0 [beta 2],92,3116,No
XERCESJ-68,4,2.0.0 [beta 3],26,320,Yes
XERCESJ-926,1,2.0.0 [alpha],1203,1718,No
XERCESJ-926,2,2.0.0 [beta],958,1436,No
XERCESJ-926,3,2.0.0 [beta 2],944,1436,No
XERCESJ-926,4,2.0.0 [beta 3],878,1436,No
XERCESJ-926,5,2.0.0 [beta 4],828,1433,No
XERCESJ-926,6,2.0.0,785,1377,No
XERCESJ-926,7,2.0.1,752,1345,No
XERCESJ-926,8,2.0.2,643,1143,No
XERCESJ-926,9,2.1.0,575,979,No
XERCESJ-926,10,2.2.0,546,979,No
XERCESJ-926,11,2.2.1,499,820,No
XERCESJ-926,12,2.3.0,423,569,No
XERCESJ-926,13,2.4.0,364,561,No
XERCESJ-926,14,2.5.0,238,561,No
XERCESJ-926,15,2.6.0,125,153,No
XERCESJ-926,16,2.6.1,48,134,No
XERCESJ-926,17,2.6.2,34,134,Yes
XERCESJ-77,1,2.0.0 [alpha],353,1871,No
XERCESJ-77,2,2.0.0 [beta],108,1871,No
XERCESJ-77,3,2.0.0 [beta 2],94,1871,Yes
XERCESJ-77,4,2.0.0 [beta 3],28,260,Yes
XERCESJ-73,1,2.0.0 [alpha],353,122,No
XERCESJ-73,2,2.0.0 [beta],108,0,No
XERCESJ-73,3,2.0.0 [beta 2],94,0,Yes
XERCESJ-73,4,2.0.0 [beta 3],28,0,Yes
XERCESJ-816,1,2.0.0 [alpha],1056,12277,No
XERCESJ-816,2,2.0.0 [beta],811,12277,No
XERCESJ-816,3,2.0.0 [beta 2],797,7117,No
XERCESJ-816,4,2.0.0 [beta 3],731,4946,No
XERCESJ-816,5,2.0.0 [beta 4],681,4526,No
XERCESJ-816,6,2.0.0,638,3701,No
XERCESJ-816,7,2.0.1,605,3686,No
XERCESJ-816,8,2.0.2,496,3450,No
XERCESJ-816,9,2.1.0,428,3279,No
XERCESJ-816,10,2.2.0,399,2458,No
XERCESJ-816,11,2.2.1,352,2293,No
XERCESJ-816,12,2.3.0,276,257,No
XERCESJ-816,13,2.4.0,217,184,No
XERCESJ-816,14,2.5.0,91,54,Yes
XERCESJ-815,1,2.0.0 [alpha],1056,7464,No
XERCESJ-815,2,2.0.0 [beta],811,7464,No
XERCESJ-815,3,2.0.0 [beta 2],797,4276,No
XERCESJ-815,4,2.0.0 [beta 3],731,3876,No
XERCESJ-815,5,2.0.0 [beta 4],681,3548,No
XERCESJ-815,6,2.0.0,638,3053,No
XERCESJ-815,7,2.0.1,605,3038,No
XERCESJ-815,8,2.0.2,496,2867,No
XERCESJ-815,9,2.1.0,428,2795,No
XERCESJ-815,10,2.2.0,399,2181,No
XERCESJ-815,11,2.2.1,352,2023,No
XERCESJ-815,12,2.3.0,276,82,No
XERCESJ-815,13,2.4.0,217,26,No
XERCESJ-815,14,2.5.0,91,25,Yes
XERCESJ-84,1,2.0.0 [alpha],355,0,No
XERCESJ-84,2,2.0.0 [beta],110,0,No
XERCESJ-84,3,2.0.0 [beta 2],96,0,No
XERCESJ-84,4,2.0.0 [beta 3],30,0,Yes
XERCESJ-944,1,2.0.0 [alpha],1222,2179,No
XERCESJ-944,2,2.0.0 [beta],977,2179,No
XERCESJ-944,3,2.0.0 [beta 2],963,2179,No
XERCESJ-944,4,2.0.0 [beta 3],897,2179,No
XERCESJ-944,5,2.0.0 [beta 4],847,2179,No
XERCESJ-944,6,2.0.0,804,2179,No
XERCESJ-944,7,2.0.1,771,2179,No
XERCESJ-944,8,2.0.2,662,2179,No
XERCESJ-944,9,2.1.0,594,2179,No
XERCESJ-944,10,2.2.0,565,2179,No
XERCESJ-944,11,2.2.1,518,2179,No
XERCESJ-944,12,2.3.0,442,2179,No
XERCESJ-944,13,2.4.0,383,2179,No
XERCESJ-944,14,2.5.0,257,1959,No
XERCESJ-944,15,2.6.0,144,670,No
XERCESJ-944,16,2.6.1,67,481,No
XERCESJ-944,17,2.6.2,53,261,Yes
XERCESJ-701,1,2.0.0 [alpha],851,243,No
XERCESJ-701,2,2.0.0 [beta],606,243,No
XERCESJ-701,3,2.0.0 [beta 2],592,243,No
XERCESJ-701,4,2.0.0 [beta 3],526,243,No
XERCESJ-701,5,2.0.0 [beta 4],476,223,No
XERCESJ-701,6,2.0.0,433,221,No
XERCESJ-701,7,2.0.1,400,216,No
XERCESJ-701,8,2.0.2,291,210,No
XERCESJ-701,9,2.1.0,223,210,No
XERCESJ-701,10,2.2.0,194,210,No
XERCESJ-701,11,2.2.1,147,210,No
XERCESJ-701,12,2.3.0,71,0,No
XERCESJ-701,13,2.4.0,12,0,Yes
XERCESJ-949,1,2.0.0 [alpha],1230,104,No
XERCESJ-949,2,2.0.0 [beta],985,104,No
XERCESJ-949,3,2.0.0 [beta 2],971,104,No
XERCESJ-949,4,2.0.0 [beta 3],905,104,No
XERCESJ-949,5,2.0.0 [beta 4],855,104,No
XERCESJ-949,6,2.0.0,812,104,No
XERCESJ-949,7,2.0.1,779,104,No
XERCESJ-949,8,2.0.2,670,104,No
XERCESJ-949,9,2.1.0,602,28,No
XERCESJ-949,10,2.2.0,573,28,No
XERCESJ-949,11,2.2.1,526,28,No
XERCESJ-949,12,2.3.0,450,23,No
XERCESJ-949,13,2.4.0,391,23,No
XERCESJ-949,14,2.5.0,265,23,No
XERCESJ-949,15,2.6.0,152,22,No
XERCESJ-949,16,2.6.1,75,10,No
XERCESJ-949,17,2.6.2,61,0,Yes
XERCESJ-89,1,2.0.0 [alpha],361,2815,No
XERCESJ-89,2,2.0.0 [beta],116,166,No
XERCESJ-89,3,2.0.0 [beta 2],102,166,No
XERCESJ-89,4,2.0.0 [beta 3],36,1,Yes
XERCESJ-948,1,2.0.0 [alpha],1229,6523,No
XERCESJ-948,2,2.0.0 [beta],984,6523,No
XERCESJ-948,3,2.0.0 [beta 2],970,6523,No
XERCESJ-948,4,2.0.0 [beta 3],904,6523,No
XERCESJ-948,5,2.0.0 [beta 4],854,6523,No
XERCESJ-948,6,2.0.0,811,6523,No
XERCESJ-948,7,2.0.1,778,6523,No
XERCESJ-948,8,2.0.2,669,5349,No
XERCESJ-948,9,2.1.0,601,4790,No
XERCESJ-948,10,2.2.0,572,4377,No
XERCESJ-948,11,2.2.1,525,4377,No
XERCESJ-948,12,2.3.0,449,3700,No
XERCESJ-948,13,2.4.0,390,3650,No
XERCESJ-948,14,2.5.0,264,2927,No
XERCESJ-948,15,2.6.0,151,2077,No
XERCESJ-948,16,2.6.1,74,324,No
XERCESJ-948,17,2.6.2,60,305,Yes
XERCESJ-947,1,2.0.0 [alpha],1228,9093,No
XERCESJ-947,2,2.0.0 [beta],983,6749,No
XERCESJ-947,3,2.0.0 [beta 2],969,6737,No
XERCESJ-947,4,2.0.0 [beta 3],903,6639,No
XERCESJ-947,5,2.0.0 [beta 4],853,5917,No
XERCESJ-947,6,2.0.0,810,5832,No
XERCESJ-947,7,2.0.1,777,5605,No
XERCESJ-947,8,2.0.2,668,4021,No
XERCESJ-947,9,2.1.0,600,3838,No
