Key,Number of Closed and Linked Bugs,Number of C/L Bugs with no AV,Percent of C/L Bugs with no AV,Number of C/L Bugs with First AV after Ticket Creation,Percent of C/L Bugs with First AV after Ticket Creation,Number of C/L Bugs with a Problem,Percent of C/L Bugs with a Problem
TINKERPOP,198,1,0.00505051,2,0.01010101,3,0.01515152
XERCESJ,240,4,0.01666667,5,0.02083333,9,0.0375
QPIDJMS,142,8,0.05633803,0,0,8,0.05633803
LOG4J2,658,71,0.10790274,2,0.00303951,73,0.11094225
DIRSTUDIO,322,35,0.10869565,1,0.00310559,36,0.11180124
SYNCOPE,590,36,0.06101695,30,0.05084746,66,0.11186441
DIRAPI,71,8,0.11267606,0,0,8,0.11267606
ISIS,353,41,0.11614731,2,0.00566572,43,0.12181303
WICKET,2371,210,0.08857022,93,0.03922396,303,0.12779418
DELTASPIKE,290,38,0.131034483,0,0,38,0.131034483
MSHADE,87,12,0.13793103,0,0,12,0.13793103
AMQCPP,245,25,0.102040816,9,0.036734694,34,0.13877551
MTOMCAT,40,6,0.15,0,0,6,0.15
XERCESC,224,21,0.09375,13,0.05803571,34,0.15178571
IVY,528,69,0.13068182,13,0.02462121,82,0.15530303
DIRMINA,215,16,0.0744186,18,0.08372093,34,0.15813953
JENA,432,68,0.15740741,5,0.01157407,73,0.16898148
BUILDR,242,42,0.17355372,0,0,42,0.17355372
OFBIZ,2530,440,0.17391304,5,0.00197628,445,0.17588933
STDCXX,369,66,0.17886179,0,0,66,0.17886179
MDEP,100,17,0.17,1,0.01,18,0.18
TAPESTRY,578,60,0.10380623,46,0.07958478,106,0.183391
HTTPCORE,172,33,0.19186047,0,0,33,0.19186047
GROOVY,2980,547,0.18355705,40,0.01342282,587,0.19697987
HTTPCLIENT,441,80,0.1814059,7,0.01587302,87,0.19727891
CAMEL,3232,538,0.1664604,107,0.03310644,645,0.19956683
MANTTASKS,50,9,0.18,1,0.02,10,0.2
MRESOURCES,30,6,0.2,0,0,6,0.2
MPIR,88,16,0.18181818,2,0.02272727,18,0.20454545
BEANUTILS,91,19,0.208791209,0,0,19,0.208791209
OPENMEETINGS,299,27,0.090301,36,0.12040134,63,0.21070234
JCLOUDS,335,43,0.12835821,29,0.08656716,72,0.21492537
BIGTOP,935,191,0.20427807,10,0.01069519,201,0.21497326
MPLUGIN,109,25,0.2293578,0,0,25,0.2293578
TOBAGO,596,129,0.21644295,8,0.01342282,137,0.22986577
SCM,267,61,0.22846442,1,0.00374532,62,0.23220974
ARCHETYPE,90,21,0.23333333,0,0,21,0.23333333
CXF,2934,621,0.211656442,69,0.023517382,690,0.235173824
MENFORCER,62,14,0.22580645,1,0.01612903,15,0.24193548
NET,196,48,0.244897959,0,0,48,0.244897959
OLINGO,375,51,0.136,42,0.112,93,0.248
CONFIGURATION,227,55,0.242290749,2,0.008810573,57,0.251101322
MWAR,74,19,0.25675676,0,0,19,0.25675676
AMQ,2233,533,0.238692342,52,0.023287058,585,0.2619794
