Bug ID,Bug Resolution Date,Classes Touched by Fix,Earliest AV,Version of Ticket Creation,Version of Fix
DELTASPIKE-206,2012-08-15T09:16:56.000+0000,deltaspike/cdictrl/api/src/main/java/org/apache/deltaspike/cdise/api/CdiContainerLoader.java|,2,3,3
DELTASPIKE-205,2012-07-05T22:39:39.000+0000,deltaspike/core/api/src/main/java/org/apache/deltaspike/core/api/message/MessageInterpolator.java|deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/message/DefaultMessageInterpolator.java|deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/message/TestMessageInterpolator.java|,2,3,3
DELTASPIKE-568,2014-04-12T11:43:11.000+0000,deltaspike/modules/jsf/impl/src/main/resources/META-INF/resources/deltaspike/windowhandler.js|,6,7,7
DELTASPIKE-1087,2016-03-02T19:47:50.000+0000,deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/jmx/DynamicMBeanWrapper.java|,23,24,24
DELTASPIKE-208,2013-05-24T06:33:59.000+0000,deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/exclude/extension/ExcludeExtension.java|deltaspike/core/impl/src/test/resources/META-INF/apache-deltaspike.properties|,2,3,4
DELTASPIKE-207,2012-10-15T08:38:58.000+0000,deltaspike/cdictrl/impl-owb/pom.xml|deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/OpenWebBeansContainerControl.java|deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/OpenWebBeansContextControl.java|deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/OwbHelper.java|,2,3,3
DELTASPIKE-1089,2016-06-02T01:01:13.000+0000,deltaspike/modules/data/api/src/main/java/org/apache/deltaspike/data/api/Query.java|deltaspike/modules/data/impl/src/main/java/org/apache/deltaspike/data/impl/builder/AnnotatedQueryBuilder.java|deltaspike/modules/data/impl/src/test/java/org/apache/deltaspike/data/impl/handler/EntityRepositoryHandlerTest.java|deltaspike/modules/data/impl/src/test/java/org/apache/deltaspike/data/test/service/SimpleIntermediateRepository.java|,23,24,26
DELTASPIKE-209,2012-06-20T10:55:37.000+0000,deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/alternative/global/GlobalAlternativeTest.java|deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/exclude/ExcludeTestProjectStageDevelopment.java|deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/impl/activation/TestClassDeactivation.java|,2,3,3
DELTASPIKE-681,2014-08-05T21:27:59.000+0000,deltaspike/modules/security/impl/src/main/java/org/apache/deltaspike/security/impl/extension/DefaultSecurityStrategy.java|,9,10,10
DELTASPIKE-200,2012-06-15T08:46:32.000+0000,deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/message/MessageBundleExtension.java|,2,3,3
DELTASPIKE-442,2013-11-19T19:03:10.000+0000,deltaspike/core/api/src/main/java/org/apache/deltaspike/core/api/config/PropertyLoader.java|deltaspike/core/api/src/test/java/org/apache/deltaspike/test/api/config/PropertyLoaderTest.java|deltaspike/core/api/src/test/resources/test.properties|deltaspike/core/api/src/test/resources/test2-UnitTest.properties|deltaspike/core/api/src/test/resources/test2.properties|deltaspike/modules/jpa/impl/src/main/java/org/apache/deltaspike/jpa/impl/entitymanager/PersistenceConfigurationProviderImpl.java|,5,6,6
DELTASPIKE-684,2014-08-14T15:17:34.000+0000,deltaspike/modules/partial-bean/api/pom.xml|deltaspike/modules/partial-bean/impl/pom.xml|,9,10,10
DELTASPIKE-320,2013-03-13T03:43:31.000+0000,deltaspike/modules/jpa/api/src/main/java/org/apache/deltaspike/jpa/api/transaction/Transactional.java|deltaspike/modules/jpa/impl/src/main/java/org/apache/deltaspike/jpa/impl/transaction/TransactionStrategyHelper.java|deltaspike/modules/jpa/impl/src/test/java/org/apache/deltaspike/test/jpa/api/transactional/aggregation/AggregatedDefaultEntityManagerInjectionTest.java|deltaspike/modules/jpa/impl/src/test/java/org/apache/deltaspike/test/jpa/api/transactional/aggregation/BeanA.java|deltaspike/modules/jpa/impl/src/test/java/org/apache/deltaspike/test/jpa/api/transactional/aggregation/BeanB.java|deltaspike/modules/jpa/impl/src/test/java/org/apache/deltaspike/test/jpa/api/transactional/aggregation/TestEntityManagerProducer.java|deltaspike/modules/jpa/impl/src/test/java/org/apache/deltaspike/test/jpa/api/transactional/aggregation/TransactionalBean.java|,3,4,4
DELTASPIKE-202,2012-10-14T19:37:31.000+0000,deltaspike/core/api/src/main/java/org/apache/deltaspike/core/api/message/MessageResolver.java|deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/message/DefaultMessageContext.java|deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/message/DefaultMessageContextConfig.java|deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/message/MessageBundleInvocationHandler.java|deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/message/MessageContextProducer.java|,2,3,3
DELTASPIKE-685,2014-08-13T19:44:44.000+0000,deltaspike/modules/jsf/impl/src/main/java/org/apache/deltaspike/jsf/impl/exception/control/BridgeExceptionHandlerWrapper.java|,9,10,10
DELTASPIKE-446,2014-01-19T12:57:03.000+0000,deltaspike/modules/jsf/impl/src/main/resources/META-INF/resources/deltaspike/windowhandler.js|,5,6,6
DELTASPIKE-566,2014-04-09T20:09:36.000+0000,deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/scope/viewaccess/ViewAccessContext.java|,6,7,7
DELTASPIKE-679,2014-07-31T06:16:39.000+0000,deltaspike/core/api/src/main/java/org/apache/deltaspike/core/api/provider/BeanManagerProvider.java|,8,10,10
DELTASPIKE-799,2014-12-12T19:00:50.000+0000,deltaspike/cdictrl/impl-weld/pom.xml|deltaspike/cdictrl/servlet/pom.xml|deltaspike/examples/jse-examples/pom.xml|deltaspike/examples/scheduler-playground/pom.xml|deltaspike/modules/scheduler/impl/pom.xml|deltaspike/modules/test-control/impl/pom.xml|documentation/src/main/asciidoc/index.adoc|,13,14,14
DELTASPIKE-1198,2018-09-07T11:07:33.000+0000,deltaspike/core/api/src/main/java/org/apache/deltaspike/core/api/provider/BeanManagerProvider.java|,26,28,32
