Bug ID,Bug Resolution Date,Classes Touched by Fix,Earliest AV,Version of Ticket Creation,Version of Fix,
ISIS-16,2010-12-07T06:51:03.000+0000,core/viewer-wicket-ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/layout/bs3/col/Col.java|,1,1,32,
ISIS-83,2011-03-27T14:56:51.000+0000,core/runtime/src/main/java/org/apache/isis/core/runtime/services/eventbus/EventBusServiceDefault.java|,1,1,19,
ISIS-106,2011-07-07T13:34:44.000+0000,adocs/documentation/src/main/asciidoc/guides/_cg_committers_merging-a-pull-request.adoc|core/security-shiro/src/main/java/org/apache/isis/security/shiro/IsisLdapRealm.java|,1,1,17,
ISIS-117,2011-09-10T20:14:24.000+0000,core/applib/src/main/java/org/apache/isis/applib/fixturescripts/FixtureScripts.java|,1,2,17,
ISIS-122,2011-10-10T14:56:40.000+0000,core/viewer-wicket-ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/actionprompt/ActionPromptModalWindow.java|core/viewer-wicket-ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/actions/ActionParametersFormPanel.java|core/viewer-wicket-ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/scalars/ScalarPanelAbstract.java|,1,2,30,
ISIS-146,2011-12-05T09:26:15.000+0000,adocs/documentation/pom.xml|,1,2,33,
ISIS-154,2011-12-14T04:53:57.000+0000,example/application/simpleapp/application/src/main/java/domainapp/application/manifest/DomainAppAppManifestWithFixtures.java|example/application/simpleapp/module-simple/src/test/java/domainapp/modules/simple/integtests/SimpleModuleIntegTestAbstract.java|example/application/simpleapp/pom.xml|,1,2,29,
ISIS-118,2011-12-20T18:55:16.000+0000,core/metamodel/src/main/java/org/apache/isis/core/metamodel/facets/objectvalue/mustsatisfyspec/MustSatisfySpecificationFacetAbstract.java|core/metamodel/src/test/java/org/apache/isis/core/metamodel/facets/param/parameter/MustSatisfySpecificationFacetFactoryProcessParameterTest.java|core/metamodel/src/test/java/org/apache/isis/core/metamodel/facets/properties/property/MustSatisfySpecificationFacetFactoryProcessPropertyTest.java|,1,2,19,
ISIS-18,2012-01-05T17:54:28.000+0000,adocs/documentation/src/main/asciidoc/release-notes/_release-notes_2.0.0-M2.adoc|adocs/documentation/src/main/asciidoc/release-notes/release-notes.adoc|,1,1,38,
ISIS-169,2012-01-11T00:06:34.000+0000,core/viewer-wicket-ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/layout/bs3/col/Col.java|,1,2,32,
ISIS-153,2012-01-21T18:03:18.000+0000,core/metamodel/src/main/java/org/apache/isis/core/metamodel/services/metamodel/MetaModelServiceDefault.java|,1,2,30,
ISIS-101,2012-01-22T14:50:40.000+0000,component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/pages/bootstrap-overrides.css|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/pages/jquery.isis.wicket.viewer.js|,1,1,15,
ISIS-184,2012-02-10T15:41:44.000+0000,core/applib/src/main/java/org/apache/isis/applib/services/eventbus/AbstractDomainEvent.java|core/applib/src/test/java/org/apache/isis/applib/services/eventbus/AbstractDomainEvent_veto_Test.java|,2,2,33,
ISIS-213,2012-03-13T22:05:58.000+0000,framework/viewer/html/src/main/java/org/apache/isis/viewer/html/task/MethodTask.java|,2,3,3,
ISIS-256,2012-09-03T23:36:24.000+0000,framework/viewer/restfulobjects/restfulobjects-viewer/src/main/java/org/apache/isis/viewer/restfulobjects/viewer/resources/domainobjects/DomainResourceHelper.java|,2,3,3,
