Bug ID,Bug Resolution Date,Ticket Creation Date,Fix Date,Hash,Git Directory
AMQCPP-529,2014-01-02 21:09:59 +0000,2014-01-01 14:50:22 +0000,2014-01-02 16:05:54 -0500,15cb77921c31c1475bb57b489af9638026ab0210,activemq-cpp
AMQCPP-403,2012-05-16 23:29:15 +0000,2012-05-16 23:27:10 +0000,2012-05-24 22:46:03 +0000,3ce911d41f22580b750465f202e338ac4994e399,activemq-cpp
AMQCPP-404,2012-06-20 15:44:57 +0000,2012-05-18 15:16:13 +0000,2012-06-20 15:43:49 +0000,082c4baec83add4b8a01b3b7eb9a775029061e07,activemq-cpp
AMQCPP-525,2013-11-24 15:19:56 +0000,2013-11-23 23:31:49 +0000,2013-11-24 10:16:02 -0500,0ccee98438e5b551279a53a5ed57777cae7a0c10,activemq-cpp
AMQCPP-405,2012-12-04 20:47:33 +0000,2012-05-23 22:01:19 +0000,2012-11-29 16:05:26 +0000,f14ea7a7ca59abf8dc457b233d75815d8d1977fa,activemq-cpp
AMQCPP-406,2012-05-24 15:04:28 +0000,2012-05-24 14:57:01 +0000,2012-05-24 15:03:46 +0000,2ff87100e75123a412a0a17921c489b889608111,activemq-cpp
AMQCPP-527,2013-12-11 19:26:18 +0000,2013-12-11 18:42:57 +0000,2013-12-11 14:25:15 -0500,6a4d00aa68d374bed3dd16fb68cbef60fe90dd16,activemq-cpp
AMQCPP-520,2013-10-22 16:32:11 +0000,2013-10-15 08:24:18 +0000,2013-10-22 12:27:23 -0400,c5a9f4521693281878864e919d42a239c5961293,activemq-cpp
AMQCPP-402,2012-05-24 14:54:57 +0000,2012-05-16 15:03:58 +0000,2012-05-16 16:02:06 +0000,ea524afcad39ec933f866287b6ab52f1678c27ae,activemq-cpp
AMQCPP-518,2013-10-09 22:06:14 +0000,2013-10-09 21:58:29 +0000,2013-10-09 18:05:07 -0400,e78c283367af2498b5607d65f3f1d6e446aade50,activemq-cpp
AMQCPP-513,2013-09-20 21:53:00 +0000,2013-09-20 16:12:02 +0000,2013-09-20 17:52:10 -0400,021798b68a3154effc45a877de84966fd5750774,activemq-cpp
AMQCPP-514,2013-10-03 15:16:12 +0000,2013-10-02 22:08:39 +0000,2013-10-03 11:15:33 -0400,06a7435dffe1ca74b0fcc60fb596817526170cff,activemq-cpp
AMQCPP-515,2013-10-07 13:58:36 +0000,2013-10-07 09:30:32 +0000,2013-10-07 09:54:12 -0400,efd6e7b933b077f5c535c9bfe45eee1c7c6e32cf,activemq-cpp
AMQCPP-516,2013-10-09 16:34:13 +0000,2013-10-09 16:31:55 +0000,2013-10-09 12:32:13 -0400,60b7330094114cb4271b53ca21676d88cdf15546,activemq-cpp
AMQCPP-510,2013-09-20 14:24:36 +0000,2013-09-10 14:59:49 +0000,2013-10-01 17:46:35 -0400,c4c4602b407991b64dec9ebd49410406435b9a3d,activemq-cpp
AMQCPP-197,2008-09-15 12:06:56 +0000,2008-09-15 08:38:55 +0000,2008-09-15 12:06:04 +0000,973983ed24780792ec4ae5fb7c03e98826f9c130,activemq-cpp
AMQCPP-199,2008-11-18 14:26:28 +0000,2008-10-05 08:49:16 +0000,2008-11-13 19:15:19 +0000,e36de41b33b10652d44e98299dd459d486374645,activemq-cpp
AMQCPP-429,2012-10-02 22:57:33 +0000,2012-10-02 20:01:36 +0000,2012-10-02 22:56:54 +0000,a96e566362f412af45002af327cf2ca008bb2b41,activemq-cpp
AMQCPP-304,2010-07-16 20:59:02 +0000,2010-07-16 19:00:04 +0000,2010-07-16 20:45:19 +0000,a701e9de8a14b68eb8e3842f8c319190ca3568a5,activemq-cpp
AMQCPP-546,2014-07-08 21:03:00 +0000,2014-07-08 20:54:02 +0000,2014-07-08 17:02:24 -0400,74ef17b0ed25fe04d23e2346bee156fd1e840012,activemq-cpp
AMQCPP-426,2012-09-17 06:15:41 +0000,2012-09-17 05:30:01 +0000,2012-09-17 06:13:57 +0000,f4e2c112c1c82825efc57b6d36acfad8eb24a362,activemq-cpp
AMQCPP-549,2014-08-14 16:54:33 +0000,2014-08-14 16:47:08 +0000,2014-08-14 12:53:50 -0400,6b9bd99a1042d03690422d18d8bb94d1a2d3ed18,activemq-cpp
AMQCPP-96,2007-04-06 14:21:06 +0000,2007-04-05 19:13:26 +0000,2007-04-06 14:24:40 +0000,d61b417c109c1d11ac7c958b2079017bf77d8d6b,activemq-cpp
AMQCPP-301,2010-06-30 14:16:11 +0000,2010-06-30 13:21:27 +0000,2010-06-30 13:27:13 +0000,028aefe57841ef6d146d6ea2ce18131415cee325,activemq-cpp
AMQCPP-422,2013-01-15 21:26:21 +0000,2012-08-13 19:26:02 +0000,2013-01-15 21:18:52 +0000,d59f529e7c698ad781522e93d37caf4a61cfbbf2,activemq-cpp
AMQCPP-98,2007-04-12 12:58:15 +0000,2007-04-11 23:03:55 +0000,2007-04-12 12:34:20 +0000,0b75dd1a5444ff9b3da1f0c8bd2bb9ee58084385,activemq-cpp
AMQCPP-302,2010-07-16 11:06:09 +0000,2010-07-16 11:04:10 +0000,2010-07-16 11:04:02 +0000,895ed54ab4cabdd2f4e1a3db4f28e2e1b19a2e8e,activemq-cpp
AMQCPP-303,2010-07-16 19:21:39 +0000,2010-07-16 15:05:20 +0000,2010-07-16 15:39:56 +0000,9aca0ab1d628a25bfaed29e7d87a839ac595ff52,activemq-cpp
AMQCPP-424,2012-08-30 15:38:55 +0000,2012-08-30 12:41:23 +0000,2012-08-30 15:23:08 +0000,a267a939d596876ff6a4b2dd26a3ae64d302f371,activemq-cpp
AMQCPP-420,2012-08-13 21:02:38 +0000,2012-08-13 18:50:54 +0000,2012-08-13 21:01:19 +0000,6505096fac55548f3e6b6ce9d69683edefc4ed85,activemq-cpp
AMQCPP-418,2012-08-06 22:34:57 +0000,2012-08-06 18:04:52 +0000,2012-08-06 22:34:09 +0000,384ffda3f4aba3d7c0150f4fb2374ce81e877f3f,activemq-cpp
AMQCPP-416,2012-08-06 22:51:12 +0000,2012-08-06 17:47:23 +0000,2012-08-06 22:50:07 +0000,5d5b4a0c24a438efc1f8fb40678e35bc9c857ce8,activemq-cpp
AMQCPP-417,2012-08-09 14:50:58 +0000,2012-08-06 17:53:50 +0000,2012-08-09 14:49:38 +0000,82203c03207bd3baab8b2d831128fc352b9d8741,activemq-cpp
AMQCPP-538,2014-04-16 10:19:11 +0000,2014-04-16 05:39:02 +0000,2014-04-16 06:17:39 -0400,5e8efc44208dd1896797a3fc96b8523a83cfe03a,activemq-cpp
AMQCPP-410,2012-06-08 20:38:52 +0000,2012-06-08 17:38:19 +0000,2012-06-08 20:19:10 +0000,0f92c036a65e724a15fb0dbe54262cbf1b6710c2,activemq-cpp
AMQCPP-532,2015-07-29 21:52:34 +0000,2014-01-27 14:54:20 +0000,2015-07-29 17:51:09 -0400,d96e76169265269ad2a52041ec5c1a41549d3299,activemq-cpp
AMQCPP-533,2014-02-19 19:24:04 +0000,2014-02-19 15:53:39 +0000,2014-02-19 14:21:50 -0500,b29a30634236e808a43d22d2cd16057e183238ab,activemq-cpp
AMQCPP-534,2015-02-13 16:14:00 +0000,2014-02-20 01:31:54 +0000,2015-02-13 11:01:32 -0500,dfaa7a7c80360aec95a16300e4243b4fbe50b7d3,activemq-cpp
AMQCPP-530,2014-01-16 19:42:32 +0000,2014-01-16 18:06:16 +0000,2014-01-16 14:39:35 -0500,854482bf3c930e0bbc9d35bbee72d4598639f8d1,activemq-cpp
