Bug ID,Bug Resolution Date,Ticket Creation Date,Fix Date,Hash,Git Directory
QPIDJMS-179,2016-05-24 18:58:54 +0000,2016-05-23 21:08:52 +0000,2016-05-24 14:57:27 -0400,6b6e1a76c9721d619c88caa8d120547766c9b255,qpid-jms
QPIDJMS-335,2017-10-16 15:17:43 +0000,2017-10-06 16:47:35 +0000,2017-10-16 16:13:29 +0100,89e8f9908c476a942e23c6762541df774db963fd,qpid-jms
QPIDJMS-336,2017-10-13 16:31:38 +0000,2017-10-09 20:25:19 +0000,2017-11-01 12:44:01 +0000,6d49f7c50e5be464708013f79178b96210cf17bf,qpid-jms
QPIDJMS-330,2017-09-29 11:31:22 +0000,2017-09-29 11:12:22 +0000,2017-09-29 12:21:39 +0100,ac5aab2cb0db996f7726ca6be7a5b74d7adb09b1,qpid-jms
QPIDJMS-451,2019-04-03 15:32:27 +0000,2019-04-03 15:10:30 +0000,2019-04-03 16:17:42 +0100,253ae123536c231103dadab405b3fdeca1e63e97,qpid-jms
QPIDJMS-331,2017-09-29 11:31:33 +0000,2017-09-29 11:16:52 +0000,2017-09-29 12:21:39 +0100,a6db6a001a094d4ff9505320f8827b2a69beb5bb,qpid-jms
QPIDJMS-178,2016-05-25 18:12:21 +0000,2016-05-20 20:45:32 +0000,2016-05-20 17:23:44 -0400,df2d911d4e75a65b50c23717636b0a6e15be526f,qpid-jms
QPIDJMS-292,2017-05-11 10:55:06 +0000,2017-05-11 10:40:16 +0000,2017-05-11 11:43:13 +0100,b0b554d752f1f0320d73c7645ec89bb51677e5e6,qpid-jms
QPIDJMS-172,2016-04-15 15:01:16 +0000,2016-04-15 14:53:00 +0000,2016-04-15 11:00:33 -0400,bcd4a91cae3df8c30130fc5a0d4c80d52fce7ec6,qpid-jms
QPIDJMS-293,2017-05-16 14:09:13 +0000,2017-05-16 13:58:52 +0000,2017-05-16 15:03:42 +0100,d3ce3dc38587ca1799613371d3096907899b362a,qpid-jms
QPIDJMS-294,2017-08-04 20:35:07 +0000,2017-05-18 13:20:08 +0000,2017-08-02 17:22:52 +0100,53d96e8a5162257894aaaf3951b4ce1d77e641ed,qpid-jms
QPIDJMS-290,2017-05-16 14:08:48 +0000,2017-05-01 18:51:12 +0000,2017-05-03 13:10:05 -0400,d6112e77c7c718fb50c82472671cd02e59342061,qpid-jms
QPIDJMS-209,2016-09-21 17:55:53 +0000,2016-09-21 13:53:12 +0000,2016-09-21 12:28:29 -0400,cd90f6b070fe89342f805bf3ae69b6c1963575f8,qpid-jms
QPIDJMS-205,2016-09-05 15:39:59 +0000,2016-09-05 14:25:14 +0000,2016-09-05 15:33:45 +0100,87dbd80dc61928b5ce228342ccf26f7a3a4de006,qpid-jms
QPIDJMS-326,2017-09-29 11:30:48 +0000,2017-09-27 08:34:58 +0000,2017-09-29 12:21:39 +0100,2f3c13c4f011dcbfe6f2a86b7853758582707b71,qpid-jms
QPIDJMS-208,2016-09-20 15:32:15 +0000,2016-09-20 15:20:10 +0000,2016-09-20 11:23:40 -0400,1c3ff1cbba17bb1f2fe09735abd16d96c1c40339,qpid-jms
QPIDJMS-201,2016-09-01 15:42:16 +0000,2016-08-24 16:37:29 +0000,2016-10-14 19:21:11 +0100,22a517d76f67dcae61318ff858781066d6855ed3,qpid-jms
