Bug ID,Bug Resolution Date,Ticket Creation Date,Fix Date,Hash,Git Directory
TINKERPOP-1196,2016-06-15 18:20:09 +0000,2016-03-02 22:18:24 +0000,2016-06-07 10:29:37 -0400,2907ff812cbcc98637d30d586cac8b1ac2a27149,tinkerpop
TINKERPOP-2044,2018-10-04 16:15:54 +0000,2018-09-24 18:20:34 +0000,2018-10-04 08:16:44 -0400,b510613b10962a3e8d95c3e590b5f58297227d0e,tinkerpop
TINKERPOP-1511,2016-10-17 18:14:20 +0000,2016-10-16 14:41:21 +0000,2016-10-17 13:57:14 -0400,150a53d8a0ba2c2276f2dec49428f1ee14e67d70,tinkerpop
TINKERPOP-1874,2018-01-24 13:10:40 +0000,2018-01-18 19:22:13 +0000,2018-01-24 08:09:51 -0500,323bdadf48b1ca77dd007d4e95c66a9797b9e063,tinkerpop
TINKERPOP-1992,2019-02-28 16:36:33 +0000,2018-06-22 21:22:08 +0000,2019-02-28 10:07:49 -0500,29fe4cd99c18fa4b8c18bdfcd538a54acdfc7c6e,tinkerpop
TINKERPOP-1872,2018-02-23 12:01:39 +0000,2018-01-16 21:11:44 +0000,2018-02-23 07:00:39 -0500,3df6c5806a585e8e1c381e4043338110ef8b4517,tinkerpop
TINKERPOP-2169,2019-03-14 13:09:00 +0000,2019-02-25 20:56:37 +0000,2019-03-08 15:38:22 -0800,2cd84ff1f3944d67d44cbba5bb032a1c57377975,tinkerpop
TINKERPOP-2161,2019-02-27 14:58:06 +0000,2019-02-15 09:07:55 +0000,2019-02-27 15:53:33 +0100,90528cde17d2f83bb7dc9937a6b35ce0ab9f5753,tinkerpop
TINKERPOP-1509,2018-03-02 20:50:33 +0000,2016-10-14 10:59:18 +0000,2018-03-02 15:47:41 -0500,27cc57469492e9ea6bca8b7db3962fa8e8a9ad4c,tinkerpop
TINKERPOP-1745,2017-12-05 13:09:59 +0000,2017-08-08 17:15:36 +0000,2017-12-05 14:03:16 +0100,7e17d4fa0887a4918984e8bc0cdf701152a93d38,tinkerpop
TINKERPOP-1867,2018-01-21 01:12:34 +0000,2018-01-08 21:31:19 +0000,2018-01-20 18:08:31 -0700,fa8dae8b7aed18e73f01a6b13cdf01adbcbe4461,tinkerpop
TINKERPOP-1988,2018-06-20 10:27:17 +0000,2018-06-19 07:59:00 +0000,2018-06-20 06:23:38 -0400,7c7dddb72e240cb3167d88aecd4de365589a1f2f,tinkerpop
TINKERPOP-1743,2017-08-09 18:53:51 +0000,2017-08-08 16:09:23 +0000,2017-08-09 12:52:47 -0600,6ea6fb8434aad020a3f9afba270cbd703b4fc1af,tinkerpop
TINKERPOP-1744,2017-09-13 11:50:23 +0000,2017-08-08 17:00:42 +0000,2017-08-10 17:53:37 +0200,6a3fc39a912bec98707dd69d461955330627df10,tinkerpop
TINKERPOP-1869,2018-04-25 16:05:49 +0000,2018-01-12 15:29:26 +0000,2018-04-25 12:00:41 -0400,ecc4a5866dcd7ad50cee13b7a9fcf7639766bcfb,tinkerpop
TINKERPOP-2155,2019-02-12 18:30:18 +0000,2019-02-07 14:27:31 +0000,2019-02-12 13:29:58 -0500,54912ddefdced55fd3c55f45b3ca5c56eaa23d4c,tinkerpop
TINKERPOP-2032,2018-09-19 12:48:21 +0000,2018-09-11 12:34:07 +0000,2018-09-19 08:43:10 -0400,a4945162fd969d6c47f69a138d60d266fb88564d,tinkerpop
TINKERPOP-1862,2018-03-05 14:02:11 +0000,2018-01-03 17:21:23 +0000,2018-03-05 08:39:46 -0500,6fbf13047db83cb77292386cce4c1f5bee66101e,tinkerpop
TINKERPOP-1860,2018-01-16 13:33:30 +0000,2017-12-29 05:53:03 +0000,2018-01-16 08:11:52 -0500,bd39caa08801d8c354f8ad7301fc77f4a5bcf8b6,tinkerpop
TINKERPOP-2030,2018-09-22 01:42:20 +0000,2018-09-06 00:57:26 +0000,2018-09-21 21:39:19 -0400,207c660a17a45df79c154720ba088d1852d80b4e,tinkerpop
TINKERPOP-1060,2016-01-12 21:53:54 +0000,2015-12-21 23:18:32 +0000,2016-01-12 14:53:39 -0700,44ba97572305baa3de888ac14b9b0a81b5537be4,tinkerpop
TINKERPOP-1855,2018-01-05 20:01:52 +0000,2017-12-18 17:22:25 +0000,2018-01-05 14:10:42 -0500,d56862ba0ffbb3d80d3375beaa9bba2c6e519829,tinkerpop
TINKERPOP-2029,2018-09-18 14:33:37 +0000,2018-09-05 11:02:04 +0000,2018-09-18 07:32:35 -0700,2199d47886c90daf5d7a002edc74b95e46d6e103,tinkerpop
TINKERPOP-1859,2018-03-01 18:12:52 +0000,2017-12-28 19:51:06 +0000,2018-02-14 15:34:09 -0500,1f2530e84c1b75e9ab8df775835be9b4afc59a35,tinkerpop
TINKERPOP-1738,2018-03-08 13:09:48 +0000,2017-08-01 17:10:36 +0000,2018-03-08 07:22:04 -0500,7bff988961587c0bcf9644b520faa3ed72a79952,tinkerpop
TINKERPOP-1978,2018-06-27 17:29:31 +0000,2018-06-04 15:39:29 +0000,2018-06-27 19:19:12 +0200,c02b9934c73d7b915333cb873e97de7789f35a80,tinkerpop
TINKERPOP-1858,2018-04-03 17:25:57 +0000,2017-12-28 18:22:37 +0000,2018-01-11 16:23:45 -0500,11c09b09a40c1b73f5388bbaf05a03500a56abc2,tinkerpop
TINKERPOP-1979,2018-06-18 17:36:31 +0000,2018-06-04 16:05:18 +0000,2018-06-18 13:35:33 -0400,ba82a5c90c5982449691dcba8c7b3085dd28e5c1,tinkerpop
TINKERPOP-1175,2016-02-24 17:38:01 +0000,2016-02-24 13:11:50 +0000,2016-02-24 07:30:24 -0700,15909c669b40d08dde16c225ee818796252d6a79,tinkerpop
TINKERPOP-2021,2018-09-04 19:00:11 +0000,2018-08-08 11:39:45 +0000,2018-09-04 14:46:40 -0400,69bbbed7b4282c5a7f7439c06e7113c0d99f6566,tinkerpop
TINKERPOP-1851,2017-12-13 18:47:56 +0000,2017-12-08 20:37:49 +0000,2017-12-11 12:34:33 -0500,97e3d1c07a6084134d0b9b365265661410d8460a,tinkerpop
TINKERPOP-1972,2018-10-10 15:12:15 +0000,2018-05-21 16:21:04 +0000,2018-10-10 17:02:30 +0200,59fa4c2b7aebeb2f789e2a30bc60e0d67b3a027d,tinkerpop
TINKERPOP-2148,2019-03-14 16:03:11 +0000,2019-02-01 11:12:49 +0000,2019-03-14 16:42:33 +0100,bfa90d2a457938202ac4cad0d80277923eed60de,tinkerpop
TINKERPOP-1731,2017-09-22 16:59:46 +0000,2017-07-18 18:59:26 +0000,2017-09-22 12:58:08 -0400,18d5d79ba2ec6141d69e8406aa7c61d92f69c765,tinkerpop
TINKERPOP-2028,2018-09-05 22:09:06 +0000,2018-08-27 18:08:13 +0000,2018-09-05 16:31:43 -0400,66d6a865be1da049918487bad3d493df43876063,tinkerpop
TINKERPOP-2141,2019-01-24 16:32:54 +0000,2019-01-24 12:12:43 +0000,2019-01-24 11:32:04 -0500,ff46277a2b8fb3b1103dffc686874f4ddc69e075,tinkerpop
TINKERPOP-1052,2015-12-18 15:41:20 +0000,2015-12-17 11:56:58 +0000,2015-12-18 08:39:32 -0500,529512f6eb23db456c6766bb13e5b2554fffddc1,tinkerpop
TINKERPOP-1172,2016-02-25 14:51:50 +0000,2016-02-19 19:19:21 +0000,2016-02-25 09:24:47 -0500,01b6171537789ec40c15b19ae8165d89d5903d2e,tinkerpop
TINKERPOP-1963,2018-05-31 20:17:00 +0000,2018-05-09 20:14:02 +0000,2018-05-31 15:50:27 -0400,f411f1d4e90ca565d2a58fde6fa2d4a74db8ef4b,tinkerpop
TINKERPOP-1727,2017-07-19 12:43:54 +0000,2017-07-13 16:39:26 +0000,2017-07-19 07:33:53 -0500,3f06a6a5db7ea4c783969f030fe9ba25a030899d,tinkerpop
TINKERPOP-1848,2017-12-06 19:22:20 +0000,2017-12-01 19:20:26 +0000,2017-12-06 13:00:07 -0500,eb69fec488627d266f9414126e18cd68590fd9d8,tinkerpop
TINKERPOP-1846,2017-12-04 21:09:27 +0000,2017-11-30 14:25:49 +0000,2017-12-04 16:08:45 -0500,a883746e6c00018ed522c2e9396cc9134cb3a1fe,tinkerpop
TINKERPOP-1605,2017-01-21 11:06:48 +0000,2017-01-18 01:45:02 +0000,2017-01-21 12:04:46 +0100,67a10923d77098f403efc187ba43781443d1ed8f,tinkerpop
TINKERPOP-1847,2017-11-30 16:36:50 +0000,2017-11-30 14:42:16 +0000,2017-11-30 11:35:04 -0500,9f874ed676733d4e3a78fa091bc938cc1dfc46cd,tinkerpop
TINKERPOP-1284,2016-05-02 14:25:07 +0000,2016-04-29 14:51:27 +0000,2016-05-02 08:22:24 -0600,7427ae1eb3e4580dfbe838e6c48ed11f162a6e74,tinkerpop
TINKERPOP-1961,2018-05-12 00:05:55 +0000,2018-05-08 15:44:05 +0000,2018-05-11 20:03:31 -0400,288b455a731bbc2f062b2cfe043f8c775dee9700,tinkerpop
TINKERPOP-1962,2018-05-18 22:56:52 +0000,2018-05-09 07:31:48 +0000,2018-05-18 18:49:30 -0400,e39837330235bf9598077707234c25ad29e77742,tinkerpop
TINKERPOP-2135,2019-03-14 16:02:53 +0000,2019-01-14 16:36:38 +0000,2019-03-14 16:57:55 +0100,e900e8d6ae2c0c071420d4f44e647057b067f219,tinkerpop
TINKERPOP-1281,2016-05-16 13:28:11 +0000,2016-04-28 16:39:15 +0000,2016-05-16 07:27:51 -0600,d056218c7529d471e09323835ed426c79e2842cc,tinkerpop
TINKERPOP-1041,2016-02-22 13:20:24 +0000,2015-12-13 15:55:29 +0000,2016-02-22 08:17:01 -0500,f8cbe8fbbff682dd9e6281329511ba39bc1920ae,tinkerpop
TINKERPOP-1832,2017-11-27 13:01:55 +0000,2017-11-11 12:00:12 +0000,2017-11-22 10:56:43 +0200,8bc4b36f52d12e37b7d8f37f7d2240caa233106f,tinkerpop
TINKERPOP-1716,2017-07-20 13:35:40 +0000,2017-07-09 21:24:49 +0000,2017-07-10 07:24:12 -0600,31daf3261de14712163cd5ffcfc8cb0104e4e05e,tinkerpop
TINKERPOP-1958,2018-05-22 15:46:10 +0000,2018-04-27 19:17:21 +0000,2018-05-22 08:04:24 -0700,7c7001394a3dd5706c5ff38bcbf5c96dd6c611fc,tinkerpop
TINKERPOP-1792,2017-09-29 11:24:37 +0000,2017-09-25 19:42:33 +0000,2017-09-29 06:57:14 -0400,29b6268d917a19ffd064f93bf2e257ab5a8a849d,tinkerpop
TINKERPOP-1790,2017-10-16 12:55:40 +0000,2017-09-22 11:22:55 +0000,2017-10-13 16:24:32 -0400,7407700c6704efc3648e58079215b49a676da269,tinkerpop
TINKERPOP-1670,2017-05-08 19:27:40 +0000,2017-04-26 17:40:24 +0000,2017-05-08 14:36:31 -0400,3de9423a5ce2644affbbe4d84bf4815a191fe0b4,tinkerpop
TINKERPOP-1791,2017-10-26 10:45:59 +0000,2017-09-22 13:26:50 +0000,2017-10-26 06:45:07 -0400,89f4b01392bd2c777e1603ecf9ca84cba1e1706c,tinkerpop
TINKERPOP-1675,2017-05-25 13:55:31 +0000,2017-05-22 16:55:27 +0000,2017-05-22 12:20:27 -0500,6813e9efd86a4d032d3106000fb5e805deb26454,tinkerpop
TINKERPOP-1796,2017-10-10 17:04:31 +0000,2017-10-03 15:13:51 +0000,2017-10-10 12:58:30 -0400,dd48dcc0f7d3230a072afa8908830892193d6c0b,tinkerpop
TINKERPOP-1797,2017-10-18 21:30:02 +0000,2017-10-09 16:25:32 +0000,2017-10-18 13:15:30 -0600,19e261c53fa4c95a5e12c49dc572cc280c3cb0ec,tinkerpop
TINKERPOP-1795,2017-10-04 14:24:14 +0000,2017-10-02 19:35:35 +0000,2017-10-04 07:29:17 -0600,a278edd85cfff9028004cc37c95ecac1219bb954,tinkerpop
TINKERPOP-2081,2018-10-29 17:15:05 +0000,2018-10-26 12:51:36 +0000,2018-10-29 12:31:25 +0300,5cc25368b3e6773a78c4159c61b51cbf84af607c,tinkerpop
TINKERPOP-977,2015-11-19 11:00:02 +0000,2015-11-19 07:41:57 +0000,2015-11-19 05:57:12 -0500,d3b927a89c3a5806cf1b8d8c548081f4e6201159,tinkerpop
TINKERPOP-1547,2016-11-11 00:28:04 +0000,2016-11-08 16:20:17 +0000,2016-11-10 17:29:56 -0700,d0389168d14bf8ce56918d8c639f3ab66176029a,tinkerpop
TINKERPOP-1789,2017-09-28 20:08:21 +0000,2017-09-21 19:06:29 +0000,2017-09-28 14:06:01 -0600,1cd042b61d0dea08d003a7ff9e57f175343c039c,tinkerpop
TINKERPOP-1548,2016-11-22 17:03:14 +0000,2016-11-10 15:49:00 +0000,2016-11-22 10:56:33 -0600,1fcca95809ea39831e8b6afabd3adc1b5db536c8,tinkerpop
TINKERPOP-1545,2017-01-12 14:25:33 +0000,2016-11-03 23:48:36 +0000,2017-01-12 15:23:23 +0100,72aca97eaf2b03f05d7d895b459d818a2140922a,tinkerpop
TINKERPOP-1666,2017-04-26 02:26:28 +0000,2017-04-06 17:05:35 +0000,2017-04-26 07:08:06 -0400,8cb429c0d941ef867d35d41484df3f0d7589ebe4,tinkerpop
TINKERPOP-1305,2016-05-21 04:14:51 +0000,2016-05-18 21:41:00 +0000,2016-05-20 22:08:41 -0600,9c53c73e6475d2c701833648a18eaff029626087,tinkerpop
TINKERPOP-1307,2016-05-25 14:48:55 +0000,2016-05-19 22:48:21 +0000,2016-05-25 08:43:24 -0600,4318b6c4c8a005117590cfc1e861d1a88ad4c068,tinkerpop
TINKERPOP-1428,2016-11-10 14:13:22 +0000,2016-09-02 14:32:53 +0000,2016-11-10 07:12:33 -0700,398e834c4f1a082fc541f87eaf2b90bdfab07b6b,tinkerpop
TINKERPOP-1660,2017-03-29 14:50:03 +0000,2017-03-29 14:30:07 +0000,2017-03-29 10:48:26 -0400,661317825c117f70272b47041daf6ba6c81744ac,tinkerpop
TINKERPOP-1423,2016-09-27 18:47:19 +0000,2016-08-30 21:13:46 +0000,2016-09-27 12:45:49 -0600,1b1defc685a4cae715d65001e36e2fbe55186bc8,tinkerpop
TINKERPOP-1783,2017-09-22 14:50:28 +0000,2017-09-14 14:27:08 +0000,2017-09-22 08:49:47 -0600,e04245b534119ac5c5b8a7181b33bbd1821aad29,tinkerpop
TINKERPOP-1534,2016-11-02 15:43:31 +0000,2016-10-28 15:14:41 +0000,2016-11-02 11:41:35 -0400,0f84e4378d82bcefb79071d8d14a92202a7a6445,tinkerpop
TINKERPOP-1777,2018-03-07 15:21:53 +0000,2017-09-11 20:17:23 +0000,2018-03-07 08:19:41 -0700,a35f009a043eac62f610ffaa28e43d7f6fbb86b6,tinkerpop
TINKERPOP-1898,2018-09-05 20:35:11 +0000,2018-02-21 09:12:09 +0000,2018-09-05 16:27:34 -0400,81f2292c9a3c3b28a175000ec37d7d5746dcd7ab,tinkerpop
