Bug ID,Bug Resolution Date,Classes Touched by Fix,Earliest AV,Version of Ticket Creation,Version of Fix
AMQCPP-18,2006-12-01T02:24:22.000+0000,src/main/activemq/transport/filters/AsyncSendTransport.cpp|,1,3,10
AMQCPP-20,2006-12-01T16:11:33.000+0000,activemq-cpp/activemq-cpp.spec|,1,3,25
AMQCPP-19,2006-12-02T12:59:38.000+0000,src/test-integration/integration/connector/openwire/OpenwireAsyncSenderTest.cpp|src/test-integration/integration/connector/openwire/OpenwireAsyncSenderTest.h|src/test-integration/integration/connector/stomp/AsyncSenderTest.h|,1,3,11
AMQCPP-14,2006-12-06T14:52:22.000+0000,activemq-cpp/src/main/decaf/internal/net/DefaultSocketFactory.cpp|activemq-cpp/src/main/decaf/internal/net/DefaultSocketFactory.h|activemq-cpp/src/main/decaf/internal/net/ssl/DefaultSSLSocketFactory.cpp|activemq-cpp/src/main/decaf/internal/net/ssl/DefaultSSLSocketFactory.h|activemq-cpp/src/main/decaf/internal/net/ssl/openssl/OpenSSLParameters.cpp|activemq-cpp/src/main/decaf/internal/net/ssl/openssl/OpenSSLParameters.h|activemq-cpp/src/main/decaf/internal/net/ssl/openssl/OpenSSLServerSocket.cpp|activemq-cpp/src/main/decaf/internal/net/ssl/openssl/OpenSSLSocket.cpp|activemq-cpp/src/main/decaf/internal/net/ssl/openssl/OpenSSLSocket.h|activemq-cpp/src/main/decaf/internal/net/ssl/openssl/OpenSSLSocketFactory.cpp|activemq-cpp/src/main/decaf/internal/net/ssl/openssl/OpenSSLSocketFactory.h|activemq-cpp/src/main/decaf/net/Socket.cpp|activemq-cpp/src/main/decaf/net/Socket.h|activemq-cpp/src/main/decaf/net/SocketFactory.h|activemq-cpp/src/main/decaf/net/ssl/SSLSocket.cpp|activemq-cpp/src/main/decaf/net/ssl/SSLSocket.h|,1,2,21
AMQCPP-23,2006-12-12T14:09:09.000+0000,activemq-cpp/vs2005-build/vs2005-activemq-integration-tests.vcproj|activemq-cpp/vs2005-build/vs2005-activemq-unittests.vcproj|,1,3,15
AMQCPP-22,2006-12-15T12:52:55.000+0000,configure.ac|,3,3,14
AMQCPP-26,2006-12-16T17:18:44.000+0000,activemq-cpp/vs2005-build/vs2005-activemq-unittests.vcproj|activemq-cpp/vs2005-build/vs2005-activemq.vcproj|,3,3,19
AMQCPP-29,2006-12-21T14:33:29.000+0000,activemq-cpp/src/main/decaf/lang/Thread.cpp|,3,3,27
AMQCPP-35,2007-01-02T17:53:01.000+0000,activemq-cpp/src/main/activemq/commands/ActiveMQBytesMessage.cpp|activemq-cpp/src/test/activemq/commands/ActiveMQBytesMessageTest.cpp|,3,3,28
AMQCPP-27,2007-01-07T14:48:37.000+0000,activemq-cpp/src/main/decaf/lang/Thread.cpp|,3,3,21
AMQCPP-28,2007-01-07T14:51:48.000+0000,activemq-cpp/vs2005-build/vc2005-activemq-producer.vcproj|activemq-cpp/vs2005-build/vs2005-activemq-cpp.sln|activemq-cpp/vs2005-build/vs2005-activemq-example.vcproj|activemq-cpp/vs2005-build/vs2005-activemq-integration-tests.vcproj|activemq-cpp/vs2005-build/vs2005-activemq-unittests.vcproj|activemq-cpp/vs2005-build/vs2005-activemq.vcproj|,3,3,21
AMQCPP-39,2007-01-10T15:05:07.000+0000,activemq-cpp/src/main/Makefile.am|activemq-cpp/src/main/activemq/commands/ActiveMQDestination.cpp|activemq-cpp/src/main/activemq/commands/ActiveMQDestination.h|activemq-cpp/src/main/activemq/commands/ActiveMQMessageTemplate.h|activemq-cpp/src/main/activemq/commands/ActiveMQTempDestination.cpp|activemq-cpp/src/main/activemq/commands/ActiveMQTempDestination.h|activemq-cpp/src/main/activemq/commands/ActiveMQTempQueue.cpp|activemq-cpp/src/main/activemq/commands/ActiveMQTempQueue.h|activemq-cpp/src/main/activemq/commands/ActiveMQTempTopic.cpp|activemq-cpp/src/main/activemq/commands/ActiveMQTempTopic.h|activemq-cpp/src/main/activemq/commands/ConsumerId.cpp|activemq-cpp/src/main/activemq/core/ActiveMQConnection.cpp|activemq-cpp/src/main/activemq/core/ActiveMQConnection.h|activemq-cpp/src/main/activemq/core/ActiveMQConnectionFactory.cpp|activemq-cpp/src/main/activemq/core/ActiveMQConnectionFactory.h|activemq-cpp/src/main/activemq/core/AdvisoryConsumer.cpp|activemq-cpp/src/main/activemq/core/AdvisoryConsumer.h|activemq-cpp/src/main/activemq/core/DispatchData.h|activemq-cpp/src/main/activemq/core/Dispatcher.h|activemq-cpp/src/main/activemq/core/kernels/ActiveMQConsumerKernel.cpp|activemq-cpp/src/main/activemq/core/kernels/ActiveMQConsumerKernel.h|activemq-cpp/src/main/activemq/core/kernels/ActiveMQProducerKernel.cpp|activemq-cpp/src/main/activemq/core/kernels/ActiveMQProducerKernel.h|activemq-cpp/src/main/activemq/core/kernels/ActiveMQSessionKernel.cpp|activemq-cpp/src/main/activemq/core/kernels/ActiveMQSessionKernel.h|activemq-cpp/src/main/activemq/state/ConnectionState.cpp|activemq-cpp/src/main/activemq/util/ActiveMQMessageTransformation.cpp|activemq-cpp/src/main/activemq/util/ActiveMQMessageTransformation.h|activemq-cpp/src/main/activemq/util/AdvisorySupport.cpp|activemq-cpp/src/main/activemq/util/AdvisorySupport.h|activemq-cpp/src/main/cms/Message.h|activemq-cpp/src/main/decaf/lang/Comparable.h|activemq-cpp/src/main/decaf/lang/Pointer.h|activemq-cpp/src/main/decaf/util/Comparator.h|activemq-cpp/src/main/decaf/util/concurrent/ConcurrentStlMap.h|activemq-cpp/src/test/Makefile.am|activemq-cpp/src/test/activemq/commands/ActiveMQTempQueueTest.cpp|activemq-cpp/src/test/activemq/commands/ActiveMQTempTopicTest.cpp|activemq-cpp/src/test/activemq/core/ActiveMQConnectionFactoryTest.cpp|activemq-cpp/src/test/activemq/core/ActiveMQSessionTest.cpp|activemq-cpp/src/test/activemq/state/ConnectionStateTest.cpp|activemq-cpp/src/test/activemq/util/ActiveMQMessageTransformationTest.cpp|activemq-cpp/src/test/activemq/util/ActiveMQMessageTransformationTest.h|activemq-cpp/src/test/activemq/util/AdvisorySupportTest.cpp|activemq-cpp/src/test/activemq/util/AdvisorySupportTest.h|activemq-cpp/src/test/testRegistry.cpp|,3,3,32
AMQCPP-41,2007-01-11T12:27:19.000+0000,activemq-cpp/src/main/decaf/lang/System.cpp|,3,3,34
AMQCPP-25,2007-01-11T20:24:08.000+0000,activemq-cpp/src/main/decaf/util/logging/LogManager.cpp|activemq-cpp/src/main/decaf/util/logging/LogManager.h|,3,3,18
AMQCPP-43,2007-01-12T15:32:05.000+0000,activemq-cpp/src/main/activemq/core/ActiveMQSessionExecutor.cpp|,3,3,35
AMQCPP-38,2007-01-22T22:53:06.000+0000,activemq-cpp/src/test/Makefile.am|activemq-cpp/src/test/activemq/wireformat/openwire/OpenWireFormatTest.h|activemq-cpp/src/test/activemq/wireformat/stomp/StompHelperTest.cpp|activemq-cpp/src/test/activemq/wireformat/stomp/StompHelperTest.h|activemq-cpp/src/test/activemq/wireformat/stomp/StompWireFormatFactoryTest.cpp|activemq-cpp/src/test/activemq/wireformat/stomp/StompWireFormatFactoryTest.h|activemq-cpp/src/test/activemq/wireformat/stomp/StompWireFormatTest.cpp|activemq-cpp/src/test/activemq/wireformat/stomp/StompWireFormatTest.h|activemq-cpp/src/test/testRegistry.cpp|,3,3,35
AMQCPP-44,2007-01-22T23:11:16.000+0000,activemq-cpp/src/main/decaf/internal/util/concurrent/Threading.cpp|,3,3,36
AMQCPP-46,2007-01-26T11:34:00.000+0000,activemq-cpp/README.txt|activemq-cpp/activemq-cpp.pc.in|activemq-cpp/activemq-cpp.spec|activemq-cpp/m4/apr_tools.m4|activemq-cpp/m4/find_apu.m4|,3,3,37
AMQCPP-64,2007-02-02T11:19:25.000+0000,activemq-cpp/src/main/activemq/core/ActiveMQConnection.cpp|activemq-cpp/src/main/activemq/core/ActiveMQConnection.h|activemq-cpp/src/main/activemq/core/ActiveMQConnectionFactory.cpp|activemq-cpp/src/main/activemq/core/ActiveMQConnectionFactory.h|activemq-cpp/src/main/activemq/core/ActiveMQConstants.cpp|activemq-cpp/src/main/activemq/core/ActiveMQConstants.h|activemq-cpp/src/test/activemq/core/ActiveMQConnectionFactoryTest.cpp|,1,3,49
AMQCPP-60,2007-02-15T00:07:27.000+0000,activemq-cpp/src/main/activemq/transport/failover/BackupTransportPool.cpp|activemq-cpp/src/main/activemq/transport/failover/FailoverTransport.cpp|activemq-cpp/src/main/activemq/transport/failover/URIPool.cpp|activemq-cpp/src/test/activemq/mock/MockBrokerService.cpp|activemq-cpp/src/test/activemq/mock/MockBrokerService.h|activemq-cpp/src/test/activemq/transport/failover/FailoverTransportTest.cpp|activemq-cpp/src/test/activemq/transport/failover/FailoverTransportTest.h|activemq-cpp/src/test/testRegistry.cpp|,3,3,48
AMQCPP-62,2007-03-11T00:43:30.000+0000,activemq-cpp/src/main/decaf/internal/net/ssl/openssl/OpenSSLSocket.cpp|,1,3,49
AMQCPP-96,2007-04-06T14:21:06.000+0000,activemq-cpp/src/main/activemq/connector/stomp/commands/CommandConstants.cpp|activemq-cpp/src/main/activemq/connector/stomp/commands/CommandConstants.h|,3,4,4
AMQCPP-98,2007-04-12T12:58:15.000+0000,activemq-cpp/src/main/activemq/connector/stomp/commands/BytesMessageCommand.h|activemq-cpp/src/main/activemq/connector/stomp/commands/MessageCommand.h|activemq-cpp/src/main/activemq/connector/stomp/commands/StompMessage.h|activemq-cpp/src/main/activemq/connector/stomp/commands/TextMessageCommand.h|,3,4,4
AMQCPP-105,2007-04-22T16:13:34.000+0000,activemq-cpp/src/main/activemq/connector/openwire/commands/ActiveMQMessageBase.h|,4,5,5
AMQCPP-107,2007-04-23T16:46:21.000+0000,activemq-cpp/src/main/activemq/network/ServerSocket.cpp|,4,5,5
