Bug ID,Bug Resolution Date,Classes Touched by Fix,Earliest AV,Version of Ticket Creation,Version of Fix
DIRSTUDIO-36,2007-01-20T19:14:11.000+0000,ldapbrowser-common/src/main/java/org/apache/directory/studio/ldapbrowser/common/dialogs/DeleteDialog.java|,1,1,9
DIRSTUDIO-18,2007-01-26T10:12:58.000+0000,connection-core/src/main/java/org/apache/directory/studio/connection/core/ConnectionCoreConstants.java|connection-core/src/main/java/org/apache/directory/studio/connection/core/ConnectionCorePlugin.java|connection-core/src/main/java/org/apache/directory/studio/connection/core/ConnectionCorePreferencesInitializer.java|connection-core/src/main/java/org/apache/directory/studio/connection/core/io/jndi/JNDIConnectionWrapper.java|ldapbrowser-common/src/main/java/org/apache/directory/studio/ldapbrowser/common/dialogs/preferences/MainPreferencePage.java|,1,1,9
DIRSTUDIO-31,2007-02-09T13:48:57.000+0000,connection-core/src/main/java/org/apache/directory/studio/connection/core/Utils.java|ldapbrowser-common/resources/icons/dneditor.gif|ldapbrowser-common/src/main/java/org/apache/directory/studio/ldapbrowser/common/BrowserCommonConstants.java|ldapbrowser-common/src/main/java/org/apache/directory/studio/ldapbrowser/common/dialogs/DnDialog.java|ldapbrowser-ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/actions/GotoDnAction.java|ldapbrowser-ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/actions/LocateInDitAction.java|ldapbrowser-ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/views/browser/BrowserViewActionGroup.java|valueeditors/src/main/java/org/apache/directory/studio/valueeditors/dn/DnValueEditor.java|,1,1,9
DIRSTUDIO-4,2007-02-09T13:56:26.000+0000,plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/ExportBaseToPage.java|plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/ExportConnectionsWizardPage.java|plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/ExportCsvToWizardPage.java|plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/ExportDsmlToWizardPage.java|plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/ExportExcelToWizardPage.java|plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/ExportLdifToWizardPage.java|plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/ExportLogsToWizardPage.java|plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/ExportOdfToWizardPage.java|plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/ImportConnectionsWizardPage.java|plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/ImportDsmlMainWizardPage.java|plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/ImportLdifMainWizardPage.java|plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/messages.properties|,1,1,23
DIRSTUDIO-63,2007-02-22T16:21:09.000+0000,plugins/schemaeditor/src/main/java/org/apache/directory/studio/schemaeditor/view/wizards/ImportProjectsWizard.java|plugins/schemaeditor/src/main/java/org/apache/directory/studio/schemaeditor/view/wizards/messages.properties|plugins/schemaeditor/src/main/java/org/apache/directory/studio/schemaeditor/view/wizards/messages_de.properties|plugins/schemaeditor/src/main/java/org/apache/directory/studio/schemaeditor/view/wizards/messages_fr.properties|,1,2,16
DIRSTUDIO-64,2007-03-05T11:01:29.000+0000,repository/org/eclipse/jdt/debug/ui/3.4.1.v20090811_r351-studio/ui-3.4.1.v20090811_r351-studio.jar|repository/org/eclipse/jdt/debug/ui/3.4.1.v20090811_r351-studio/ui-3.4.1.v20090811_r351-studio.jar.md5|repository/org/eclipse/jdt/debug/ui/3.4.1.v20090811_r351-studio/ui-3.4.1.v20090811_r351-studio.jar.sha1|repository/org/eclipse/jdt/debug/ui/maven-metadata.xml|repository/org/eclipse/jdt/debug/ui/maven-metadata.xml.md5|repository/org/eclipse/jdt/debug/ui/maven-metadata.xml.sha1|,1,2,15
DIRSTUDIO-1,2007-03-06T15:33:37.000+0000,plugins/connection.core/src/main/java/org/apache/directory/studio/connection/core/Utils.java|plugins/connection.core/src/main/java/org/apache/directory/studio/connection/core/io/api/CursorStudioNamingEnumeration.java|plugins/ldapbrowser.core/src/main/java/org/apache/directory/studio/ldapbrowser/core/jobs/ImportDsmlRunnable.java|tests/test.integration.core/src/main/java/org/apache/directory/studio/test/integration/core/ConnectionWrapperTestBase.java|tests/test.integration.ui/src/main/java/org/apache/directory/studio/test/integration/ui/EntryEditorTest.java|tests/test.integration.ui/src/main/java/org/apache/directory/studio/test/integration/ui/bots/ImageEditorDialogBot.java|tests/test.integration.ui/src/main/java/org/apache/directory/studio/test/integration/ui/bots/NewAttributeWizardBot.java|tests/test.integration.ui/src/main/resources/org/apache/directory/studio/test/integration/ui/studio_64x64.jpg|,1,1,28
DIRSTUDIO-69,2007-03-30T11:45:53.000+0000,plugins/connection.ui/resources/icons/certificate_export_wizard.gif|plugins/connection.ui/src/main/java/org/apache/directory/studio/connection/ui/ConnectionUIConstants.java|plugins/connection.ui/src/main/java/org/apache/directory/studio/connection/ui/widgets/CertificateListComposite.java|plugins/connection.ui/src/main/java/org/apache/directory/studio/connection/ui/widgets/messages.properties|plugins/connection.ui/src/main/java/org/apache/directory/studio/connection/ui/widgets/messages_de.properties|plugins/connection.ui/src/main/java/org/apache/directory/studio/connection/ui/widgets/messages_fr.properties|plugins/connection.ui/src/main/java/org/apache/directory/studio/connection/ui/wizards/ExportCertificateWizard.java|plugins/connection.ui/src/main/java/org/apache/directory/studio/connection/ui/wizards/ExportCertificateWizardPage.java|plugins/connection.ui/src/main/java/org/apache/directory/studio/connection/ui/wizards/messages.properties|plugins/connection.ui/src/main/java/org/apache/directory/studio/connection/ui/wizards/messages_de.properties|plugins/connection.ui/src/main/java/org/apache/directory/studio/connection/ui/wizards/messages_fr.properties|,1,2,15
DIRSTUDIO-74,2007-04-06T21:45:54.000+0000,plugins/schemaeditor/src/main/java/org/apache/directory/studio/schemaeditor/view/editors/NonExistingSyntax.java|plugins/schemaeditor/src/main/java/org/apache/directory/studio/schemaeditor/view/editors/attributetype/ATESyntaxComboComparator.java|plugins/schemaeditor/src/main/java/org/apache/directory/studio/schemaeditor/view/editors/attributetype/AttributeTypeEditorOverviewPage.java|,1,2,15
DIRSTUDIO-82,2007-04-22T20:19:14.000+0000,plugins/ldapbrowser.common/src/main/java/org/apache/directory/studio/ldapbrowser/common/actions/OpenQuickSearchAction.java|,2,3,18
