Bug ID,Bug Resolution Date,Classes Touched by Fix,Earliest AV,Version of Ticket Creation,Version of Fix
LOG4J2-65,2012-08-08T04:29:41.000+0000,log4j-core/src/main/java/org/apache/logging/log4j/core/util/DefaultShutdownRegistrationStrategy.java|log4j-core/src/main/java/org/apache/logging/log4j/core/util/ShutdownRegistrationStrategy.java|,1,2,17
LOG4J2-64,2012-08-08T06:31:16.000+0000,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/AbstractOutputStreamAppender.java|log4j-core/src/main/java/org/apache/logging/log4j/core/appender/ConsoleAppender.java|log4j-core/src/main/java/org/apache/logging/log4j/core/appender/SocketAppender.java|log4j-core/src/test/java/org/apache/logging/log4j/core/appender/ConsoleAppenderTest.java|log4j-core/src/test/java/org/apache/logging/log4j/core/appender/SocketAppenderTest.java|log4j-core/src/test/java/org/apache/logging/log4j/core/net/server/AbstractSocketServerTest.java|log4j-core/src/test/java/org/apache/logging/log4j/core/net/server/SslXmlSocketServerTest.java|,1,2,22
LOG4J2-66,2012-08-19T21:51:00.000+0000,log4j-core/pom.xml|src/changes/changes.xml|,1,2,17
LOG4J2-71,2012-08-30T06:35:22.000+0000,src/site/xdoc/manual/customloglevels.xml.vm|,2,3,26
LOG4J2-72,2012-08-31T03:28:56.000+0000,log4j-core/src/main/java/org/apache/logging/log4j/core/pattern/PatternParser.java|log4j-core/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest.java|src/changes/changes.xml|,2,3,16
LOG4J2-75,2012-09-03T00:21:25.000+0000,log4j-core/src/main/java/org/apache/logging/log4j/core/util/CachedClock.java|log4j-perf/src/main/java/org/apache/logging/log4j/perf/jmh/ClocksBenchmark.java|src/changes/changes.xml|,2,3,17
LOG4J2-74,2012-09-03T00:31:33.000+0000,src/changes/changes.xml|,2,3,17
LOG4J2-76,2012-09-03T04:11:56.000+0000,log4j-liquibase/.gitignore|log4j-liquibase/pom.xml|log4j-liquibase/src/main/java/liquibase/ext/logging/log4j2/Log4j2Logger.java|log4j-liquibase/src/site/xdoc/index.xml|log4j-liquibase/src/test/java/liquibase/ext/logging/log4j2/LoggingTest.java|log4j-liquibase/src/test/resources/log4j2-test.xml|pom.xml|src/changes/changes.xml|,2,3,20
LOG4J2-77,2012-09-03T04:58:51.000+0000,src/site/site.xml|src/site/xdoc/manual/lookups.xml|,2,3,17
LOG4J2-78,2012-09-05T16:27:29.000+0000,log4j-core/src/main/java/org/apache/logging/log4j/core/layout/PatternLayout.java|,2,3,22
LOG4J2-80,2012-09-07T18:26:56.000+0000,src/changes/changes.xml|,2,3,22
LOG4J2-82,2012-09-08T06:28:53.000+0000,log4j-core/src/test/java/org/apache/logging/log4j/core/appender/rolling/PatternProcessorTest.java|log4j-core/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest2.java|,2,3,17
LOG4J2-81,2012-09-09T05:45:59.000+0000,log4j-core/src/main/java/org/apache/logging/log4j/core/pattern/DatePatternConverter.java|log4j-core/src/test/java/org/apache/logging/log4j/core/pattern/DatePatternConverterTest.java|src/changes/changes.xml|,2,3,20
LOG4J2-91,2012-09-25T06:30:29.000+0000,log4j-api-java9/src/main/java/org/apache/logging/log4j/util/Base64Util.java|log4j-api/src/main/java/org/apache/logging/log4j/util/Base64Util.java|log4j-api/src/main/java/org/apache/logging/log4j/util/Timer.java|log4j-core/src/main/java/org/apache/logging/log4j/core/util/BasicAuthorizationProvider.java|log4j-core/src/main/java/org/apache/logging/log4j/core/util/WatchEventService.java|log4j-core/src/main/java/org/apache/logging/log4j/core/util/WatchManager.java|,3,4,39
LOG4J2-92,2012-09-29T23:38:29.000+0000,log4j-core/src/main/java/org/apache/logging/log4j/core/layout/Rfc5424Layout.java|src/changes/changes.xml|,1,4,31
LOG4J2-93,2012-10-08T13:55:06.000+0000,log4j-1.2-api/src/test/java/org/apache/log4j/LogWithRouteTest.java|log4j-1.2-api/src/test/resources/log-RouteWithMDC.xml|,3,4,22
LOG4J2-94,2012-10-13T17:41:38.000+0000,src/changes/changes.xml|,3,4,22
LOG4J2-97,2012-10-14T22:30:18.000+0000,log4j-core/src/main/java/org/apache/logging/log4j/core/config/yaml/YamlConfiguration.java|src/changes/changes.xml|,4,5,19
LOG4J2-99,2012-10-19T19:36:11.000+0000,,4,5,26
LOG4J2-101,2012-10-19T19:51:07.000+0000,log4j-core/src/test/java/org/apache/logging/log4j/core/async/AbstractAsyncThreadContextTestBase.java|log4j-core/src/test/java/org/apache/logging/log4j/core/async/AsyncLoggerConfigAllThreadContextImplementationsTest.java|log4j-core/src/test/java/org/apache/logging/log4j/core/async/AsyncLoggerConfigThreadContextCopyOnWriteTest.java|log4j-core/src/test/java/org/apache/logging/log4j/core/async/AsyncLoggerConfigThreadContextDefaultTest.java|log4j-core/src/test/java/org/apache/logging/log4j/core/async/AsyncLoggerConfigThreadContextGarbageFreeTest.java|log4j-core/src/test/java/org/apache/logging/log4j/core/async/AsyncLoggerThreadContextCopyOnWriteTest.java|log4j-core/src/test/java/org/apache/logging/log4j/core/async/AsyncLoggerThreadContextDefaultTest.java|log4j-core/src/test/java/org/apache/logging/log4j/core/async/AsyncLoggerThreadContextGarbageFreeTest.java|,4,5,26
LOG4J2-102,2012-10-20T00:24:10.000+0000,log4j-core/src/main/java/org/apache/logging/log4j/core/impl/Log4jLogEvent.java|,4,5,22
LOG4J2-104,2012-10-27T18:20:58.000+0000,log4j-nosql/src/test/java/org/apache/logging/log4j/nosql/appender/MongoDbAuthTest.java|log4j-nosql/src/test/java/org/apache/logging/log4j/nosql/appender/MongoDbTest.java|,4,5,21
LOG4J2-103,2012-10-28T23:26:29.000+0000,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/AbstractRolloverStrategy.java|log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DefaultRolloverStrategy.java|log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DirectWriteRolloverStrategy.java|log4j-core/src/test/java/org/apache/logging/log4j/core/appender/rolling/EligibleFilesTest.java|src/changes/changes.xml|src/site/xdoc/manual/appenders.xml|,4,5,27
LOG4J2-107,2012-11-03T07:23:10.000+0000,log4j-core/src/test/java/org/apache/logging/log4j/core/util/CyclicBufferTest.java|,4,5,31
LOG4J2-106,2012-11-03T07:45:18.000+0000,log4j-core/src/main/java/org/apache/logging/log4j/core/net/server/JsonInputStreamLogEventBridge.java|log4j-core/src/test/java/org/apache/logging/log4j/core/net/server/AbstractSocketServerTest.java|src/changes/changes.xml|,4,5,20
LOG4J2-105,2012-11-03T19:16:46.000+0000,log4j-core/src/main/java/org/apache/logging/log4j/core/lookup/Interpolator.java|src/changes/changes.xml|,4,5,26
