Index,Version ID,Version Name,Date
1,12320347,2.0-alpha1,2012-08-05T00:00
2,12322742,2.0-alpha2,2012-08-23T00:00
3,12323246,2.0-beta1,2012-09-21T00:00
4,12323283,2.0-beta2,2012-10-11T00:00
5,12323368,2.0-beta3,2012-11-11T00:00
6,12323477,2.0-beta4,2013-01-20T00:00
7,12323970,2.0-beta5,2013-04-20T00:00
8,12324340,2.0-beta6,2013-05-05T00:00
9,12324400,2.0-beta7,2013-06-04T00:00
10,12324575,2.0-beta8,2013-07-10T00:00
11,12324756,2.0-beta9,2013-09-21T00:00
12,12325011,2.0-rc1,2014-02-16T00:00
13,12326292,2.0-rc2,2014-06-24T00:00
14,12324757,2.0,2014-07-12T00:00
15,12327381,2.0.1,2014-08-05T00:00
16,12327553,2.0.2,2014-08-17T00:00
17,12326822,2.1,2014-10-23T00:00
18,12328342,2.2,2015-02-27T00:00
19,12329672,2.3,2015-05-15T00:00
20,12332378,2.4,2015-09-19T00:00
21,12333635,2.4.1,2015-10-11T00:00
22,12333841,2.5,2015-12-10T00:00
23,12334322,2.6,2016-05-28T00:00
24,12335842,2.6.1,2016-06-05T00:00
25,12336046,2.6.2,2016-07-10T00:00
26,12335527,2.7,2016-10-06T00:00
27,12338215,2.8,2017-01-25T00:00
28,12339202,2.8.1,2017-02-25T00:00
29,12339750,2.8.2,2017-04-04T00:00
30,12341074,11.0,2017-07-24T00:00
31,12339208,2.9.0,2017-08-31T00:00
32,12341450,2.9.1,2017-09-20T00:00
33,12341609,2.10.0,2017-11-24T00:00
34,12342228,2.11.0,2018-03-15T00:00
35,12343952,Log4j-Audit 1.0.0,2018-06-10T00:00
36,12342961,2.11.1,2018-07-22T00:00
37,12344156,Log4j-Audit 1.0.1,2018-12-13T00:00
38,12343818,2.11.2,2019-02-04T00:00
