Bug ID,Bug Resolution Date,Ticket Creation Date,Fix Date,Hash,Git Directory
DELTASPIKE-206,2012-08-15 09:16:56 +0000,2012-06-17 16:32:37 +0000,2012-08-06 04:16:50 +0200,d11e3ebe6bd0d1d9ce3a3c42b78884dcfa7532fc,deltaspike
DELTASPIKE-205,2012-07-05 22:39:39 +0000,2012-06-17 09:40:23 +0000,2012-06-19 20:36:37 +0200,8aeccd5b95901c739d36113d62a1c8976af85965,deltaspike
DELTASPIKE-568,2014-04-12 11:43:11 +0000,2014-04-11 11:32:02 +0000,2014-04-12 13:42:57 +0200,9c45305c6c3a45a620d7ed2ccde47d34556d6d60,deltaspike
DELTASPIKE-1087,2016-03-02 19:47:50 +0000,2016-03-02 08:27:38 +0000,2016-03-02 20:46:41 +0100,265f9a0c04350b3b21ec8e00dbcd1279efd31107,deltaspike
DELTASPIKE-208,2013-05-24 06:33:59 +0000,2012-06-20 04:46:41 +0000,2013-05-22 17:01:50 +0200,e56f26140787fbe76b3c155c0248558287370e2c,deltaspike
DELTASPIKE-207,2012-10-15 08:38:58 +0000,2012-06-17 16:42:58 +0000,2012-08-06 04:16:05 +0200,439252fa891916db0ac1ae1673eafa954bb8f288,deltaspike
DELTASPIKE-1089,2016-06-02 01:01:13 +0000,2016-03-07 10:19:39 +0000,2016-06-01 21:00:59 -0400,946b88a7ba2738411c203d414aab7548ea549e46,deltaspike
DELTASPIKE-209,2012-06-20 10:55:37 +0000,2012-06-20 07:37:49 +0000,2012-06-20 12:53:24 +0200,562e984a42fc42daebf0ae05cdee492ed083ce9a,deltaspike
DELTASPIKE-681,2014-08-05 21:27:59 +0000,2014-08-05 14:51:04 +0000,2014-08-05 23:22:18 +0200,3a270ec59e1dc58f5e98fc0b40e997102ae57325,deltaspike
DELTASPIKE-200,2012-06-15 08:46:32 +0000,2012-06-15 06:41:41 +0000,2012-06-15 10:14:09 +0200,54744b7231b2018dab6f893cbc2be88018081b31,deltaspike
DELTASPIKE-442,2013-11-19 19:03:10 +0000,2013-11-19 17:22:34 +0000,2013-11-19 19:59:14 +0100,4c410f32f951085a0f03d256649c833cd00996a6,deltaspike
DELTASPIKE-684,2014-08-14 15:17:34 +0000,2014-08-13 13:29:54 +0000,2014-08-14 12:15:21 -0300,72bbb515b772e3364bf2420b39931a085a61f699,deltaspike
DELTASPIKE-320,2013-03-13 03:43:31 +0000,2013-03-13 03:15:47 +0000,2013-03-13 04:42:46 +0100,d860a471e7ebbfbfd89815dd26ccb96944d61dd3,deltaspike
DELTASPIKE-202,2012-10-14 19:37:31 +0000,2012-06-15 14:36:29 +0000,2012-06-27 23:54:52 +0200,4cebd064256778d75dc9e94169bfcb85ccbf0805,deltaspike
DELTASPIKE-685,2014-08-13 19:44:44 +0000,2014-08-13 19:02:35 +0000,2014-08-13 13:02:52 -0600,9a74d8a2844a55eed7a2a0b49e1153d1bd5497a0,deltaspike
DELTASPIKE-446,2014-01-19 12:57:03 +0000,2013-11-21 21:40:22 +0000,2014-01-19 16:54:53 +0100,a848381293cca9f6ae4ec473c0e53baa92ed8378,deltaspike
DELTASPIKE-566,2014-04-09 20:09:36 +0000,2014-04-09 20:07:46 +0000,2014-04-09 22:09:20 +0200,204b00d48143739a1292e59571ec73005fa65264,deltaspike
DELTASPIKE-679,2014-07-31 06:16:39 +0000,2014-07-30 14:44:00 +0000,2014-07-31 08:10:26 +0200,1d3dc077f7f9d3316a13e37448934c97c1bc2257,deltaspike
